Release Date,Title,Rating,Budget,Revenue,Genres,Keywords,Director,Cast,Production Companies
1972-03-14,The Godfather,8.708,6000000,245066411,"Drama, Crime","based on novel or book, loss of loved one, love at first sight, italy, symbolism, patriarch, europe, organized crime, mafia, religion, lawyer, revenge motive, crime family, sicilian mafia, religious hypocrisy, gun violence, rise to power, dead horse, gang violence, 1940s, 1950s, mafia war, critically acclaimed",Francis Ford Coppola,"Marlon Brando, Al Pacino, James Caan, Robert Duvall, Richard S. Castellano","Paramount, Alfran Productions"
1972-04-12,Fritz the Cat,6.2,850000,90000000,"Animation, Comedy, Drama","new york city, students' movement, underground, cat, midnight movie, orgy, sexual revolution, addiction, violence against women, race riot, anthropomorphism, hallucinogenic drug, sexual freedom, grindhouse, sexual violence, drugs, adult animation",Ralph Bakshi,"Skip Hinnant, Rosetta LeNoire, John McCurry, Phil Seuling, Judy Engles","Cinemation Industries, Steve Krantz Productions, Aurica Finance Company, Fritz Productions"
1972-12-13,The Poseidon Adventure,7.096,5000000,84563118,"Adventure, Thriller, Action","new year's eve, sea, ship, prostitute, husband wife relationship, life and death, sibling relationship, based on novel or book, faith, ocean, 1970s, wave, shipwreck, natural disaster, cruise, seaquake, ocean liner, travel, disaster, capsized ship, tidal wave, disaster movie",Ronald Neame,"Gene Hackman, Ernest Borgnine, Red Buttons, Carol Lynley, Roddy McDowall","Kent Productions, 20th Century Fox"
1972-03-09,"What's Up, Doc?",7.3,4000000,66000000,"Comedy, Romance","hotel, judge, chase, san francisco, california, chaos, screwball comedy, dictionary, bag, rocks, jewels",Peter Bogdanovich,"Barbra Streisand, Ryan O'Neal, Madeline Kahn, Kenneth Mars, Austin Pendleton","Saticoy Productions, Warner Bros. Pictures"
1972-08-18,Deliverance,7.311,2000000,46122355,"Drama, Adventure, Thriller","river, banjo, strangeness, wound, wilderness, georgia, canoe, rafting, hillbilly, rapids",John Boorman,"Jon Voight, Burt Reynolds, Ned Beatty, Ronny Cox, Ed Ramey","Warner Bros. Pictures, Elmer Enterprises"
1972-09-10,Jeremiah Johnson,7.287,3100000,44700000,"Adventure, Western","based on novel or book, loss of loved one, rocky mountains, survival, snow, cabin, 19th century, mountain man, fur trapper, blackfoot",Sydney Pollack,"Robert Redford, Will Geer, Delle Bolton, Josh Albee, Joaquín Martínez","Sanford Productions (III), Warner Bros. Pictures"
1972-02-13,Cabaret,7.385,4600000,42800000,"Music, Drama, Romance","berlin, germany, nazi, entertainer, cabaret, bisexuality, musical, based on play or musical, hitler youth, gay interest, fireplace, based on short story, master of ceremonies, baron love, political unrest, english lesson, 1930s",Bob Fosse,"Liza Minnelli, Michael York, Helmut Griem, Joel Grey, Fritz Wepper","Allied Artists Pictures, ABC Pictures"
1972-09-20,The Getaway,7.074,3352254,36734619,"Action, Crime, Thriller","robbery, based on novel or book, texas, heist, con artist, murder, organized crime, on the run, bag of money, gunfight, bank robbery, double cross, neo-noir",Sam Peckinpah,"Steve McQueen, Ali MacGraw, Ben Johnson, Sally Struthers, Al Lettieri","Foster-Brower Productions, First Artists, Solar Productions"
1972-10-14,Last Tango in Paris,6.998,1250000,36182181,"Drama, Romance","paris, france, businessman, love, tragedy, relationship, extramarital affair, parisian, clandestine",Bernardo Bertolucci,"Marlon Brando, Maria Schneider, Catherine Breillat, Veronica Lazăr, Jean-Pierre Léaud","United Artists, Les Productions Artistes Associés, PEA"
1972-08-04,Super Fly,6.309,500000,30000000,"Crime, Drama","new york city, mobster, blaxploitation cinema, drugs, dealer",Gordon Parks Jr.,"Ron O'Neal, Carl Lee, Sheila Frazier, Charles McGregor, Julius Harris","Superfly Ltd., Sig Shore Productions, Warner Bros. Pictures"
1972-06-01,The Way of the Dragon,7.392,130000,27000000,"Action, Crime","martial arts, kung fu, rome, italy, colosseum, fight, culture clash, italy, gangster, restaurant, crime boss, chinese mafia, fistfight, honor, fish out of water, hong kong, east asian lead, combat, hoodlum, nunchaku, action hero, property",Bruce Lee,"Bruce Lee, Nora Miao, Chuck Norris, Wei Ping-ao, Huang Tsung-Hsun","Orange Sky Golden Harvest, Concord Productions"
1972-08-01,The Legend of Boggy Creek,4.9,160000,22000000,"Adventure, Mystery, Horror, Thriller","swamp, arkansas, based on true story, bigfoot, mockumentary, monsters of the wild, cryptozoology, docudrama, swamp monster, fake documentary, found footage, southern sasquatch, fouke monster, sasquatch, pseudo-documentary",Charles B. Pierce,"Vern Stierman, Chuck Pierce Jr., William Stumpp, Willie E. Smith, Lloyd Bowen",P & L
1972-08-06,Everything You Always Wanted to Know About Sex *But Were Afraid to Ask,6.525,2000000,18016290,Comedy,"sperm, sheep, transsexuality, orgasm, perversity, castle, sodomy, anthology, sexology, male homosexuality, king, bestiality, sex comedy, aphrodisiac, jester, anarchic comedy",Woody Allen,"Woody Allen, John Carradine, Lou Jacobi, Louise Lasser, Anthony Quayle",United Artists
1972-05-25,Frenzy,7.105,3500000,12600000,"Crime, Thriller, Horror","london, england, rape, police, girlfriend, truck, murder, serial killer, pin, ex-wife, necktie, sack, potatoes, produce seller",Alfred Hitchcock,"Jon Finch, Barry Foster, Barbara Leigh-Hunt, Anna Massey, Alec McCowen","Universal Pictures, Alfred J. Hitchcock Productions"
1972-06-08,Shaft's Big Score!,6.083,1978000,10000000,"Action, Adventure, Crime, Mystery","helicopter, bomb, gambling, cemetery, coffin, attempted murder, investigation, observer, blaxploitation cinema, grave digger",Gordon Parks,"Richard Roundtree, Moses Gunn, Drew Bundini Brown, Joseph Mascolo, Kathy Imrie","Shaft Productions, Metro-Goldwyn-Mayer"
1972-06-29,Conquest of the Planet of the Apes,6.136,1700000,9700000,"Action, Science Fiction","army, circus, dystopia, pet, insurrection, ape",J. Lee Thompson,"Roddy McDowall, Don Murray, Ricardo Montalban, Hari Rhodes, Severn Darden","APJAC Productions, 20th Century Fox"
1972-12-30,State of Siege,7.229,0,8000000,"Drama, Thriller","guerrilla warfare, curfew, martial law, torture",Costa-Gavras,"Yves Montand, Renato Salvatori, O.E. Hasse, Jacques Weber, Jean-Luc Bideau","Dieter Geissler Filmproduktion, Reggane Films, Unidis, Euro International Films"
1972-01-13,The Cowboys,7.122,6000000,7500000,"Western, Adventure, Drama, Action","based on novel or book, montana, ranch, beef, cattle drive, cattle, schoolboy",Mark Rydell,"John Wayne, Roscoe Lee Browne, Bruce Dern, Colleen Dewhurst, Alfred Barker Jr.","Sanford Productions (III), Warner Bros. Pictures"
1972-05-24,Skyjacked,6.2,1700000,6550000,"Action, Drama, Thriller","vietnam, airplane, based on novel or book, hijacking, airplane hijacking, disaster, hijack, disaster movie",John Guillermin,"Charlton Heston, Yvette Mimieux, James Brolin, Claude Akins, Jeanne Crain","Walter Seltzer Productions, Metro-Goldwyn-Mayer"
1972-07-19,Joe Kidd,6.463,0,6330000,Western,"cowboy, gun violence, steam locomotive, gunfighter, gun for hire, favorite",John Sturges,"Clint Eastwood, Robert Duvall, John Saxon, Don Stroud, Stella Garcia","Universal Pictures, Malpaso Productions"
