Release Date,Title,Rating,Budget,Revenue,Genres,Keywords,Director,Cast,Production Companies
2021-12-15,Spider-Man: No Way Home,8.0,200000000,1921847111,"Action, Adventure, Science Fiction","new york city, hero, showdown, magic, loss of loved one, secret identity, superhero, dangerous, villain, portal, sequel, vigilante, superhero team, alternate reality, masked vigilante, spider web, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu), teenage hero, fight for justice, superhero teamup, returning hero, crossover, teamwork, 蜘蛛侠：英雄无归",Jon Watts,"Tom Holland, Zendaya, Benedict Cumberbatch, Jacob Batalon, Jon Favreau","Marvel Studios, Pascal Pictures, Columbia Pictures"
2021-09-30,The Battle at Lake Changjin,5.856,200000000,902540935,"Drama, War","korean war, chinese communism, communist propaganda","Chen Kaige, Tsui Hark, Dante Lam","Wu Jing, Jackson Yee, Duan Yihong, Zhu Yawen, Hu Jun","August 1st Film Studio, Bona Film Group, Shanghai Film Group, Beijing Dengfeng International Culture, Alibaba Pictures Group, China Film Group Corporation, Distribution Workshop, A Really Happy Film, Huaxia Film Distribution"
2021-02-12,"Hi, Mom",7.2,59000000,822049668,"Drama, Comedy, Fantasy",亲情,Jia Ling,"Jia Ling, Zhang Xiaofei, Shen Teng, Chen He, He Huan","Alibaba Pictures Group, Tianjin Maoyan Media, Beijing Big Bowl Entertainment Culture Media, Beijing Jingxi Culture and Tourism, Beijing Cheering Times Culture & Entertainment, Shanghai Ruyi Film & TV Production"
2021-09-29,No Time to Die,7.401,250000000,774153007,"Action, Adventure, Thriller","based on novel or book, forgiveness, poison, spy, mi6, family, british secret service, parents, global threat, nanobots",Cary Joji Fukunaga,"Daniel Craig, Léa Seydoux, Rami Malek, Lashana Lynch, Ralph Fiennes","EON Productions, Metro-Goldwyn-Mayer, Universal Pictures"
2021-05-19,F9,7.1,200000000,726229501,"Action, Adventure, Crime","speed, family relationships, sequel, duringcreditsstinger, fast car, brother brother relationship",Justin Lin,"Vin Diesel, Michelle Rodriguez, Tyrese Gibson, Ludacris, John Cena","Original Film, One Race, Perfect Storm Entertainment, Universal Pictures, Roth-Kirschenbaum Films"
2021-02-12,Detective Chinatown 3,5.8,0,686257563,"Action, Comedy, Mystery",,Chen Sicheng,"Baoqiang Wang, Liu Haoran, Satoshi Tsumabuki, Tony Jaa, Masami Nagasawa","Beijing Yitong Legend Films, China Film Co-Production Corporation, As One Production, Wanda Pictures"
2021-09-30,Venom: Let There Be Carnage,6.823,110000000,506900000,"Science Fiction, Action, Adventure","hero, psychopath, superhero, anti hero, villain, based on comic, sequel, creature, fear, aftercreditsstinger, symbiote, carnage, venom character",Andy Serkis,"Tom Hardy, Woody Harrelson, Michelle Williams, Naomie Harris, Reid Scott","Marvel Entertainment, Columbia Pictures, Pascal Pictures, Matt Tolmach Productions, Arad Productions"
2021-03-24,Godzilla vs. Kong,7.65,200000000,470116094,"Action, Science Fiction, Thriller","giant monster, dinosaur, creature feature, kaiju, sign languages, giant ape, godzilla, monsterverse, robot dinosaur, king kong",Adam Wingard,"Alexander Skarsgård, Millie Bobby Brown, Rebecca Hall, Brian Tyree Henry, Shun Oguri",Legendary Pictures
2021-09-01,Shang-Chi and the Legend of the Ten Rings,7.6,150000000,432243292,"Action, Adventure, Fantasy","martial arts, superhero, based on comic, mixed martial arts, east asian lead, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu), father son relationship",Destin Daniel Cretton,"Simu Liu, Awkwafina, Zhang Meng'er, Fala Chen, Florian Munteanu",Marvel Studios
2021-12-01,Sing 2,7.907,85000000,406000000,"Animation, Family, Music, Comedy","stage, anthropomorphism, singing, animal",Garth Jennings,"Matthew McConaughey, Reese Witherspoon, Scarlett Johansson, Taron Egerton, Bobby Cannavale","Universal Pictures, Illumination"
