Release Date,Title,Rating,Budget,Revenue,Genres,Keywords,Director,Cast,Production Companies
1994-06-24,The Lion King,8.256,45000000,763455561,"Family, Animation, Drama","father murder, loss of loved one, africa, lion, manipulation, redemption, musical, uncle, murder, warthog, shaman, king, scar, family, hyena, meerkat, nature, hamlet, mandrill, murder confession, wildebeest","Roger Allers, Rob Minkoff","Matthew Broderick, Moira Kelly, Nathan Lane, Ernie Sabella, Robert Guillaume","Walt Disney Pictures, Walt Disney Feature Animation"
1994-06-23,Forrest Gump,8.476,55000000,677387716,"Comedy, Drama, Romance","vietnam war, vietnam veteran, mentally disabled, friendship, usa president, washington dc, usa, post-traumatic stress disorder (ptsd), waitress, china, based on novel or book, hippie, single parent, parent child relationship, optimism, 1970s, drug addiction, autism, alabama, black panther party, bus stop, family relationships, single mother, military, anti war protest, 1960s, college american football, mother son relationship",Robert Zemeckis,"Tom Hanks, Robin Wright, Gary Sinise, Sally Field, Mykelti Williamson","Paramount, The Steve Tisch Company, Wendy Finerman Productions"
1994-07-15,True Lies,7.059,115000000,378882411,"Action, Thriller","florida, horseback riding, gun, kidnapping, spy, florida keys, secret agent, terrorism, terrorist plot, top secret, mushroom cloud, jackhammer, special agent, key west",James Cameron,"Arnold Schwarzenegger, Jamie Lee Curtis, Tom Arnold, Bill Paxton, Tia Carrere","20th Century Fox, Universal Pictures, Lightstorm Entertainment"
1994-07-29,The Mask,6.938,23000000,351583407,"Romance, Comedy, Crime, Fantasy","dual identity, bank, superhero, mockery, transformation, villain, surrealism, based on comic, slapstick comedy, balloon, dog, urban setting, jail cell, wisecrack humor, super villain, norse mythology, supernatural power, the mask",Chuck Russell,"Jim Carrey, Peter Riegert, Peter Greene, Amy Yasbeck, Richard Jeni","Dark Horse Entertainment, New Line Cinema"
1994-06-09,Speed,7.123,30000000,350448145,"Action, Adventure, Crime","airport, bomb, bus, bus ride, highway, bomb planting, terrorist attack",Jan de Bont,"Keanu Reeves, Dennis Hopper, Sandra Bullock, Jeff Daniels, Joe Morton","20th Century Fox, The Mark Gordon Company"
1994-05-26,The Flintstones,5.311,46000000,341631208,"Fantasy, Comedy, Family","friendship, plan, jealousy, manager, adoption, bad mother-in-law, family's daily life, stone age, best friend, dinosaur, cavemen",Brian Levant,"John Goodman, Elizabeth Perkins, Rick Moranis, Rosie O'Donnell, Kyle MacLachlan","Hanna-Barbera Productions, Amblin Entertainment"
1994-12-16,Dumb and Dumber,6.612,16000000,247275374,Comedy,"gas station, utah, motel, stupidity, cigar smoking, road trip, pill, prank, criminal, buddy, fired from the job, clumsiness, stepparent stepchild relationship, aspen colorado, parakeet, defecation, scooter, endangered species, foolish, laxative",Peter Farrelly,"Jim Carrey, Jeff Daniels, Lauren Holly, Teri Garr, Charles Rocket","New Line Cinema, Motion Picture Corporation of America"
1994-03-09,Four Weddings and a Funeral,6.758,4400000,245700832,"Comedy, Drama, Romance","friendship, marriage proposal, love of one's life, england, wedding vows, funeral, upper class, love at first sight, yuppie, marriage, lone wolf, snob, witness, bride, bridegroom, bridesmaid, clumsy fellow, fear of commitment, unrequited love, wedding, thirty something, group of friends, best man, rich man, commitment issues",Mike Newell,"Hugh Grant, Andie MacDowell, James Fleet, Simon Callow, John Hannah","PolyGram Filmed Entertainment, Working Title Films, Film4 Productions"
1994-11-11,Interview with the Vampire,7.38,60000000,223664608,"Horror, Drama, Fantasy","paris, france, based on novel or book, san francisco, california, vampire, bite, new orleans, louisiana, plantation, louisiana, pity, child vampire, gothic horror, 18th century, plague, 19th century, lgbt interest, reluctant vampire",Neil Jordan,"Tom Cruise, Brad Pitt, Antonio Banderas, Christian Slater, Stephen Rea",Geffen Pictures
1994-08-03,Clear and Present Danger,6.635,62000000,215900000,"Action, Drama, Thriller","sniper, cia, helicopter, assassination, usa president, based on novel or book, ambush, spying, politics, spy, drug trafficking, fbi, bomber, insurgence, mission of murder, mercenary, coast guard, infantry, car bomb, drug cartel, conspiracy, shootout, jack ryan, political cover-up, good versus evil",Phillip Noyce,"Harrison Ford, Willem Dafoe, Anne Archer, Joaquim de Almeida, Henry Czerny","Paramount, Mace Neufeld Productions, Robert Rehme Productions"
1994-12-09,Disclosure,6.251,55000000,214015089,"Thriller, Drama, Crime","based on novel or book, seattle, washington, employee, workplace, sexual harassment, intrigue, erotic thriller, computer technology",Barry Levinson,"Michael Douglas, Demi Moore, Donald Sutherland, Dylan Baker, Jacqueline Kim","Baltimore Pictures, Warner Bros. Pictures, Constant c Productions"
1994-09-10,Pulp Fiction,8.489,8500000,213900000,"Thriller, Crime","drug dealer, boxer, massage, stolen money, briefcase, crime boss, redemption, heirloom, dance competition, los angeles, california, theft, nonlinear timeline, multiple storylines, neo-noir",Quentin Tarantino,"John Travolta, Samuel L. Jackson, Uma Thurman, Bruce Willis, Ving Rhames","Miramax, A Band Apart, Jersey Films"
1994-10-28,Stargate,7.0,55000000,196567262,"Action, Adventure, Science Fiction","egypt, teleportation, shot to death, pyramid, space travel, uprising, space, androgyny, space western, timebomb, death of son, nuclear weapons, space opera, hieroglyph, egyptian mythology, egyptology",Roland Emmerich,"Kurt Russell, James Spader, Jaye Davidson, Viveca Lindfors, Alexis Cruz","Carolco Pictures, Centropolis Entertainment, StudioCanal, Live Entertainment, Metro-Goldwyn-Mayer"
