Release Date,Title,Rating,Budget,Revenue,Genres,Keywords,Director,Cast,Production Companies
1998-07-01,Armageddon,6.832,140000000,553799566,"Action, Thriller, Science Fiction, Adventure","daughter, race against time, space marine, moon, washington dc, usa, saving the world, cataclysm, paris, france, asteroid, self sacrifice, nasa, loss of loved one, natural disaster, u.s. air force, end of the world, space, disaster, wedding, astronaut, duringcreditsstinger, disaster movie, heroic mission, daring rescue, space centre",Michael Bay,"Bruce Willis, Billy Bob Thornton, Ben Affleck, Liv Tyler, Will Patton","Touchstone Pictures, Jerry Bruckheimer Films, Valhalla Motion Pictures"
1998-07-24,Saving Private Ryan,8.211,70000000,481840909,"Drama, History, War","epic, army, airplane, self sacrifice, war veteran, war crimes, war ship, bravery, world war ii, normandy, france, parachute, troops, waffen ss, omaha beach, rescue mission, war memorial, cowardice, deserted town, based on true story, d-day, soldier, death, military, military operation, 1940s",Steven Spielberg,"Tom Hanks, Tom Sizemore, Edward Burns, Matt Damon, Barry Pepper","DreamWorks Pictures, Paramount, Amblin Entertainment, Mutual Film Company"
1998-05-20,Godzilla,5.6,130000000,379000000,"Science Fiction, Action, Thriller","new york city, atomic bomb, missile, intelligence, pregnancy, destroy, boat accident, giant monster, atomic bomb test, us army, flowerpot, creature, kaiju, military, animal horror, godzilla",Roland Emmerich,"Matthew Broderick, Jean Reno, Maria Pitillo, Hank Azaria, Kevin Dunn","TOHO, TriStar Pictures, Independent Pictures (II), Fried Films, Centropolis Entertainment"
1998-07-15,There's Something About Mary,6.589,23000000,369884651,"Romance, Comedy","surgeon, romantic comedy, stalker, dream girl, taboo, screwball comedy, frisbee, troubadour, intellectual disability","Bobby Farrelly, Peter Farrelly","Cameron Diaz, Matt Dillon, Ben Stiller, Lee Evans, Chris Elliott",20th Century Fox
1998-11-25,A Bug's Life,7.0,120000000,363258859,"Adventure, Animation, Comedy, Family","fight, winter, ant-hill, ant, invention, collector, anthropomorphism, grass, duringcreditsstinger",John Lasseter,"Dave Foley, Kevin Spacey, Julia Louis-Dreyfus, Hayden Panettiere, Phyllis Diller","Pixar, Walt Disney Pictures"
1998-05-08,Deep Impact,6.214,75000000,349464664,"Action, Drama, Science Fiction","usa president, nasa, natural disaster, metereologist, space mission, comet, tsunami, astronomer, astronaut, tidal wave, woman director, disaster movie",Mimi Leder,"Robert Duvall, Téa Leoni, Elijah Wood, Vanessa Redgrave, Morgan Freeman","Paramount, DreamWorks Pictures, Zanuck/Brown Productions, Amblin Entertainment"
1998-06-18,Mulan,7.916,90000000,304320254,"Animation, Family, Adventure","princess, daughter, china, homeland, villain, musical, sexism, training, cricket, based on true story, female protagonist, dragon, east asian lead, war hero, based on song, poem or rhyme, luck, great wall of china, gender disguise, based on fairy tale, female warrior, hand drawn animation, father daughter relationship, action comedy, woman disguised as man","Tony Bancroft, Barry Cook","Ming-Na Wen, Eddie Murphy, BD Wong, Miguel Ferrer, Harvey Fierstein","Walt Disney Pictures, Walt Disney Feature Animation"
1998-06-26,Doctor Dolittle,5.7,71000000,294500000,"Comedy, Family, Fantasy","based on novel or book, tiger, san francisco, california, veterinarian, monkey, dog, talking to animals, woman director, father son relationship, father daughter relationship",Betty Thomas,"Eddie Murphy, Ossie Davis, Oliver Platt, Peter Boyle, Richard Schiff","20th Century Fox, Davis Entertainment, Joseph M. Singer Entertainment"
1998-12-11,Shakespeare in Love,6.868,25000000,289317794,"Romance, History, Comedy","london, england, theater play, queen elizabeth i, playwright, cross dressing, false history, francis bacon, 16th century, acting, elizabethan england",John Madden,"Joseph Fiennes, Gwyneth Paltrow, Geoffrey Rush, Tom Wilkinson, Judi Dench","Miramax, Universal Pictures, Bedford Falls Productions"
1998-07-10,Lethal Weapon 4,6.583,140000000,285400000,"Action, Adventure, Comedy, Crime, Thriller","showdown, police, sequel, mixed martial arts, los angeles, california, house fire, wisecrack humor, buddy cop, lapd, maverick cop, revolver, action hero",Richard Donner,"Mel Gibson, Danny Glover, Joe Pesci, Rene Russo, Chris Rock","Silver Pictures, Donner/Shuler-Donner Productions, Warner Bros. Pictures"
1998-06-04,The Truman Show,8.135,60000000,264118201,"Comedy, Drama","paranoia, dystopia, suspicion, video surveillance, deception, hidden camera, simulated reality , television producer, tv show in film, make believe",Peter Weir,"Jim Carrey, Laura Linney, Noah Emmerich, Natascha McElhone, Holland Taylor","Paramount, Scott Rudin Productions"
1998-12-17,You've Got Mail,6.675,65000000,250821495,"Comedy, Romance","bookshop, businessman, anonymous letter, romantic comedy, falling in love, manhattan, new york city, class conflict, online dating, woman director, christmas, online relationship, internet romance, parfumerie",Nora Ephron,"Tom Hanks, Meg Ryan, Greg Kinnear, Parker Posey, Steve Zahn",Warner Bros. Pictures
1998-11-20,Enemy of the State,7.013,90000000,250649836,"Action, Drama, Thriller","helicopter, washington dc, usa, corruption, politics, identity, espionage, falsely accused, mexican standoff, baltimore, usa, wiretap, satellite, national security agency (nsa), exploding building, mafia, conspiracy, lawyer, privacy, surveillance, voyeur, secret hideout",Tony Scott,"Will Smith, Gene Hackman, Jon Voight, Regina King, Loren Dean","Touchstone Pictures, Jerry Bruckheimer Films, Don Simpson/Jerry Bruckheimer Films, Scott Free Productions"
1998-07-16,The Mask of Zorro,6.558,95000000,250300000,"Action, Adventure","epic, california, hero, horseback riding, spy, superhero, sword fight, revenge, vigilante, swashbuckler, action hero, zorro, vigilante justice",Martin Campbell,"Antonio Banderas, Anthony Hopkins, Catherine Zeta-Jones, Stuart Wilson, Matt Letscher","TriStar Pictures, Amblin Entertainment"
1998-09-18,Rush Hour,7.0,33000000,244721064,"Action, Comedy, Crime","martial arts, fbi, two man army, chinese mafia, los angeles, california, east asian lead, buddy cop, consul, crime lord, art treasures, child kidnapping, duringcreditsstinger, action hero",Brett Ratner,"Jackie Chan, Chris Tucker, Tom Wilkinson, Philip Baker Hall, Elizabeth Peña","Roger Birnbaum Productions, New Line Cinema, Caravan Pictures"
1998-12-16,The Prince of Egypt,7.254,70000000,218600000,"Adventure, Animation, Drama, Family","egypt, moses, kingdom, pyramid, exodus, musical, governance, ancient egypt, pharaoh, woman director, passover","Simon Wells, Steve Hickner, Brenda Chapman","Val Kilmer, Ralph Fiennes, Michelle Pfeiffer, Sandra Bullock, Jeff Goldblum","DreamWorks Animation, DreamWorks Pictures"
1998-12-25,Patch Adams,7.299,50000000,202292902,"Comedy, Drama","nurse, hospital, doctor, laughter",Tom Shadyac,"Robin Williams, Monica Potter, Philip Seymour Hoffman, Daniel London, Bob Gunton","Universal Pictures, Bungalow 78 Productions, Blue Wolf, Farrell/Minoff"
1998-04-10,City of Angels,6.78,55000000,198685114,"Romance, Drama, Fantasy","suicide, operation, life and death, afterlife, angel, faith, heaven, remake, los angeles, california, interspecies romance",Brad Silberling,"Nicolas Cage, Meg Ryan, Andre Braugher, Dennis Franz, Colm Feore","Atlas Entertainment, Monarchy Enterprises B.V., Regency Enterprises, Taurus Film, Warner Bros. Pictures"
1998-06-19,The X Files,6.841,66000000,189198313,"Mystery, Science Fiction, Thriller","helicopter, space marine, government, bomb, mutation, extraterrestrial technology, obsession, fbi, secret society, secret organization, secret lab, x-files, ufo, conspiracy, ovine",Rob Bowman,"David Duchovny, Gillian Anderson, Mitch Pileggi, William B. Davis, John Neville","Ten Thirteen Productions, 20th Century Fox"
1998-02-01,The Horse Whisperer,6.9,60000000,186883563,"Adventure, Drama, Romance","new york city, love triangle, attachment to nature, parent child relationship, marriage crisis, horseback riding, montana, confidence, horse, riding accident, career woman, ranch, horse whisperer, trauma, country life, crisis, travel, animal, nature",Robert Redford,"Robert Redford, Kristin Scott Thomas, Sam Neill, Scarlett Johansson, Dianne Wiest","Wildwood Enterprises, Touchstone Pictures"
