Release Date,Title,Rating,Budget,Revenue,Genres,Keywords,Director,Cast,Production Companies
2008-07-16,The Dark Knight,8.513,185000000,1004558444,"Drama, Action, Crime, Thriller","joker, sadism, chaos, secret identity, crime fighter, superhero, anti hero, scarecrow, based on comic, vigilante, organized crime, tragic hero, anti villain, criminal mastermind, district attorney, super power, super villain, neo-noir",Christopher Nolan,"Christian Bale, Heath Ledger, Michael Caine, Gary Oldman, Aaron Eckhart","DC Comics, Legendary Pictures, Syncopy, Isobel Griffiths, Warner Bros. Pictures"
2008-05-21,Indiana Jones and the Kingdom of the Crystal Skull,6.003,185000000,786636033,"Adventure, Action","treasure, mexico city, mexico, saving the world, whip, leather jacket, riddle, maya civilization, peru, machinegun, treasure hunt, alien, nuclear explosion, refrigerator, archaeologist, adventurer, area 51, archeology, 1950s, father son relationship",Steven Spielberg,"Harrison Ford, Cate Blanchett, Karen Allen, Shia LaBeouf, Ray Winstone","Paramount, Lucasfilm Ltd."
2008-06-04,Kung Fu Panda,7.248,130000000,631744560,"Action, Adventure, Animation, Family, Comedy","martial arts, kung fu, strong woman, china, tiger, bravery, restaurant, shop, panda, sensei, anthropomorphism, fighting, master, destiny, crane, aftercreditsstinger, wuxia, monkey warrior, viper, red panda","Mark Osborne, John Stevenson","Jack Black, Angelina Jolie, Dustin Hoffman, Ian McShane, Jackie Chan",DreamWorks Animation
2008-07-01,Hancock,6.345,150000000,629400000,"Fantasy, Action","love of one's life, flying, alcohol, advertising expert, superhero, pokies, forbidden love, lovers, invulnerability, affection, alcoholism, los angeles, california, duringcreditsstinger",Peter Berg,"Will Smith, Charlize Theron, Jason Bateman, Jae Head, Eddie Marsan","GH Three, Columbia Pictures, Relativity Media, Blue Light, Weed Road Pictures, Forward Pass, Overbrook Entertainment"
2008-07-03,Mamma Mia!,6.969,52000000,609841637,"Comedy, Romance","single parent, parent child relationship, greece, musical, romantic comedy, based on play or musical, single, based on song, poem or rhyme, hotel manager, greek island, duringcreditsstinger, woman director, mother daughter relationship, lgbt interest, jukebox musical, abba, music movie",Phyllida Lloyd,"Meryl Streep, Pierce Brosnan, Colin Firth, Stellan Skarsgård, Julie Walters","Littlestar, Playtone, Internationale Filmproduktion Richter"
2008-10-30,Madagascar: Escape 2 Africa,6.493,150000000,603900354,"Family, Adventure, Animation, Comedy","dance, friendship, jealousy, airplane, africa, hunger, lion, zoo, hippopotamus, giraffe, chimp, penguin, cartoon, volcano, zebra, sequel, slapstick comedy, madagascar, friends, shark, animal, duringcreditsstinger, lemur, talking animal","Eric Darnell, Tom McGrath","Ben Stiller, Chris Rock, David Schwimmer, Jada Pinkett Smith, Sacha Baron Cohen","DreamWorks Animation, Pacific Data Images"
2008-10-29,Quantum of Solace,6.32,200000000,589580482,"Adventure, Action, Thriller, Crime","undercover, killing, secret agent, mi6, british secret service",Marc Forster,"Daniel Craig, Olga Kurylenko, Mathieu Amalric, Judi Dench, Giancarlo Giannini","EON Productions, Metro-Goldwyn-Mayer, Columbia Pictures, B22"
2008-04-30,Iron Man,7.6,140000000,585174222,"Action, Science Fiction, Adventure","middle east, superhero, arms dealer, malibu, based on comic, aftercreditsstinger, marvel cinematic universe (mcu), counterterrorism",Jon Favreau,"Robert Downey Jr., Terrence Howard, Jeff Bridges, Gwyneth Paltrow, Leslie Bibb",Marvel Studios
2008-06-22,WALL·E,8.081,180000000,521311860,"Animation, Family, Science Fiction","garbage, dystopia, space travel, distant future, loneliness, robot, aftercreditsstinger, duringcreditsstinger",Andrew Stanton,"Ben Burtt, Elissa Knight, Jeff Garlin, Fred Willard, John Ratzenberger","Pixar, Walt Disney Pictures"
2008-05-15,The Chronicles of Narnia: Prince Caspian,6.62,225000000,419665568,"Adventure, Family, Fantasy","witch, epic, sibling relationship, based on novel or book, faith, lion, wretch, prince, matter of life and death, uncle, family relationships, battle, based on children's book, fantasy world, 1940s, high fantasy, isekai, based on young adult novel, good versus evil",Andrew Adamson,"Georgie Henley, Skandar Keynes, William Moseley, Anna Popplewell, Ben Barnes","Walt Disney Pictures, Walden Media, Stillking Films, Ozumi Films, Propeler, Silverbell Films, Revolution Sun Studios"
2008-05-12,Sex and the City,6.566,65000000,418765519,"Comedy, Drama, Romance","hotel, new year's eve, new york city, forgiveness, city portrait, fashion journal, saint louis, female friendship, romantic comedy, fashion designer, malibu, loss of libido, botox, couples therapy, best friend, wedding, break-up, fashion, manhattan, new york city, desire to have children, female sexuality",Michael Patrick King,"Sarah Jessica Parker, Kim Cattrall, Kristin Davis, Cynthia Nixon, Chris Noth","Darren Star Productions, New Line Cinema, HBO"
2008-07-01,The Mummy: Tomb of the Dragon Emperor,5.471,145000000,403449830,"Adventure, Action, Fantasy","china, sword, pyramid, mummy, yeti, chinese emperor, tomb, great wall of china, terracotta army, 1940s, 3rd century bc",Rob Cohen,"Brendan Fraser, Jet Li, Maria Bello, John Hannah, Michelle Yeoh","Universal Pictures, Relativity Media, The Sommers Company, Alphaville, Beijing Happy Pictures, Shanghai Film Group"
2008-11-20,Twilight,6.3,37000000,393616788,"Fantasy, Drama, Romance","high school, soulmates, based on novel or book, immortality, vampire, forbidden love, teen movie, trust, desire, washington state, duringcreditsstinger, woman director, interspecies romance, based on young adult novel, supernatural power, good versus evil, high school romance, vampire human love",Catherine Hardwicke,"Kristen Stewart, Robert Pattinson, Billy Burke, Peter Facinelli, Elizabeth Reaser","Summit Entertainment, Temple Hill Entertainment, Maverick Films, Imprint Entertainment, Goldcrest, Twilight Productions"
2008-11-12,Slumdog Millionaire,7.733,15000000,378410542,"Drama, Romance","based on novel or book, slum, cheating, suspicion, mumbai (bombay), india, game show, quiz, orphan, duringcreditsstinger, taj mahal, india",Danny Boyle,"Dev Patel, Saurabh Shukla, Anil Kapoor, Raj Zutshi, Jeneva Talwar","Celador Films, Film4 Productions"
2008-06-19,Wanted,6.512,75000000,342463063,"Action, Thriller, Crime","assassin, loss of loved one, secret society, mission of murder, based on comic, revenge, based on graphic novel, rejuvenation",Timur Bekmambetov,"James McAvoy, Angelina Jolie, Morgan Freeman, Terence Stamp, Thomas Kretschmann","Kickstart, Universal Pictures, Spyglass Entertainment, Marc Platt Productions, Top Cow Productions, Relativity Media, Ringerike Zweite Filmproduktion, Revolution Sun Studios"
2008-12-25,The Curious Case of Benjamin Button,7.58,150000000,335802786,"Drama, Fantasy, Romance","navy, funeral, diary, tea, travel, hospital, based on short story, reverse aging",David Fincher,"Brad Pitt, Cate Blanchett, Taraji P. Henson, Julia Ormond, Jason Flemyng","Paramount, Warner Bros. Pictures, The Kennedy/Marshall Company"
