Release Date,Title,Rating,Budget,Revenue,Genres,Keywords,Director,Cast,Production Companies
2000-05-24,Mission: Impossible II,6.12,125000000,546388105,"Adventure, Action, Thriller","dying and death, island, cia, helicopter, computer, spain, undercover, skyscraper, secret mission, spy, secret identity, ex-lover, secret agent, duel, lethal virus, rescue team, agent, research laboratory",John Woo,"Tom Cruise, Dougray Scott, Thandiwe Newton, Ving Rhames, Richard Roxburgh","Paramount, Cruise/Wagner Productions"
2000-05-04,Gladiator,8.2,103000000,465361176,"Action, Drama, Adventure","epic, gladiator, rome, italy, arena, senate, roman empire, parent child relationship, emperor, slavery, ancient rome, revenge, battlefield, slave auction, historical fiction, ancient world, combat, chariot, philosopher, barbarian horde, 2nd century, successor, commodus, maximus",Ridley Scott,"Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed, Richard Harris","Universal Pictures, Scott Free Productions, Red Wagon Entertainment, Mill Film, C & L, Dawliz, DreamWorks Pictures"
2000-12-22,Cast Away,7.662,90000000,429632142,"Adventure, Drama","exotic island, suicide attempt, volleyball, survival, loneliness, airplane crash, deserted island, tropical island",Robert Zemeckis,"Tom Hanks, Helen Hunt, Chris Noth, Paul Sanchez, Lari White","20th Century Fox, DreamWorks Pictures, ImageMovers, Playtone"
2000-12-15,What Women Want,6.44,70000000,374100000,"Comedy, Romance","telepathy, womanizer, single father, super power, teenage daughter, misogyny, advertising executive, woman director, female psyche",Nancy Meyers,"Mel Gibson, Helen Hunt, Marisa Tomei, Alan Alda, Ashley Johnson","Paramount, Icon Productions"
2000-05-19,Dinosaur,6.519,127500000,354248063,"Family, Animation","cataclysm, asteroid, leader, comet, migration, prehistory, prehistoric creature, dinosaur, birth, death, nesting grounds, cavern, lemur, mesozoic","Ralph Zondag, Eric Leighton","D.B. Sweeney, Alfre Woodard, Ossie Davis, Max Casella, Hayden Panettiere","Walt Disney Pictures, Walt Disney Feature Animation"
2000-11-17,How the Grinch Stole Christmas,6.752,123000000,345823040,"Family, Comedy, Fantasy","new love, based on novel or book, holiday, christmas party, village, santa claus, surrealism, thief, public humiliation, christmas, surreal world",Ron Howard,"Jim Carrey, Taylor Momsen, Jeffrey Tambor, Christine Baranski, Bill Irwin","Universal Pictures, Imagine Entertainment, LUNI Productions GmbH and Company KG"
2000-10-06,Meet the Parents,6.672,55000000,330444045,"Comedy, Romance","daughter, cia, airplane, airport, nurse, cat, orderly, father-in-law, epistaxis, lost baggage, urn, pavilion, volleyball, hospital, wedding",Jay Roach,"Ben Stiller, Robert De Niro, Teri Polo, Blythe Danner, Nicole DeHuff","Universal Pictures, DreamWorks Pictures, Nancy Tenenbaum Films, Tribeca Productions"
2000-06-29,The Perfect Storm,6.429,120000000,325756637,"Action, Adventure, Drama, Thriller","based on novel or book, natural disaster, u.s. air force, biography, based on true story, disaster, shark, tragic event, thunderstorm, new england, jamaican, meteorologist, rescue boat, marina, city hall, the flemish cap, male camaraderie, storm at sea, 1990s, man vs nature",Wolfgang Petersen,"George Clooney, Mark Wahlberg, Diane Lane, John C. Reilly, William Fichtner","Baltimore/Spring Creek Pictures, Radiant Productions, Warner Bros. Pictures"
2000-07-13,X-Men,7.0,75000000,296339527,"Adventure, Action, Science Fiction","superhero, mutant, based on comic, superhuman",Bryan Singer,"Patrick Stewart, Ian McKellen, Hugh Jackman, Anna Paquin, Halle Berry","The Donners' Company, Bad Hat Harry Productions, 20th Century Fox"
2000-07-21,What Lies Beneath,6.406,100000000,291420351,"Drama, Horror, Mystery, Thriller","lake, therapist, haunted house, haunting, suspicion, ouija board, car accident, new neighbor, vermont, missing child, ghost, séance, secret",Robert Zemeckis,"Harrison Ford, Michelle Pfeiffer, Diana Scarwid, James Remar, Miranda Otto","DreamWorks Pictures, 20th Century Fox, ImageMovers"
2000-07-07,Scary Movie,6.352,19000000,278019771,Comedy,"high school, psychopath, garage, satire, parody, crude humor, spoof, horror spoof, drugs, aftercreditsstinger, horror parody",Keenen Ivory Wayans,"Anna Faris, Jon Abrahams, Marlon Wayans, Shawn Wayans, Regina Hall","Brad Grey Pictures, Gold/Miller Productions, Wayans Bros. Entertainment, Dimension Films"
2000-11-02,Charlie's Angels,5.831,92000000,264100000,"Action, Adventure, Comedy, Crime, Thriller","martial arts, undercover agent, spy, secret agent, satire, female friendship, millionaire, agent, heroine, spy hero, based on tv series",McG,"Cameron Diaz, Drew Barrymore, Lucy Liu, Bill Murray, Sam Rockwell","Columbia Pictures, Tall Trees Productions, Flower Films, Leonard Goldberg Productions"
2000-03-17,Erin Brockovich,7.4,52000000,256271286,Drama,"biography, based on true story, single mother, water pollution, environmental law, legal drama, corporate negligence",Steven Soderbergh,"Julia Roberts, Albert Finney, Aaron Eckhart, Marg Helgenberger, Cherry Jones",Jersey Films
