Release Date,Title,Rating,Budget,Revenue,Genres,Keywords,Director,Cast,Production Companies
2012-04-25,The Avengers,7.711,220000000,1518815515,"Science Fiction, Action, Adventure","new york city, superhero, shield, based on comic, alien invasion, superhero team, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu)",Joss Whedon,"Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth, Scarlett Johansson",Marvel Studios
2012-10-24,Skyfall,7.232,200000000,1142471295,"Action, Adventure, Thriller","spy, secret agent, sociopath, mi6, killer, art gallery, british secret service, uzi, booby trap, impersonating a police officer, macao, komodo dragon",Sam Mendes,"Daniel Craig, Judi Dench, Javier Bardem, Ralph Fiennes, Naomie Harris","Metro-Goldwyn-Mayer, EON Productions, Danjaq, Columbia Pictures"
2012-07-17,The Dark Knight Rises,7.777,250000000,1081041287,"Action, Crime, Drama, Thriller","fight, burglar, hostage, secret identity, crime fighter, superhero, villainess, time bomb, based on comic, cover-up, vigilante, tragic hero, mobile, terrorism, destruction, fighting, criminal underworld, cat burglar, flood",Christopher Nolan,"Christian Bale, Michael Caine, Gary Oldman, Anne Hathaway, Tom Hardy","Syncopy, Legendary Pictures, DC Entertainment, Warner Bros. Pictures"
2012-12-12,The Hobbit: An Unexpected Journey,7.343,250000000,1021103568,"Adventure, Fantasy, Action","based on novel or book, orcs, elves, dwarf, horseback riding, sword, burglar, legend, riddle, mountain, travel, troll, creature, thunderstorm, fantasy world, wizard, epic battle, lost ring, journey, goblin, giant, tunnel, underground lake, buried treasure, invisibility, ancient, quest, high fantasy, good versus evil, epic fantasy, fantasy creature",Peter Jackson,"Martin Freeman, Ian McKellen, Richard Armitage, Graham McTavish, Ken Stott","Warner Bros. Pictures, Metro-Goldwyn-Mayer, New Line Cinema, WingNut Films"
2012-06-27,Ice Age: Continental Drift,6.361,95000000,877244782,"Animation, Comedy, Adventure, Family","sequel, prehistory, seal (animal), melting ice, floating ice, land bridge, era, glaciale, deriva","Steve Martino, Mike Thurmeier","Ray Romano, John Leguizamo, Denis Leary, Seann William Scott, Josh Peck","Blue Sky Studios, 20th Century Fox Animation, 20th Century Fox"
2012-11-13,The Twilight Saga: Breaking Dawn - Part 2,6.471,120000000,829747654,"Adventure, Fantasy, Drama, Romance","based on novel or book, vampire, villainess, romance, teen movie, werewolf, supernatural creature, super strength, imprinting, cross breed, bloodsucker, grudge, chief of police, wolf pack, misinformation, seeing the future, based on young adult novel",Bill Condon,"Robert Pattinson, Kristen Stewart, Taylor Lautner, Peter Facinelli, Elizabeth Reaser","Summit Entertainment, Temple Hill Entertainment, Sunswept Entertainment, Lionsgate"
2012-06-23,The Amazing Spider-Man,6.694,215000000,757930663,"Action, Adventure, Fantasy","experiment, loss of loved one, superhero, based on comic, vigilante, teenage girl, violent death, teenage boy, super power, spider bite, masked vigilante, reboot, genetic engineering, social outcast, death of husband, duringcreditsstinger, teenage hero, virus, teenage angst, vigilante justice",Marc Webb,"Andrew Garfield, Emma Stone, Rhys Ifans, Martin Sheen, Sally Field","Marvel Entertainment, Laura Ziskin Productions, Columbia Pictures, Matt Tolmach Productions, Arad Productions"
2012-06-06,Madagascar 3: Europe's Most Wanted,6.611,145000000,746921274,"Animation, Family, Comedy, Adventure","friendship, circus, lion, zoo, hippopotamus, giraffe, penguin, cartoon, zebra, slapstick comedy, madagascar, animal, lemur, talking animal","Conrad Vernon, Eric Darnell, Tom McGrath","Ben Stiller, Chris Rock, David Schwimmer, Jada Pinkett Smith, Frances McDormand","DreamWorks Animation, Paramount, Pacific Data Images"
2012-03-12,The Hunger Games,7.199,75000000,694394724,"Science Fiction, Adventure, Fantasy","based on novel or book, revolution, dystopia, female protagonist, bow and arrow, game, archery, death match, forced to kill, based on young adult novel",Gary Ross,"Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Woody Harrelson, Elizabeth Banks","Lionsgate, Color Force"
2012-05-23,Men in Black 3,6.513,225000000,624026776,"Action, Comedy, Science Fiction","time travel, time machine, based on comic, alien, buddy cop, fictional government agency, seeing the future, changing history",Barry Sonnenfeld,"Will Smith, Tommy Lee Jones, Josh Brolin, Jemaine Clement, Emma Thompson","Columbia Pictures, Hemisphere Media Capital, Amblin Entertainment, Parkes+MacDonald Image Nation, Imagenation Abu Dhabi FZ"
2012-11-20,Life of Pi,7.397,120000000,609016565,"Adventure, Drama","sea, faith, loss of loved one, 1970s, zebra, survival, young boy, zookeeper, orangutan, teenage boy, hyena, meerkat, magic realism, cargo ship, lifeboat, injured animal, storm at sea, told in flashback, wreckage, loss of family, teenage protagonist, family loss, flying fish",Ang Lee,"Suraj Sharma, Irrfan Khan, Ayush Tandon, Gautam Belur, Adil Hussain","Fox 2000 Pictures, Dune Entertainment, Ingenious Media, Haishang Films, Netter Productions, India Take One Productions, Ingenious Film Partners, Big Screen Productions"
2012-06-29,Ted,6.412,50000000,549368315,"Comedy, Fantasy","friendship, dream, love, buddy, teddy bear, toy comes to life, wishes come true",Seth MacFarlane,"Mark Wahlberg, Mila Kunis, Seth MacFarlane, Joel McHale, Giovanni Ribisi","Universal Pictures, MRC, Fuzzy Door Productions, Bluegrass Films, Smart Entertainment"
2012-06-21,Brave,7.0,185000000,538983207,"Animation, Adventure, Comedy, Family, Action, Fantasy","kingdom, scotland, rebel, bravery, wish, archer, bear, scot, rebellious daughter, turns into animal, archery, ruins, aftercreditsstinger, peace offering, woman director, quest","Brenda Chapman, Mark Andrews","Kelly Macdonald, Billy Connolly, Emma Thompson, Julie Walters, Robbie Coltrane","Walt Disney Pictures, Pixar"
2012-11-01,Wreck-It Ralph,7.332,165000000,471222889,"Family, Animation, Comedy, Adventure","video game, support group, bullying, medal, product placement, jail, racing, arcade, self esteem, curiosity, precocious child, aftercreditsstinger, duringcreditsstinger, first person shooter, glitch, carefree, interrupted wedding, social reject, escape from jail, hoverboard, purpose of life",Rich Moore,"John C. Reilly, Sarah Silverman, Jack McBrayer, Alan Tudyk, Jane Lynch","Walt Disney Animation Studios, Walt Disney Pictures"
2012-12-18,Les Misérables,7.339,61000000,441800000,"History, Drama","rebellion, army, robbery, france, based on novel or book, love triangle, love at first sight, brothel, mayor, french revolution, musical, arrest, based on play or musical, barricade, wedding, prostitution, falling in love, corpse, parole, convict, forced prostitution, police inspector, girl disguised as boy, historical drama, 19th century, out of wedlock child, historical romance, death of a child, abusive family, corrupt businessman",Tom Hooper,"Hugh Jackman, Russell Crowe, Anne Hathaway, Amanda Seyfried, Sacha Baron Cohen","Universal Pictures, Working Title Films, Cameron Mackintosh Ltd., Relativity Media"
2012-12-25,Django Unchained,8.173,100000000,425368238,"Drama, Western","rescue, friendship, bounty hunter, texas, slavery, plantation, rivalry, revenge, shootout, racism, kindness, dentist, django, slave trade, aftercreditsstinger, black slave, agreement, 19th century, chattanooga, german, cotton plantation, plantation owner, old west, western, 1850s, mississippi",Quentin Tarantino,"Jamie Foxx, Christoph Waltz, Leonardo DiCaprio, Kerry Washington, Samuel L. Jackson","The Weinstein Company, Columbia Pictures"
2012-05-30,Prometheus,6.541,130000000,403354469,"Science Fiction, Adventure, Mystery","android, alien, space, creature, spin off, creation, emergency surgery, stasis, archeological dig, god complex, cave drawing, prometheus, genetic mutation, origins of life, 2090s",Ridley Scott,"Noomi Rapace, Michael Fassbender, Charlize Theron, Idris Elba, Guy Pearce","Dune Entertainment, Scott Free Productions, 20th Century Fox, Brandywine Productions"
2012-05-30,Snow White and the Huntsman,6.0,170000000,396600000,"Adventure, Fantasy, Drama","magic, immortality, fairy tale, queen, imprisonment, forest, deception, eternal youth, evil queen, evil stepmother, based on fairy tale, sorceress, live action remake",Rupert Sanders,"Kristen Stewart, Chris Hemsworth, Charlize Theron, Sam Claflin, Ian McShane","Universal Pictures, Roth Films"
2012-09-27,Taken 2,6.338,45000000,376141306,"Action, Crime, Thriller","kidnapping, fbi, turkey, police chase, teenage daughter, stealing a car, ex-husband ex-wife relationship, albanian, u.s. embassy",Olivier Megaton,"Liam Neeson, Maggie Grace, Famke Janssen, Leland Orser, D.B. Sweeney","EuropaCorp, Grive Productions, M6 Films, Ciné+, 20th Century Fox, Canal+, Dune Entertainment, Taken 2, Fox International Productions"
2012-09-20,Hotel Transylvania,6.954,85000000,358375603,"Animation, Comedy, Family, Fantasy","hotel, witch, vampire, romance, love, zombie, invisible person, duringcreditsstinger, nosferatu, protective father, magical creature, father daughter relationship",Genndy Tartakovsky,"Adam Sandler, Andy Samberg, Selena Gomez, Kevin James, Fran Drescher","Columbia Pictures, Sony Pictures Animation"
