Release Date,Title,Rating,Budget,Revenue,Genres,Keywords,Director,Cast,Production Companies
2013-11-20,Frozen,7.245,150000000,1274219009,"Animation, Family, Adventure, Fantasy","princess, magic, mistake in person, queen, cartoon, musical, betrayal, snowman, reindeer, curse, snow, troll, based on children's book, mountain climbing, evil prince, based on fairy tale, aftercreditsstinger, frozen, woman director, sister sister relationship, magic land","Chris Buck, Jennifer Lee","Kristen Bell, Idina Menzel, Jonathan Groff, Josh Gad, Santino Fontana","Walt Disney Pictures, Walt Disney Animation Studios"
2013-04-18,Iron Man 3,6.927,200000000,1215577205,"Action, Adventure, Science Fiction","california, war on terror, superhero, malibu, based on comic, tennessee, billionaire, aftercreditsstinger, marvel cinematic universe (mcu), christmas, america",Shane Black,"Robert Downey Jr., Gwyneth Paltrow, Don Cheadle, Guy Pearce, Ben Kingsley",Marvel Studios
2013-06-26,Despicable Me 2,6.919,76000000,970761885,"Animation, Comedy, Family","parent child relationship, adoptive father, secret agent, bakery, sequel, falling in love, family, single father, audition, female agent, duringcreditsstinger, first date, supervillain, despicable, masked supervillain, minions","Pierre Coffin, Chris Renaud","Steve Carell, Kristen Wiig, Benjamin Bratt, Miranda Cosgrove, Russell Brand","Illumination, Universal Pictures"
2013-12-11,The Hobbit: The Desolation of Smaug,7.571,250000000,958400000,"Fantasy, Adventure, Action","based on novel or book, orcs, elves, dwarf, giant spider, forest, bear, dragon, turns into animal, wizard, sword and sorcery",Peter Jackson,"Martin Freeman, Ian McKellen, Richard Armitage, Ken Stott, James Nesbitt","Warner Bros. Pictures, WingNut Films, New Line Cinema, Metro-Goldwyn-Mayer"
2013-11-15,The Hunger Games: Catching Fire,7.424,130000000,865011746,"Adventure, Action, Science Fiction","rebellion, based on novel or book, propaganda, dystopia, games, uprising, sequel, president, survival, murder, conspiracy, female protagonist, tournament, based on young adult novel",Francis Lawrence,"Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Woody Harrelson, Elizabeth Banks","Lionsgate, Color Force"
2013-05-21,Fast & Furious 6,6.817,160000000,788680968,"Action, Thriller, Crime","car race, sequel, street race, car theft",Justin Lin,"Vin Diesel, Paul Walker, Dwayne Johnson, Jordana Brewster, Michelle Rodriguez","Universal Pictures, Relativity Media, Original Film, One Race, Fuji Television Network, F & F VI Productions A.I.E, dentsu"
2013-06-19,Monsters University,7.032,200000000,743559607,"Animation, Family","friendship, monster, door, games, training camp, dormitory, feud, bully, prequel, best friend, university, fraternity, aftercreditsstinger, college student, personification",Dan Scanlon,"Billy Crystal, John Goodman, Steve Buscemi, Helen Mirren, Peter Sohn","Pixar, Walt Disney Pictures"
2013-10-03,Gravity,7.162,105000000,723192705,"Science Fiction, Thriller, Drama","space mission, loss, space, astronaut, space station, trapped in space",Alfonso Cuarón,"Sandra Bullock, George Clooney, Ed Harris, Orto Ignatiussen, Phaldut Sharma","Esperanto Filmoj, Warner Bros. Pictures, Heyday Films"
2013-06-12,Man of Steel,6.6,225000000,668045518,"Action, Adventure, Science Fiction","saving the world, flying, hope, superhero, based on comic, alien planet, superhuman, alien invasion, super power, mysterious force, reboot, save the day, dc extended universe (dceu), save the planet, origin story, alien spaceship",Zack Snyder,"Henry Cavill, Amy Adams, Michael Shannon, Diane Lane, Russell Crowe","DC Entertainment, Syncopy, Peters Entertainment, Warner Bros. Pictures"
2013-10-30,Thor: The Dark World,6.534,170000000,644783140,"Action, Adventure, Fantasy","superhero, based on comic, hostile takeover, norse mythology, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu), mythological place",Alan Taylor,"Chris Hemsworth, Natalie Portman, Tom Hiddleston, Anthony Hopkins, Christopher Eccleston",Marvel Studios
2013-03-15,The Croods,6.915,135000000,587204668,"Animation, Adventure, Family, Fantasy, Comedy, Action","daughter, parent child relationship, stone age, father, prehistory, ancient world, family, cavemen, aftercreditsstinger, duringcreditsstinger, pets","Chris Sanders, Kirk DeMicco","Nicolas Cage, Emma Stone, Ryan Reynolds, Catherine Keener, Cloris Leachman",DreamWorks Animation
