Release Date,Title,Rating,Budget,Revenue,Genres,Keywords,Director,Cast,Production Companies
1999-05-19,Star Wars: Episode I - The Phantom Menace,6.536,115000000,924317558,"Adventure, Action, Science Fiction","galaxy, senate, taskmaster, prophecy, queen, apprentice, taxes, space opera",George Lucas,"Liam Neeson, Ewan McGregor, Natalie Portman, Jake Lloyd, Ian McDiarmid",Lucasfilm Ltd.
1999-08-06,The Sixth Sense,7.947,40000000,672800000,"Mystery, Thriller, Drama","dying and death, child abuse, philadelphia, pennsylvania, sense of guilt, afterlife, marriage crisis, loss of loved one, confidence, psychology, paranormal phenomena, single, psychological thriller, cowardliness, single mother, school play, ghost, child, spiritism, ghost child",M. Night Shyamalan,"Bruce Willis, Haley Joel Osment, Toni Collette, Olivia Williams, Trevor Morgan","Spyglass Entertainment, The Kennedy/Marshall Company, Hollywood Pictures, Barry Mendel Productions"
1999-10-30,Toy Story 2,7.588,90000000,497366869,"Animation, Comedy, Family","friendship, airplane, museum, prosecution, identity crisis, flea market, collector, sequel, buddy, rescue team, garage sale, duringcreditsstinger, toy comes to life, personification, inanimate objects come to life",John Lasseter,"Tom Hanks, Tim Allen, Joan Cusack, Kelsey Grammer, Don Rickles",Pixar
1999-03-30,The Matrix,8.2,63000000,463517383,"Action, Science Fiction","man vs machine, martial arts, dream, artificial intelligence (a.i.), saving the world, hacker, self sacrifice, virtual reality, fight, prophecy, truth, philosophy, dystopia, insurgence, simulated reality , cyberpunk, dream world, woman director, messiah, action hero, gnosticism","Lilly Wachowski, Lana Wachowski","Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving, Joe Pantoliano","Village Roadshow Pictures, Groucho II Film Partnership, Silver Pictures, Warner Bros. Pictures"
1999-06-18,Tarzan,7.401,130000000,448200000,"Family, Adventure, Animation, Drama","baby, africa, gorilla, adoption, feral child, tarzan, nest, anthropomorphism, jungle, camp, orphan","Kevin Lima, Chris Buck","Tony Goldwyn, Minnie Driver, Glenn Close, Alex D. Linz, Rosie O'Donnell","Walt Disney Pictures, Edgar Rice Burroughs Inc., Walt Disney Feature Animation"
1999-04-16,The Mummy,6.912,80000000,415885488,"Adventure, Action, Fantasy","egypt, cairo, library, secret passage, pastor, pyramid, sandstorm, solar eclipse, mummy, foreign legion, nile, secret society, treasure hunt, remake, archaeologist, tomb, book of the dead, ancient egypt, opposites attract, 1920s, pharoah, good versus evil",Stephen Sommers,"Brendan Fraser, Rachel Weisz, John Hannah, Arnold Vosloo, Patricia Velásquez","Universal Pictures, Alphaville"
1999-05-21,Notting Hill,7.263,42000000,363889678,"Romance, Comedy","friendship, new love, london, england, bookshop, england, birthday, movie business, roommate, press conference, paparazzi, wheelchair, bath tub, cohabitant, interview, fame, falling in love, celebration, group of friends, movie star, dinner party, famous actor",Roger Michell,"Julia Roberts, Hugh Grant, Gina McKee, Tim McInnerny, Rhys Ifans","Notting Hill Pictures, Bookshop Productions, PolyGram Filmed Entertainment, Working Title Films, Universal Pictures"
1999-11-17,The World Is Not Enough,6.267,135000000,361832400,"Adventure, Action, Thriller","mission, oil, mi6, heiress, bilbao, spain, british secret service",Michael Apted,"Pierce Brosnan, Robert Carlyle, Sophie Marceau, Denise Richards, Robbie Coltrane","EON Productions, Metro-Goldwyn-Mayer, Danjaq, United Artists, Kanzaman Productions"
1999-09-15,American Beauty,8.0,15000000,356296601,Drama,"estate agent, adultery, coming out, first time, virgin, cheating, parent child relationship, age difference, midlife crisis, cheerleader, dark comedy, rose, satire, dysfunctional family, suburbia, coming of age, sexual fantasy, dysfunctional marriage, marijuana, loneliness, love affair, exercise, extramarital affair, realtor, quitting a job, voyeur, neighborhood, retired army man, closeted homosexual, singing in a car, gay theme, teenager, camcorder",Sam Mendes,"Kevin Spacey, Annette Bening, Thora Birch, Wes Bentley, Mena Suvari","DreamWorks Pictures, Jinks/Cohen Company"
1999-06-08,Austin Powers: The Spy Who Shagged Me,6.278,33000000,312016928,"Adventure, Comedy, Crime, Science Fiction","android, exotic island, cia, space marine, showdown, moon, usa president, saving the world, laser gun, submarine, nasa, undercover, clone, spy, car journey, time travel, supermodel, parody, aftercreditsstinger, duringcreditsstinger",Jay Roach,"Mike Myers, Heather Graham, Michael York, Robert Wagner, Rob Lowe","New Line Cinema, Eric's Boy"
1999-07-30,Runaway Bride,6.077,70000000,309457509,"Comedy, Romance","small town, chase, self-discovery, artist, just married, reporter, wedding, relationship, wedding ceremony, screwball comedy, self identity, hair salon, cold feet",Garry Marshall,"Julia Roberts, Richard Gere, Joan Cusack, Héctor Elizondo, Rita Wilson","Lakeshore Entertainment, Paramount, Touchstone Pictures, Interscope Communications"
1999-12-17,Stuart Little,6.0,133000000,300100000,"Family, Fantasy, Comedy, Adventure","sibling relationship, based on novel or book, cat, gangster, orphanage, adoption, mouse, stepbrother, world trade center",Rob Minkoff,"Michael J. Fox, Geena Davis, Hugh Laurie, Jonathan Lipnicki, Nathan Lane","Franklin/Waterman Productions, Columbia Pictures, Global Medien KG, Red Wagon Entertainment"
1999-12-10,The Green Mile,8.509,60000000,286801374,"Fantasy, Drama, Crime","mentally disabled, based on novel or book, southern usa, psychopath, death row, jail guard, supernatural, great depression, prison guard, jail, electric chair, torture, magic realism, healing, 1930s, abuse of power",Frank Darabont,"Tom Hanks, Michael Clarke Duncan, David Morse, Bonnie Hunt, Michael Jeter","Warner Bros. Pictures, Universal Pictures, PolyGram Filmed Entertainment, Castle Rock Entertainment, Darkwoods Productions"
1999-07-14,The Blair Witch Project,6.337,60000,248639099,"Horror, Mystery","witch, legend, camping, map, supernatural, wilderness, forest, maryland, mockumentary, paranormal, friends, survival, urban legend, fear, witchcraft, evil, found footage, videotape, lost in the woods","Daniel Myrick, Eduardo Sánchez","Rei Hance, Michael C. Williams, Joshua Leonard, Bob Griffin, Jim King","Haxan Films, Artisan Entertainment"
1999-07-09,American Pie,6.574,11000000,235483004,"Comedy, Romance","innocence, graduation, loss of virginity, coming of age, high school student, pie, teen comedy, teenage sexuality, exchange student, sex comedy, voyeurism, virginity, laxative, prom night, teenager",Paul Weitz,"Jason Biggs, Chris Klein, Thomas Ian Nicholas, Alyson Hannigan, Shannon Elizabeth","Summit Entertainment, Universal Pictures, Newmarket Capital Group, Zide-Perry Productions"
1999-06-25,Big Daddy,6.467,34200000,234801895,"Comedy, Drama","bachelor, vomit, syracuse university, law school, politically incorrect, young boy, wetting pants, central park, public urination, child's point of view, responsibility, immaturity",Dennis Dugan,"Adam Sandler, Joey Lauren Adams, Jon Stewart, Cole Sprouse, Dylan Sprouse","Columbia Pictures, Out of the Blue... Entertainment, Jack Giarraputo Productions"
1999-06-30,Wild Wild West,5.318,170000000,222104681,"Action, Adventure, Comedy, Science Fiction, Western","remake, steampunk, cowboy, steam locomotive, drag, world domination, action hero, buddy movie",Barry Sonnenfeld,"Will Smith, Kevin Kline, Kenneth Branagh, Salma Hayek Pinault, M. Emmet Walsh","Peters Entertainment, Sonnenfeld Josephson Worldwide Entertainment, Todman, Simon, LeMasters Productions, Warner Bros. Pictures"
1999-04-29,Entrapment,6.21,66000000,212404396,"Romance, Drama, Mystery","new year's eve, london, england, distrust, undercover, burglar, skyscraper, blackmail, heist, thief, older man younger woman relationship, art thief, criminal, art theft, millennium, manhattan, new york city, kuala lumpur malaysia",Jon Amiel,"Catherine Zeta-Jones, Sean Connery, Will Patton, Maury Chaykin, Ving Rhames","Fountainbridge Films, Regency Enterprises"
1999-11-24,End of Days,6.1,100000000,211989043,"Action, Horror, Fantasy","new year's eve, new york city, nightmare, faith, christianity, pastor, bible, satanist, ex-cop, atheist, anti-christ, millenium, priest, hospital, explosion, church, devil, ritual murder, stigmata, supernatural horror, good versus evil, security agent, private security organization",Peter Hyams,"Arnold Schwarzenegger, Gabriel Byrne, Robin Tunney, Kevin Pollak, CCH Pounder",Beacon Communications
1999-11-19,Sleepy Hollow,7.167,100000000,206100000,"Drama, Fantasy, Thriller, Mystery, Horror","small town, steampunk, 19th century, headless horseman",Tim Burton,"Johnny Depp, Christina Ricci, Miranda Richardson, Michael Gambon, Casper Van Dien","Paramount, Mandalay Pictures, American Zoetrope, Karol Film Productions, Scott Rudin Productions"
