Release Date,Title,Rating,Budget,Revenue,Genres,Keywords,Director,Cast,Production Companies
1989-05-24,Indiana Jones and the Last Crusade,7.85,48000000,474171806,"Adventure, Action","saving the world, nazi, holy grail, venice, italy, entrapment, crusader, germany, riddle, brotherhood, zeppelin, tank, book burning, nazi officer, boat chase, gestapo, single father, traveling circus, archaeologist, bible quote, medieval, boy scouts, german soldier, motorcycle chase, hindenburg, german agent, 1930s, biblical archaeology, father son relationship, adolf hitler, german language, knights templar, nazi germany, the crusades",Steven Spielberg,"Harrison Ford, Sean Connery, Denholm Elliott, Alison Doody, John Rhys-Davies","Paramount, Lucasfilm Ltd."
1989-06-21,Batman,7.22,35000000,411348924,"Fantasy, Action, Crime","dual identity, double life, chemical, crime fighter, superhero, villain, based on comic, mobster, organized crime, criminal, super power, madness, good versus evil",Tim Burton,"Michael Keaton, Jack Nicholson, Kim Basinger, Michael Gough, Jerry Hall","The Guber-Peters Company, Warner Bros. Pictures, Polygram Pictures"
1989-11-22,Back to the Future Part II,7.753,40000000,332000000,"Adventure, Comedy, Science Fiction","flying car, skateboarding, car race, lightning, guitar, inventor, time travel, diner, car crash, sequel, alternate history, thunderstorm, tunnel, high school dance, hoverboard, 2010s",Robert Zemeckis,"Michael J. Fox, Christopher Lloyd, Lea Thompson, Thomas F. Wilson, Elisabeth Shue","Universal Pictures, Amblin Entertainment"
1989-10-12,Look Who's Talking,6.271,7500000,297000000,"Comedy, Romance","baby, single parent, pregnancy, duringcreditsstinger, woman director",Amy Heckerling,"Kirstie Alley, John Travolta, Bruce Willis, Olympia Dukakis, George Segal","Management Company Entertainment Group (MCEG), Hollywood Licensing Group"
1989-06-02,Dead Poets Society,8.313,16400000,235860116,Drama,"individual, friendship, philosophy, poetry, literature, professor, coming of age, teacher, school play, vermont, schoolteacher, preparatory school, 1950s, teenager",Peter Weir,"Robin Williams, Ethan Hawke, Robert Sean Leonard, Gale Hansen, Josh Charles","Touchstone Pictures, Silver Screen Partners IV, A Steven Haft Production, Witt/Thomas Productions"
1989-07-07,Lethal Weapon 2,7.008,25000000,227900000,"Action, Adventure, Comedy, Crime, Thriller","showdown, police, loss of loved one, sequel, mixed martial arts, gang, los angeles, california, police detective, wisecrack humor, buddy cop, diplomatic immunity, lapd, maverick cop, action hero",Richard Donner,"Mel Gibson, Danny Glover, Joe Pesci, Joss Ackland, Derrick O'Connor","Silver Pictures, Warner Bros. Pictures"
1989-06-23,"Honey, I Shrunk the Kids",6.282,18000000,222724172,"Adventure, Comedy, Family, Science Fiction","inventor, parent child relationship, ant, shrinking, giant insect, neighbor",Joe Johnston,"Rick Moranis, Matt Frewer, Marcia Strassman, Kristine Sutherland, Thomas Wilson Brown","Buena Vista Pictures, Walt Disney Pictures"
1989-06-16,Ghostbusters II,6.532,37000000,215394738,"Comedy, Fantasy","new york city, painting, supernatural, ghostbuster, paranormal phenomena, slime, mythology, reincarnation, product placement, crude humor, single mother, paranormal investigation, old flame, courtroom, urban setting, book store, chrysler building, ghost, river of slime, revolving door, occult research, ghostbusters",Ivan Reitman,"Bill Murray, Dan Aykroyd, Sigourney Weaver, Harold Ramis, Rick Moranis",Columbia Pictures
1989-11-17,The Little Mermaid,7.356,40000000,211343479,"Animation, Family, Fantasy","princess, sea, daughter, kingdom, fireworks, mermaid, prince, crab, fish out of water, misunderstanding, single father, based on fairy tale, true love, bargain, trident, father daughter relationship","Ron Clements, John Musker","Jodi Benson, Samuel E. Wright, Pat Carroll, Christopher Daniel Barnes, Kenneth Mars","Walt Disney Pictures, Silver Screen Partners IV, Walt Disney Feature Animation"
1989-12-20,Born on the Fourth of July,6.997,14000000,161001698,"Drama, War","vietnam war, vietnam veteran, post-traumatic stress disorder (ptsd), 1970s, wheelchair, biography, based on true story, based on memoir or autobiography, desert, fourth of july, anti war, drunkenness, 1950s, 1960s",Oliver Stone,"Tom Cruise, Raymond J. Barry, Caroline Kava, Holly Marie Combs, Kyra Sedgwick","Universal Pictures, Ixtlan"
1989-12-08,The War of the Roses,6.882,26000000,160188546,"Comedy, Drama","marriage, romance, love-hate relationship, lawyer, divorce, argument, divorce lawyer",Danny DeVito,"Michael Douglas, Kathleen Turner, Danny DeVito, Marianne Sägebrecht, Sean Astin","Jersey Films, Gracie Films, 20th Century Fox"
1989-06-13,Licence to Kill,6.37,32000000,156167015,"Adventure, Action, Thriller","florida, corruption, airplane, liberation of prisoners, drug trafficking, secret identity, floatplane, transport of prisoners, tank car, florida keys, coast guard, british secret service",John Glen,"Timothy Dalton, Carey Lowell, Robert Davi, Talisa Soto, Anthony Zerbe","EON Productions, United Artists, Danjaq"
1989-12-13,Driving Miss Daisy,7.2,7500000,145793296,Drama,"individual, chauffeur, culture clash, self-discovery, widow, 1970s, atlanta, pulitzer prize, civil rights, racial segregation, based on play or musical, car accident, unlikely friendship, elderly, african american servant, 1940s, 1950s, 1960s, elderly lady, race relations",Bruce Beresford,"Morgan Freeman, Jessica Tandy, Dan Aykroyd, Patti LuPone, Esther Rolle","The Zanuck Company, Majestic Films International, Warner Bros. Pictures"
1989-09-22,Black Rain,6.58,30000000,134212055,"Drama, Action, Thriller","martial arts, japan, police, gangster, yakuza, organized crime, osaka, japan, police chase, action hero",Ridley Scott,"Michael Douglas, Andy García, Ken Takakura, Kate Capshaw, Yūsaku Matsuda","Pegasus Film Partners, Paramount, Jaffe-Lansing"
1989-07-31,Parenthood,6.708,20000000,126297830,"Comedy, Drama","parent child relationship, grandparent grandchild relationship, dysfunctional family, family relationships, parenting, children's party",Ron Howard,"Steve Martin, Mary Steenburgen, Dianne Wiest, Jason Robards, Rick Moranis","Universal Pictures, Imagine Entertainment"
1989-09-15,Sea of Love,6.595,19000000,110879513,"Crime, Drama, Romance, Mystery, Thriller","new york city, newspaper, police, alcohol, detective, murder, serial killer, neo-noir",Harold Becker,"Al Pacino, Ellen Barkin, John Goodman, Michael Rooker, William Hickey",Universal Pictures
1989-11-15,Steel Magnolias,7.207,15000000,95904091,"Comedy, Drama, Romance","strong woman, southern usa, beauty, female friendship, based on play or musical",Herbert Ross,"Sally Field, Dolly Parton, Shirley MacLaine, Daryl Hannah, Olympia Dukakis","Rastar Productions, TriStar Pictures"
1989-07-21,When Harry Met Sally...,7.402,16000000,92823546,"Comedy, Romance, Drama","new york city, friendship, husband wife relationship, orgasm, restaurant, platonic love, diner, central park, central park, new york city",Rob Reiner,"Billy Crystal, Meg Ryan, Carrie Fisher, Bruno Kirby, Steven Ford","Castle Rock Entertainment, Nelson Entertainment"
1989-08-09,The Abyss,7.346,70000000,90000098,"Adventure, Action, Thriller, Science Fiction","sea, flying saucer, submarine, ocean, diving suit, secret mission, insanity, nuclear missile, u.s. navy, alien life-form, ufo, warning, scuba diving, underwater, scuba, extraterrestrial life form, deepsea, message, trapped underwater , thalassophobia",James Cameron,"Ed Harris, Mary Elizabeth Mastrantonio, Michael Biehn, Leo Burmester, Todd Graff","Lightstorm Entertainment, Pacific Western, 20th Century Fox"
1989-04-21,Field of Dreams,7.107,15000000,84431625,"Drama, Fantasy","farm, regret, based on novel or book, sports, baseball, iowa, miracle, road trip, author, doctor, recluse, pta, ghost, reconciliation, hearing voices, school board, cornfield",Phil Alden Robinson,"Kevin Costner, Amy Madigan, Gaby Hoffmann, James Earl Jones, Ray Liotta",Universal Pictures
