Release Date,Title,Rating,Budget,Revenue,Genres,Keywords,Director,Cast,Production Companies
2009-12-15,Avatar,7.575,237000000,2923706026,"Action, Adventure, Fantasy, Science Fiction","future, society, culture clash, space travel, space war, space colony, tribe, romance, alien, futuristic, space, alien planet, marine, soldier, battle, love affair, nature, anti war, power relations, mind and soul",James Cameron,"Sam Worthington, Zoe Saldaña, Stephen Lang, Michelle Rodriguez, Sigourney Weaver","Dune Entertainment, Lightstorm Entertainment, 20th Century Fox, Ingenious Media"
2009-07-15,Harry Potter and the Half-Blood Prince,7.695,250000000,933959197,"Adventure, Fantasy","witch, dying and death, london, england, magic, school of witchcraft, apparition, curse, teenage crush, school, werewolf, teenage love, luck, wizard, secret past, christmas, based on young adult novel",David Yates,"Daniel Radcliffe, Rupert Grint, Emma Watson, Jim Broadbent, Michael Gambon","Warner Bros. Pictures, Heyday Films"
2009-06-26,Ice Age: Dawn of the Dinosaurs,6.739,90000000,886686817,"Animation, Comedy, Family, Adventure","insanity, ice age, bridge, sequel, jungle, prehistory, dinosaur, creature, birth, duringcreditsstinger",Carlos Saldanha,"Ray Romano, John Leguizamo, Denis Leary, Queen Latifah, Simon Pegg","Blue Sky Studios, 20th Century Fox Animation"
2009-06-19,Transformers: Revenge of the Fallen,6.173,200000000,836303693,"Science Fiction, Action, Adventure","egypt, chaos, sun, tank, symbol, alien, artifact, revenge, based on toy, robot, duringcreditsstinger",Michael Bay,"Shia LaBeouf, Megan Fox, Josh Duhamel, Tyrese Gibson, John Turturro","DreamWorks Pictures, Paramount, di Bonaventura Pictures, Tom DeSanto/Don Murphy Production, Ian Bryce Productions"
2009-10-10,2012,5.8,200000000,791217826,"Action, Adventure, Science Fiction","race against time, maya civilization, civilization, natural disaster, earthquake, end of the world, disaster, apocalypse, destruction, volcanic eruption, flood, disaster movie, ark, solar, 2010s",Roland Emmerich,"John Cusack, Chiwetel Ejiofor, Amanda Peet, Oliver Platt, Thandiwe Newton","Columbia Pictures, Centropolis Entertainment, Farewell Productions, The Mark Gordon Company"
2009-05-28,Up,8.0,175000000,735099082,"Animation, Comedy, Family, Adventure","central and south america, age difference, balloon, travel, dog, duringcreditsstinger, pets, exploring, senior",Pete Docter,"Ed Asner, Christopher Plummer, Jordan Nagai, Bob Peterson, Delroy Lindo",Pixar
2009-11-18,The Twilight Saga: New Moon,6.002,50000000,709827462,"Adventure, Fantasy, Drama, Romance","moon, based on novel or book, vampire, teen movie, werewolf, interspecies romance, based on young adult novel, supernatural power, good versus evil, vampire human love",Chris Weitz,"Kristen Stewart, Robert Pattinson, Taylor Lautner, Dakota Fanning, Michael Sheen","Summit Entertainment, Temple Hill Entertainment, Maverick Films, Imprint Entertainment, Sunswept Entertainment"
2009-12-23,Sherlock Holmes,7.205,90000000,524028679,"Action, Adventure, Crime, Mystery","london, england, based on novel or book, detective, scotland yard, coffin, pentagram, black magic, arrest, partner, murder, serial killer, steampunk, whodunit, buddy, clue, curious, observation, 19th century, sherlock, victorian era, sherlock holmes, sherlock films, mystery",Guy Ritchie,"Robert Downey Jr., Jude Law, Rachel McAdams, Mark Strong, Eddie Marsan","Warner Bros. Pictures, Village Roadshow Pictures, Silver Pictures, Wigram Productions, Internationale Filmproduktion Blackbird Dritte"
2009-05-13,Angels & Demons,6.704,150000000,485930816,"Thriller, Mystery","based on novel or book, rome, italy, vatican, symbolism, illuminati, quantum mechanics, prequel, anti matter, conspiracy, investigator, catholicism, cern",Ron Howard,"Tom Hanks, Ewan McGregor, Ayelet Zurer, Stellan Skarsgård, Pierfrancesco Favino","Columbia Pictures, Imagine Entertainment, Skylark Productions, Panorama Films"
2009-06-02,The Hangover,7.314,35000000,469310836,Comedy,"blackjack, stag night, lost weekend, chapel, hit with tire iron, memory loss, las vegas, drugs",Todd Phillips,"Bradley Cooper, Ed Helms, Zach Galifianakis, Justin Bartha, Heather Graham","Legendary Pictures, Green Hat Films, Warner Bros. Pictures"
