Release Date,Title,Rating,Budget,Revenue,Genres,Keywords,Director,Cast,Production Companies
1988-12-12,Rain Man,7.76,25000000,354825435,Drama,"mentally disabled, individual, loss of loved one, yuppie, autism, car dealer, egocentrism, convertible, road trip, blackjack, cincinnati, travel, las vegas, psychiatrist, disability, duringcreditsstinger, asperger's syndrome, savant",Barry Levinson,"Dustin Hoffman, Tom Cruise, Valeria Golino, Gerald R. Molen, Jack Murdock","United Artists, Star Partners II Ltd., The Guber-Peters Company"
1988-06-21,Who Framed Roger Rabbit,7.519,70000000,329800000,"Fantasy, Animation, Comedy, Crime","based on novel or book, falsely accused, movie business, innocence, suspicion of murder, cartoon, mental breakdown, whodunit, los angeles, california, love sickness, private detective, movie star, cartoon rabbit, neo-noir, 1940s, live action and animation",Robert Zemeckis,"Bob Hoskins, Christopher Lloyd, Joanna Cassidy, Charles Fleischer, Stubby Kaye","Amblin Entertainment, Silver Screen Partners III, Touchstone Pictures"
1988-06-29,Coming to America,6.868,30000000,288752301,"Comedy, Romance","new york city, fast food restaurant, prince, fake identity, heir to the throne, fish out of water, duringcreditsstinger, searching for love",John Landis,"Eddie Murphy, Arsenio Hall, James Earl Jones, John Amos, Shari Headley","Eddie Murphy Productions, Paramount"
1988-05-19,Crocodile Dundee II,5.816,14000000,239606210,"Adventure, Comedy","australia, new york city, crocodile, knife, adventurer, aftercreditsstinger, kangaroo",John Cornell,"Paul Hogan, Linda Kozlowski, John Meillon, Ernie Dingo, Charles S. Dutton",Paramount
1988-12-08,Twins,6.0,15000000,216614388,Comedy,"experiment, orphanage, perfection, low intelligence, jet engine, twins separated at birth, artist colony, same habits, opposites",Ivan Reitman,"Arnold Schwarzenegger, Danny DeVito, Kelly Preston, Chloe Webb, Bonnie Bartlett",Universal Pictures
1988-05-24,Rambo III,6.178,63000000,189015611,"Action, Adventure, Thriller, War","submachine gun, competition, machinegun, liberation, soviet union, soviet military, thailand, freedom fighter, afghanistan, war on freedom, mujahid",Peter MacDonald,"Sylvester Stallone, Richard Crenna, Marc de Jonge, Kurtwood Smith, Spiros Focás","TriStar Pictures, Carolco Pictures"
1988-07-29,Cocktail,6.099,20000000,171504781,"Romance, Drama, Comedy","new york city, jamaica, night life, bartender, ambition, rags to riches, cocktail",Roger Donaldson,"Tom Cruise, Bryan Brown, Elisabeth Shue, Lisa Banes, Kelly Lynch","Interscope Communications, Touchstone Pictures, Silver Screen Partners III"
1988-06-03,Big,7.164,18000000,151927281,"Fantasy, Drama, Comedy, Romance, Family","baseball, romance, coming of age, best friend, co-workers relationship, body-swap, magic realism, bronx, new york city, pinball machine, toy maker, job promotion, homesick, new toy, quarter, unplugged electronic works, yankee stadium, wish fulfillment, bunk bed, woman director, age change",Penny Marshall,"Tom Hanks, Elizabeth Perkins, Robert Loggia, John Heard, Jared Rushton","American Entertainment Partners II L.P., Gracie Films, 20th Century Fox"
1988-07-15,Die Hard,7.78,28000000,140767956,"Action, Thriller","based on novel or book, s.w.a.t., hostage, fbi, christmas party, vault, heist, murder, shootout, los angeles, california, terrorism, one man army, hostage negotiator, one night, 1980s, action hero, german",John McTiernan,"Bruce Willis, Alan Rickman, Alexander Godunov, Bonnie Bedelia, Reginald VelJohnson","Gordon Company, Silver Pictures, 20th Century Fox"
1988-10-21,The Bear,6.992,25000000,138241022,"Adventure, Drama, Family","canada, based on novel or book, rocky mountains, wilderness, kodiak bear, brown bear, puma, fur trapping, spring, summer, dog, bear cub",Jean-Jacques Annaud,"Tchéky Karyo, Jack Wallace, André Lacombe, Bart The Bear, Youk the Bear","Renn Productions, Price, Pathé"
