Release Date,Title,Rating,Budget,Revenue,Genres,Keywords,Director,Cast,Production Companies
1982-06-11,E.T. the Extra-Terrestrial,7.515,10500000,792965500,"Science Fiction, Adventure, Family, Fantasy","farewell, space marine, operation, flying saucer, nasa, homesickness, loss of loved one, extraterrestrial technology, prosecution, riding a bicycle, halloween, finger, flowerpot, alien, single, single mother",Steven Spielberg,"Henry Thomas, Drew Barrymore, Robert MacNaughton, Peter Coyote, Dee Wallace","Universal Pictures, Amblin Entertainment"
1982-05-28,Rocky III,6.876,17000000,270000000,Drama,"dying and death, transporter, sports, trainer, boxer, comeback, defeat, training, world champion, challenger, victory, rematch, revenge, wealth, fame, boxing",Sylvester Stallone,"Sylvester Stallone, Talia Shire, Burt Young, Carl Weathers, Mr. T","Winkler Films, United Artists"
1982-12-17,Tootsie,7.212,21000000,177200000,"Comedy, Romance","infidelity, new york city, love, friends, cross dressing, agent, reputation, unemployed actor, serenade, apology, live television",Sydney Pollack,"Dustin Hoffman, Jessica Lange, Teri Garr, Dabney Coleman, Charles Durning","Mirage Enterprises, Punch Productions, Delphi Films, Columbia Pictures"
1982-07-28,An Officer and a Gentleman,7.009,7500000,129795554,"Drama, Romance","navy, love of one's life",Taylor Hackford,"Richard Gere, Debra Winger, Louis Gossett Jr., David Keith, Robert Loggia","Paramount, Lorimar Film Entertainment"
1982-10-22,First Blood,7.482,15000000,125212904,"Action, Adventure, Thriller, War","prison, guerrilla warfare, dying and death, vietnam war, vietnam veteran, hero, vietnam, police brutality, sheriff, escape, police, gun, submachine gun, falsely accused, destroy, self-defense, firearm, prosecution, attempt to escape, police operation, matter of life and death, tramp, national guard, rural area, antihero",Ted Kotcheff,"Sylvester Stallone, Richard Crenna, Brian Dennehy, Bill McKinney, Jack Starrett","Carolco Pictures, Anabasis N.V., Elcajo Productions, Cinema 84, Orion Pictures"
1982-06-04,Poltergeist,7.152,10700000,122200000,Horror,"dying and death, parent child relationship, medium, poltergeist, ghostbuster, haunted house, paranormal phenomena, family relationships, suburbia, power of goodness, haunted",Tobe Hooper,"Craig T. Nelson, JoBeth Williams, Beatrice Straight, Dominique Dunne, Oliver Robins","Metro-Goldwyn-Mayer, Steven Spielberg Productions, SLM Production Group"
1982-06-04,Star Trek II: The Wrath of Khan,7.459,12000000,96800000,"Action, Adventure, Science Fiction, Thriller","spacecraft, life and death, genetics, asteroid, self sacrifice, teleportation, genesis, midlife crisis, terraforming, simulator, cadet, radiation, uss reliant, starship, revenge, weapon of mass destruction, space opera, mentor protégé relationship, outer space",Nicholas Meyer,"William Shatner, Leonard Nimoy, DeForest Kelley, James Doohan, George Takei",Paramount
1982-04-02,Conan the Barbarian,6.798,20000000,79114085,"Adventure, Fantasy, Action","epic, based on novel or book, gladiator, fight, magic, repayment, mythology, despot, black magic, warlord, stone age, thief, barbarian, wizard, warrior, serpent, action hero, sword and sorcery, mysticism, good versus evil",John Milius,"Arnold Schwarzenegger, James Earl Jones, Max von Sydow, Sandahl Bergman, Cassandra Gava","Universal Pictures, Dino De Laurentiis Company, Pressman Film, Estudios Churubusco Azteca S.A."
1982-12-07,48 Hrs.,6.679,12000000,78868508,"Thriller, Action, Comedy, Crime, Drama","prison, san francisco, california, knife, partner, revenge, convict, buddy cop, tough cop, fake fight, dysfunctional relationship",Walter Hill,"Nick Nolte, Eddie Murphy, Annette O'Toole, Frank McRae, James Remar",Paramount
1982-11-30,Gandhi,7.545,22000000,77737889,"Drama, History","muslim, strike, prayer, freedom, independence, release from prison, demonstration, world war ii, imprisonment, colony, hunger strike, hindu, british army, political negotiations, conference, nonviolent resistance, apartheid, british empire, protest, independence movement, biography, idealism, based on true story, idealist, fighting the system",Richard Attenborough,"Ben Kingsley, Candice Bergen, Edward Fox, John Gielgud, Trevor Howard","Goldcrest, Indo-British, International Film Investors, National Film Development Corporation of India, Columbia Pictures"
