Release Date,Title,Rating,Budget,Revenue,Genres,Keywords,Director,Cast,Production Companies
2022-12-14,Avatar: The Way of Water,7.65,460000000,2320250281,"Science Fiction, Adventure, Action","dying and death, loss of loved one, alien life-form, resurrection, dysfunctional family, sequel, alien planet, distant future, adopted child, rebirth, family dynamics, adopted son, stronger villain, war",James Cameron,"Sam Worthington, Zoe Saldaña, Sigourney Weaver, Stephen Lang, Kate Winslet","20th Century Studios, Lightstorm Entertainment"
2022-05-24,Top Gun: Maverick,8.245,170000000,1488732821,"Action, Drama","fighter pilot, u.s. navy, sequel, nuclear weapons, military",Joseph Kosinski,"Tom Cruise, Miles Teller, Jennifer Connelly, Jon Hamm, Glen Powell","Skydance, Don Simpson/Jerry Bruckheimer Films, Paramount"
2022-06-01,Jurassic World Dominion,6.8,165000000,1001978080,"Adventure, Action, Science Fiction","giant monster, sequel, dinosaur, child kidnapping, jurassic, animal sanctuary",Colin Trevorrow,"Chris Pratt, Bryce Dallas Howard, Laura Dern, Sam Neill, Jeff Goldblum","Amblin Entertainment, Universal Pictures"
2022-05-04,Doctor Strange in the Multiverse of Madness,7.3,200000000,955775804,"Fantasy, Action, Adventure","magic, superhero, based on comic, alternate reality, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu)",Sam Raimi,"Benedict Cumberbatch, Elizabeth Olsen, Chiwetel Ejiofor, Benedict Wong, Xochitl Gomez","Marvel Studios, Kevin Feige Productions"
2022-06-29,Minions: The Rise of Gru,7.361,85000000,939628210,"Animation, Comedy, Family","1970s, sequel, spin off, duringcreditsstinger, minions, gentleminions",Kyle Balda,"Steve Carell, Pierre Coffin, Alan Arkin, Taraji P. Henson, Michelle Yeoh","Universal Pictures, Illumination"
2022-11-09,Black Panther: Wakanda Forever,7.167,250000000,859102154,"Action, Adventure, Science Fiction","hero, loss of loved one, superhero, royal family, based on comic, sequel, royalty, underwater, political intrigue , death in family, mourning, death of brother, duringcreditsstinger, death of king, marvel cinematic universe (mcu), hidden civilization, yucatan, mayans",Ryan Coogler,"Letitia Wright, Lupita Nyong'o, Danai Gurira, Winston Duke, Dominique Thorne",Marvel Studios
2022-03-01,The Batman,7.7,185000000,771000000,"Crime, Mystery, Thriller","police, psychopath, secret identity, crime fighter, superhero, nightclub, politician, based on comic, vigilante, organized crime, serial killer, millionaire, social injustice, murder investigation, aftercreditsstinger, masked superhero, political corruption, neo-noir, vengeance, mayoral election",Matt Reeves,"Robert Pattinson, Zoë Kravitz, Paul Dano, Jeffrey Wright, John Turturro","6th & Idaho, Dylan Clark Productions, DC Films, Warner Bros. Pictures"
2022-07-06,Thor: Love and Thunder,6.502,250000000,760928081,"Fantasy, Action, Comedy","hero, ex-girlfriend, superhero, greek mythology, based on comic, sequel, shadow, norse mythology, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu), heroes, norse god, god of thunder, colorless, child abduction, thor, nude male lead",Taika Waititi,"Chris Hemsworth, Natalie Portman, Christian Bale, Tessa Thompson, Taika Waititi","Marvel Studios, Kevin Feige Productions"
2022-02-01,The Battle at Lake Changjin II: Water Gate Bridge,6.429,200000000,626203271,"War, History, Action, Drama","korean war, historical, chinese communism, communist propaganda, chosin","Chen Kaige, Tsui Hark, Dante Lam","Wu Jing, Jackson Yee, Duan Yihong, Zhu Yawen, Jerry Lee","Bona Film Group, Distribution Workshop, China Film Group Corporation, A Really Happy Film, Alibaba Pictures Group, Huaxia Film Distribution"
2022-12-07,Puss in Boots: The Last Wish,8.3,90000000,484700000,"Adventure, Fantasy, Animation, Comedy, Family, Action","fairy tale, talking dog, spin off, aftercreditsstinger, talking cat, fear of death",Joel Crawford,"Antonio Banderas, Salma Hayek Pinault, Harvey Guillén, Wagner Moura, Florence Pugh","DreamWorks Animation, Universal Pictures"
