Release Date,Title,Rating,Budget,Revenue,Genres,Keywords,Director,Cast,Production Companies
1987-09-18,Fatal Attraction,6.847,14000000,320145693,"Drama, Thriller","new york city, sexual obsession, marriage crisis, obsession, married couple, deceived wife, one-night stand, stalker, stalking, lawyer, female stalker, extramarital affair, obsessive love, executive, married man, psychotic obsessions, obsessed with a man, obsessive relationship, every man's nightmare",Adrian Lyne,"Michael Douglas, Glenn Close, Anne Archer, Ellen Hamilton Latzen, Stuart Pankin",Paramount
1987-05-18,Beverly Hills Cop II,6.473,28000000,299965036,"Action, Comedy, Crime","police, arms smuggling, intensive care, undercover, detective, investigation, armored car, strip club, sequel, shootout, gunfight, los angeles, california, detroit, michigan, horse track, beverly hills, buddy cop, credit card fraud, playboy mansion, shooting range, robbery gang, superdetective, ferrari",Tony Scott,"Eddie Murphy, Judge Reinhold, John Ashton, Jürgen Prochnow, Brigitte Nielsen","Eddie Murphy Productions, Paramount, Don Simpson/Jerry Bruckheimer Films"
1987-11-27,3 Men and a Baby,6.178,11000000,242780960,Comedy,"new york city, baby, bachelor, roommate, adoption, parenthood, fatherhood, abandoned baby",Leonard Nimoy,"Tom Selleck, Steve Guttenberg, Ted Danson, Nancy Travis, Margaret Colin","Touchstone Pictures, Interscope Communications, Silver Screen Partners III"
1987-08-21,Dirty Dancing,7.344,6000000,214577242,"Drama, Music, Romance","hotel, daughter, dancing, secret love, robbery, sibling relationship, summer camp, dancing master, mambo, dance performance, musical, coming of age, teenage crush, teenage girl, doctor, class differences, family holiday, sensuality, summer romance, catskill resort",Emile Ardolino,"Jennifer Grey, Patrick Swayze, Jerry Orbach, Cynthia Rhodes, Jack Weston","Great American Films Limited Partnership, Vestron Pictures"
1987-06-29,The Living Daylights,6.5,40000000,191185897,"Action, Adventure, Thriller","prison, london, england, assassination, airplane, escape, arms smuggling, england, secret mission, arms deal, spy, falsely accused, big wheel, secret intelligence service, drug trafficking, secret identity, cello, villain, kgb, renegade, special car, tangier morocco, country estate, orchestra, freedom fighter, czechoslovakia, bratislava, slovakia, afghanistan, schloss schönbrunn, vienna, austria, moscow, russia",John Glen,"Timothy Dalton, Maryam d'Abo, Joe Don Baker, Art Malik, John Rhys-Davies","United Artists, EON Productions, Danjaq"
1987-12-23,"Good Morning, Vietnam",7.309,13000000,123922370,"Comedy, Drama, War","dying and death, vietnam war, rock 'n' roll, vietcong, right and justice, explosive, war crimes, radio station, radio presenter, cynic, entertainer, gi, u.s. air force, radio, saigon, provocation",Barry Levinson,"Robin Williams, Forest Whitaker, Trần Thanh Tùng, Chintara Sukapatana, Bruno Kirby","Touchstone Pictures, Silver Screen Partners III"
1987-03-06,Lethal Weapon,7.287,15000000,120200000,"Adventure, Action, Comedy, Thriller, Crime","showdown, police, self-destruction, mixed martial arts, los angeles, california, police detective, ex soldier, wisecrack humor, buddy cop, lapd, maverick cop, homicide detective, christmas, death of wife, action hero",Richard Donner,"Mel Gibson, Danny Glover, Gary Busey, Mitchell Ryan, Tom Atkins","Silver Pictures, Warner Bros. Pictures"
1987-09-18,Dennis the Menace,5.5,35000000,117270765,"Family, Comedy",,Doug Rogers,"Russell Alexander, Gregory A. Belitz, Zachary Bostrom, Robert Clotworthy, Victor DiMattia","Coca-Cola Telecommunications, DiC Entertainment"
1987-04-10,The Secret of My Success,6.448,12000000,110996879,Comedy,"dual identity, mistake in person, college, success, wealth",Herbert Ross,"Michael J. Fox, Helen Slater, Richard Jordan, Margaret Whitton, John Pankow","Universal Pictures, Rastar Productions"
1987-06-12,Predator,7.511,15000000,98267558,"Science Fiction, Action, Adventure, Thriller","guerrilla warfare, central and south america, predator, trap, alien, survival, stalking, creature, alien invasion, invisible, commando, violence",John McTiernan,"Arnold Schwarzenegger, Carl Weathers, Elpidia Carrillo, Jesse Ventura, Sonny Landham","Silver Pictures, 20th Century Fox, Lawrence Gordon Productions, Davis Entertainment, Amercent Films, American Entertainment Partners L.P., Estudios Churubusco Azteca S.A."
