Release Date,Title,Rating,Budget,Revenue,Genres,Keywords,Director,Cast,Production Companies
2018-04-25,Avengers: Infinity War,8.3,300000000,2052415039,"Adventure, Action, Science Fiction","sacrifice, magic, superhero, based on comic, space, battlefield, genocide, magical object, super power, aftercreditsstinger, marvel cinematic universe (mcu), cosmic","Anthony Russo, Joe Russo","Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans, Scarlett Johansson",Marvel Studios
2018-02-13,Black Panther,7.4,200000000,1349926083,"Action, Adventure, Science Fiction","africa, superhero, based on comic, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu)",Ryan Coogler,"Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gurira, Martin Freeman",Marvel Studios
2018-06-06,Jurassic World: Fallen Kingdom,6.5,170000000,1310466296,"Action, Adventure, Science Fiction, Thriller","tyrannosaurus rex, volcano, rescue mission, sequel, wild animal, prehistoric creature, dinosaur, genetic engineering, aftercreditsstinger, monster island",J. A. Bayona,"Chris Pratt, Bryce Dallas Howard, Rafe Spall, Toby Jones, Ted Levine","Amblin Entertainment, Universal Pictures"
2018-06-14,Incredibles 2,7.477,200000000,1242805359,"Action, Adventure, Animation, Family","married couple, superhero, cartoon, sequel, parenting, family, super power",Brad Bird,"Craig T. Nelson, Holly Hunter, Sarah Vowell, Huck Milner, Samuel L. Jackson","Walt Disney Pictures, Pixar"
2018-12-07,Aquaman,6.898,160000000,1148528393,"Action, Adventure, Fantasy","hero, chase, atlantis, superhero, half-brother, based on comic, royalty, underwater, duringcreditsstinger, quest, dc extended universe (dceu), advanced civilization, two worlds",James Wan,"Jason Momoa, Amber Heard, Willem Dafoe, Patrick Wilson, Nicole Kidman","Warner Bros. Pictures, The Safran Company, DC Films"
2018-10-24,Bohemian Rhapsody,7.995,52000000,910800000,"Music, Drama","london, england, aids, musician, 1970s, queen, biography, based on true story, singer, hiv, male homosexuality, fame, rock band, lgbt, 1980s, gay theme, music movie",Bryan Singer,"Rami Malek, Gwilym Lee, Ben Hardy, Joseph Mazzello, Lucy Boynton","20th Century Fox, Regency Enterprises, GK Films, TSG Entertainment"
2018-09-28,Venom,6.827,116000000,856085151,"Science Fiction, Action","spacecraft, san francisco, california, superhero, anti hero, alien life-form, based on comic, aftercreditsstinger, duringcreditsstinger, business tycoon, symbiote, genetic experiment",Ruben Fleischer,"Tom Hardy, Michelle Williams, Riz Ahmed, Scott Haze, Reid Scott","Matt Tolmach Productions, Pascal Pictures, Marvel Entertainment, Tencent Pictures, Arad Productions"
2018-07-13,Mission: Impossible - Fallout,7.42,178000000,791657398,"Action, Adventure","race against time, london, england, helicopter, paris, france, plutonium, gun, spy, countdown, norway, sequel, motorcycle, bomb remote detonator, handgun, hand to hand combat, kashmir",Christopher McQuarrie,"Tom Cruise, Henry Cavill, Ving Rhames, Simon Pegg, Rebecca Ferguson","Paramount, Bad Robot, Skydance, TC Productions"
2018-05-10,Deadpool 2,7.491,110000000,785896609,"Action, Comedy, Adventure","hero, superhero, mutant, mercenary, based on comic, sequel, aftercreditsstinger, duringcreditsstinger",David Leitch,"Ryan Reynolds, Josh Brolin, Morena Baccarin, Julian Dennison, Zazie Beetz","Maximum Effort, Genre Films, 20th Century Fox"
2018-11-14,Fantastic Beasts: The Crimes of Grindelwald,6.87,200000000,654855901,"Fantasy, Adventure, Family","witch, new york city, paris, france, magic, school of witchcraft, sequel, prison escape, old flame, wizard, magical creature, 1920s, good versus evil, dark magic, follower",David Yates,"Eddie Redmayne, Katherine Waterston, Dan Fogler, Alison Sudol, Johnny Depp","Warner Bros. Pictures, Heyday Films"
2018-07-04,Ant-Man and the Wasp,6.948,140000000,622674139,"Action, Adventure, Science Fiction","van, dream, insect, flying, chase, fight, superhero, ant, nuclear missile, shrinking, based on comic, giant insect, sequel, flashback, house arrest, alternate dimension, tragic villain, laboratory, fugitive, school, miniaturization, montage, toy car, giant man, female villain, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu), giant, action hero, father daughter relationship, mother daughter relationship",Peyton Reed,"Paul Rudd, Evangeline Lilly, Michael Peña, Walton Goggins, Bobby Cannavale",Marvel Studios
2018-03-28,Ready Player One,7.603,175000000,607274134,"Adventure, Action, Science Fiction","future, based on novel or book, video game, virtual reality, dystopia, nostalgia, love, film in film, evil corporation, quest, 1980s, 2040s, based on young adult novel, columbus, ohio",Steven Spielberg,"Tye Sheridan, Olivia Cooke, Ben Mendelsohn, Lena Waithe, T.J. Miller","Amblin Entertainment, De Line Pictures, Warner Bros. Pictures, Farah Films & Management, Village Roadshow Pictures, Access Entertainment"
2018-02-16,Operation Red Sea,7.13,70000000,579220560,"Action, Thriller, War, Drama","red sea, historical fiction, desert, hostage situation, tank battle, uranium, peoples army, naval battleship",Dante Lam,"Zhang Yi, Johnny Huang, Hai Qing, Du Jiang, Zhang Hanyu","Bona Film Group, The P.L.A Navy Government TV Art Central of China, Star Dream Studio Media, Emperor Film Production, Film Fireworks Production, ZAK Film Productions"
2018-08-09,The Meg,6.255,150000000,530517320,"Action, Science Fiction, Horror","beach, based on novel or book, ocean, deep sea, creature, underwater, shark, oceanic expedition, kaiju, submersible, extinct, underwater facility, mariana trench",Jon Turteltaub,"Jason Statham, Li Bingbing, Rainn Wilson, Cliff Curtis, Ruby Rose","Apelles Entertainment, Gravity Pictures, di Bonaventura Pictures, Flagship Entertainment Group, Maeday Productions, Warner Bros. Pictures"
2018-11-20,Ralph Breaks the Internet,7.2,175000000,529323962,"Family, Animation, Comedy, Adventure","video game, cartoon, sequel, internet, lethal virus, aftercreditsstinger, duringcreditsstinger, online gaming","Rich Moore, Phil Johnston","John C. Reilly, Sarah Silverman, Gal Gadot, Taraji P. Henson, Bill Hader","Walt Disney Pictures, Walt Disney Animation Studios"
2018-06-28,Hotel Transylvania 3: Summer Vacation,6.888,80000000,528600000,"Animation, Comedy, Family, Fantasy","monster, vampire, vacation, cruise ship, summer vacation, dracula",Genndy Tartakovsky,"Adam Sandler, Andy Samberg, Selena Gomez, Kevin James, Fran Drescher","Columbia Pictures, Sony Pictures Animation"
2018-11-08,The Grinch,6.835,75000000,508600000,"Animation, Family, Comedy, Fantasy","holiday, surrealism, remake, based on children's book, christmas","Scott Mosier, Yarrow Cheney","Benedict Cumberbatch, Rashida Jones, Kenan Thompson, Cameron Seely, Angela Lansbury","Illumination, Dr. Seuss Enterprises, Universal Animation Studios"
2018-12-15,Bumblebee,6.7,135000000,467989645,"Action, Adventure, Science Fiction","technology, based on toy, robot, spin off, 1980s",Travis Knight,"Hailee Steinfeld, John Cena, Jorge Lendeborg Jr., John Ortiz, Jason Ian Drucker","Paramount, Allspark Pictures, Bay Films, di Bonaventura Pictures, Tom DeSanto/Don Murphy Production"
2018-10-03,A Star Is Born,7.501,36000000,433888866,"Music, Drama, Romance","concert, country music, waitress, pop star, self-destruction, talent, addiction, death of father, alcoholism, remake, aspiring singer, singer, fame, tinnitus, falling in love, insecurity, alcoholic, death of mother, aspiration, death of parent, showbiz, emotional vulnerability, hearing impaired, brother brother relationship",Bradley Cooper,"Lady Gaga, Bradley Cooper, Sam Elliott, Andrew Dice Clay, Rafi Gavron","Warner Bros. Pictures, Live Nation Productions, Metro-Goldwyn-Mayer, Peters Entertainment, Gerber Pictures, Joint Effort"
2018-04-11,Rampage,6.456,120000000,428028233,"Action, Adventure, Science Fiction","monster, wolf, mutation, gorilla, giant monster, lizard, giant lizard, creature, based on video game, giant animal, mutant animal, kaiju, albino, giant, rat, genetic experiment, destroyed city, giant gorilla, animal monster",Brad Peyton,"Dwayne Johnson, Naomie Harris, Malin Åkerman, Jeffrey Dean Morgan, Jake Lacy","Wrigley Pictures, New Line Cinema, 7 Bucks Entertainment, ASAP Entertainment, Flynn Picture Company, Twisted Media"
