Release Date,Title,Rating,Budget,Revenue,Genres,Keywords,Director,Cast,Production Companies
1995-10-30,Toy Story,7.971,30000000,394400000,"Animation, Adventure, Family, Comedy","rescue, friendship, mission, martial arts, jealousy, bullying, elementary school, rivalry, anthropomorphism, friends, computer animation, buddy, walkie talkie, toy car, boy next door, new toy, neighborhood, toy comes to life, resourcefulness",John Lasseter,"Tom Hanks, Tim Allen, Don Rickles, Jim Varney, Wallace Shawn",Pixar
1995-05-19,Die Hard: With a Vengeance,7.257,90000000,366101666,"Action, Thriller","new york city, taxi, gold, helicopter, robbery, police, bomb, riddle, detective, fbi, fistfight, deception, sequel, flashback, revenge, shootout, explosion, cargo ship, simon says, dump truck, aqueduct, bomb threat, action hero, federal reserve bank, nyc subway",John McTiernan,"Bruce Willis, Samuel L. Jackson, Jeremy Irons, Larry Bryggman, Graham Greene","Cinergi Pictures Entertainment, 20th Century Fox"
1995-06-30,Apollo 13,7.448,52000000,355237933,"Drama, History","rescue, florida, race against time, moon, nasa, spaceman, based on true story, houston, survival, space, disaster, explosion, astronaut, hypothermia, apollo program, lunar mission, spacecraft accident",Ron Howard,"Tom Hanks, Bill Paxton, Kevin Bacon, Gary Sinise, Ed Harris","Imagine Entertainment, Universal Pictures"
1995-11-16,GoldenEye,6.882,58000000,352194034,"Adventure, Action, Thriller","computer virus, cuba, falsely accused, secret intelligence service, secret identity, secret base, kgb, satellite, special car, cossack, electromagnetic pulse, time bomb, st. petersburg, russia, red army",Martin Campbell,"Pierce Brosnan, Sean Bean, Izabella Scorupco, Famke Janssen, Joe Don Baker","EON Productions, United Artists"
1995-06-14,Pocahontas,6.929,55000000,346100000,"Adventure, Animation, Family, Romance","princess, culture clash, colony, forbidden love, musical, gold rush, native american, colonisation, virginia, star crossed lovers, intercultural relationship, based on myths, legends or folklore, 17th century, shamanism, animal sidekick","Mike Gabriel, Eric Goldberg","Irene Bedard, Mel Gibson, David Ogden Stiers, John Kassir, Christian Bale","Walt Disney Pictures, Walt Disney Feature Animation"
1995-06-16,Batman Forever,5.409,100000000,336529144,"Action, Crime, Fantasy","riddle, superhero, villain, rose, based on comic, partner, robin, broken neck, psychologist, criminal, district attorney, millionaire, super power, falling down stairs, tied up, tommy gun, beretta, knocked out, disfigurement, father figure, good versus evil",Joel Schumacher,"Val Kilmer, Jim Carrey, Nicole Kidman, Tommy Lee Jones, Chris O'Donnell","Warner Bros. Pictures, Tim Burton Productions, Polygram Pictures"
1995-09-22,Se7en,8.37,33000000,327311859,"Crime, Mystery, Thriller","drug dealer, rage and hate, police, s.w.a.t., sadism, self-fulfilling prophecy, psychopath, detective, rain, investigation, pension, evisceration, pride and vanity, immoderateness, insomnia, murder, serial killer, religion, seven deadly sins, depravity, neo-noir, misanthropy",David Fincher,"Morgan Freeman, Brad Pitt, Gwyneth Paltrow, Andrew Kevin Walker, Daniel Zacapa","New Line Cinema, Juno Pix, Cecchi Gori Pictures"
1995-05-26,Casper,6.3,50000000,287928194,"Fantasy, Comedy, Family","friendship, afterlife, supernatural, halloween, bullying, treasure hunt, based on comic, friends, teenage girl, ghost hunting, super power, psychiatry, ghost, disorder, young heroes, imaginary, mischievous children, ghost child, mischief, unfinished business",Brad Silberling,"Christina Ricci, Bill Pullman, Malachi Pearson, Cathy Moriarty, Eric Idle","The Harvey Entertainment Company, Universal Pictures, Amblin Entertainment"
1995-07-28,Waterworld,6.194,175000000,264218220,"Adventure, Action, Science Fiction","sailboat, tattoo, based on novel or book, diving, ocean, mutant, post-apocalyptic future, pirate, oil tanker, environmental disaster, reluctant hero, infamous financial failure",Kevin Reynolds,"Kevin Costner, Dennis Hopper, Jeanne Tripplehorn, Tina Majorino, R. D. Call","Gordon Company, Davis Entertainment, Universal Pictures, Licht/Mueller Film Corporation"
1995-12-15,Jumanji,7.239,65000000,262821940,"Adventure, Fantasy, Family","giant insect, board game, disappearance, jungle, recluse, stampede, based on young adult novel",Joe Johnston,"Robin Williams, Kirsten Dunst, Bradley Pierce, Bonnie Hunt, Jonathan Hyde","TriStar Pictures, Interscope Communications, Teitler Film, PolyGram Filmed Entertainment"
1995-07-18,Babe,6.192,30000000,254134910,"Fantasy, Drama, Comedy, Family","farm, sheep, pig, alarm clock, cat, duck, heroism, affection, piglet, anthropomorphism, based on children's book, dog, separation, farmer, grandson, sheepdog, talking pig, christmas",Chris Noonan,"Christine Cavanaugh, Miriam Margolyes, Danny Mann, Hugo Weaving, Miriam Flynn","Universal Pictures, Kennedy Miller Productions"
1995-05-24,Braveheart,7.936,72000000,213216216,"Action, Drama, History, War","勇敢的心, braveheart",Mel Gibson,"Mel Gibson, Catherine McCormack, Sophie Marceau, Patrick McGoohan, Angus Macfadyen","Icon Entertainment International, The Ladd Company, B.H. Finance C.V."
1995-11-10,Ace Ventura: When Nature Calls,6.304,30000000,212385533,"Crime, Comedy, Adventure","kidnapping, africa, indigenous, human animal relationship, bat, stupidity, slapstick comedy, animal, pets",Steve Oedekerk,"Jim Carrey, Ian McNeice, Simon Callow, Maynard Eziashi, Bob Gunton","Morgan Creek, Warner Bros. Pictures"
1995-03-10,Outbreak,6.533,50000000,189859560,"Action, Drama, Science Fiction, Thriller","research, army, general, river, monkey, epidemic, medical research",Wolfgang Petersen,"Dustin Hoffman, Rene Russo, Morgan Freeman, Kevin Spacey, Cuba Gooding Jr.","Kopelson Entertainment, Arnold Kopelson Productions, Punch Productions, Warner Bros. Pictures"
1995-12-15,Heat,7.911,60000000,187436818,"Action, Crime, Drama","robbery, chase, obsession, detective, heist, thief, honor, murder, betrayal, gang, los angeles, california, cat and mouse, bank robbery, criminal mastermind, ex-con, one last job, loner, bank job, neo-noir, crime epic",Michael Mann,"Al Pacino, Robert De Niro, Val Kilmer, Jon Voight, Tom Sizemore","Warner Bros. Pictures, Regency Enterprises, Forward Pass"
1995-04-21,While You Were Sleeping,6.971,17000000,182057016,"Romance, Comedy","chicago, illinois, coma, sibling relationship, love of one's life, brother, subway, romantic comedy, man of one's dreams, hospital, christmas",Jon Turteltaub,"Sandra Bullock, Bill Pullman, Peter Gallagher, Peter Boyle, Jack Warden","Caravan Pictures, Hollywood Pictures"
1995-06-02,The Bridges of Madison County,7.695,24000000,182016617,"Drama, Romance","adultery, secret love, husband wife relationship, based on novel or book, love of one's life, unsociability, marriage crisis, photographer, love at first sight, photography, peasant, mother role, iowa, bridge, housewife, love letter",Clint Eastwood,"Clint Eastwood, Meryl Streep, Annie Corley, Victor Slezak, Jim Haynie","Amblin Entertainment, Malpaso Productions, Warner Bros. Pictures"
1995-08-11,Dangerous Minds,6.968,23000000,179519401,Drama,"high school, california, rap music, karate, naval officer, teacher, based on memoir or autobiography, amusement park, schoolteacher",John N. Smith,"Michelle Pfeiffer, George Dzundza, Courtney B. Vance, Robin Bartlett, Beatrice Winde","Don Simpson/Jerry Bruckheimer Films, Hollywood Pictures, Via Rosa Productions"
1995-12-29,Twelve Monkeys,7.601,29000000,168841459,"Science Fiction, Thriller, Mystery","philadelphia, pennsylvania, schizophrenia, stockholm syndrome, underground, dystopia, post-apocalyptic future, time travel, mental institution, lethal virus, paradox, psychiatrist, monkey, subterranean, recurring dream, 1990s, 2030s, cassandra syndrome",Terry Gilliam,"Bruce Willis, Madeleine Stowe, Brad Pitt, Christopher Plummer, David Morse","Universal Pictures, Atlas Entertainment, Classico, Twelve Monkeys Productions"
1995-05-12,Crimson Tide,7.167,53000000,157387195,"Thriller, Action","mutiny, submarine, missile, embassy, nuclear missile, battle for power, u.s. navy, terrorism, military, moral dilemma, post cold war, aircraft carrier, chain of command, launch code, sonar, nuclear submarine",Tony Scott,"Denzel Washington, Gene Hackman, Matt Craven, George Dzundza, Viggo Mortensen","Hollywood Pictures, Don Simpson/Jerry Bruckheimer Films"
