Release Date,Title,Rating,Budget,Revenue,Genres,Keywords,Director,Cast,Production Companies
1978-07-07,Grease,7.394,6000000,396300000,"Romance, Comedy","australia, high school, flying car, california, jealousy, street gang, cheerleader, dance competition, carnival, musical, based on play or musical, rivalry, high school graduation, high school friends, tv show in film, gossip, makeover, clique, nostalgic, greaser, school dance, animated credits, pep rally, wrong side of the tracks, mooning, opposites attract, letterman jacket, girl gang, track and field, summer romance, 1950s, sweethearts, street racing, west side story, goody two shoes, rival gang, going steady, two-faced, good girl bad boy, music movie",Randal Kleiser,"John Travolta, Olivia Newton-John, Stockard Channing, Jeff Conaway, Barry Pearl","Paramount, Robert Stigwood Organization, Fine Arts Films"
1978-12-14,Superman,7.123,55000000,300218018,"Science Fiction, Action, Adventure","galaxy, journalist, saving the world, secret identity, crime fighter, superhero, nuclear missile, based on comic, destruction of planet, criminal, sabotage, super power, north pole, midwest, newspaper office, superhuman strength, aftercreditsstinger, save the day, evil genius, rural life",Richard Donner,"Marlon Brando, Gene Hackman, Christopher Reeve, Ned Beatty, Jackie Cooper","Dovemead Films, Alexander and Ilya Salkind Productions, International Film Production"
1978-06-16,Jaws 2,5.966,20000000,187884007,"Horror, Thriller","dying and death, rescue, island, panic, mayor, shark attack, police chief, current, boat accident, animal attack, sailing, sequel, scuba diving, creature, shark, great white shark, killer whale, high-tension current, water skiing, tourism",Jeannot Szwarc,"Roy Scheider, Lorraine Gary, Murray Hamilton, Joseph Mascolo, Jeffrey Kramer",Universal Pictures
1978-07-27,Animal House,6.995,2700000,141000000,Comedy,"college, fraternity, dean, fraternity house, national lampoon's, probation, 1960s, college freshman, anarchic comedy",John Landis,"John Belushi, Tim Matheson, John Vernon, Verna Bloom, Tom Hulce","Universal Pictures, Oregon Film Factory, Stage III Productions"
1978-06-28,Heaven Can Wait,6.6,15000000,98800000,"Fantasy, Comedy, Romance","infidelity, sports, afterlife, american football, based on play or musical, remake, los angeles, california, quarterback, super bowl, environmental activist","Warren Beatty, Buck Henry","Warren Beatty, Julie Christie, James Mason, Jack Warden, Charles Grodin",Paramount
1978-12-16,Every Which Way but Loose,6.154,5000000,85196485,"Action, Comedy, Adventure, Romance, Drama","martial arts, waitress, bare knuckle boxing, fight, overweight, fishing, camping, motel, human animal relationship, beer, biker, orangutan, monkey, threesome, meat hook, exotic pet, street fight, pets, action hero",James Fargo,"Clint Eastwood, Sondra Locke, Geoffrey Lewis, Manis, Beverly D'Angelo","Malpaso Productions, Warner Bros. Pictures"
1978-07-28,Hooper,6.326,6000000,78000000,"Action, Comedy","stuntman, hollywood",Hal Needham,"Burt Reynolds, Jan-Michael Vincent, Sally Field, Brian Keith, John Marley","Warner Bros. Pictures, Lawrence Gordon Productions"
1978-10-24,Halloween,7.56,325000,70300000,"Horror, Thriller","mask, police, halloween, babysitter, marijuana, stalking, serial killer, maniac, killing spree, family, evil, psychotic, escaped killer",John Carpenter,"Donald Pleasence, Jamie Lee Curtis, P.J. Soles, Nancy Kyes, Charles Cyphers","Compass International Pictures, Falcon International Productions"
1978-09-02,Dawn of the Dead,7.486,650000,55000000,Horror,"helicopter, army, chaos, bite, materialism, machete, gore, martial law, state of emergency, shopping mall, infection, biker, truck, zombie, motorcycle gang, exploding head, mall, tv production, zombie apocalypse, pittsburgh, pennsylvania",George A. Romero,"David Emge, Ken Foree, Scott H. Reiniger, Gaylen Ross, David Crawford","Dawn Associates, Laurel Entertainment"
1978-01-08,Revenge of the Pink Panther,6.431,0,49579269,"Comedy, Crime, Mystery",inspector,Blake Edwards,"Peter Sellers, Herbert Lom, Dyan Cannon, Robert Webber, Robert Loggia","United Artists, Jewel Productions, Sellers-Edwards productions, Pimlico Films"
1978-12-08,The Deer Hunter,8.0,15000000,49000000,"Drama, War","vietnam veteran, small town, suicide, vietnam, post-traumatic stress disorder (ptsd), escape, pennsylvania, usa, saigon, friends, russian roulette, wedding, deer hunting, steel worker, anti war, revolver, drunkenness, viet cong, romantic triangle, prisoner of war camp, slavic american",Michael Cimino,"Robert De Niro, Christopher Walken, John Cazale, John Savage, Meryl Streep","Universal Pictures, EMI Films"
1978-05-10,The End,5.382,3000000,45000000,Comedy,"dark comedy, terminal illness, mental patient, suicidal thoughts, contemplating suicide",Burt Reynolds,"Burt Reynolds, Dom DeLuise, Sally Field, Strother Martin, David Steinberg","United Artists, Gordon-Reynolds Productions"
1978-07-14,Foul Play,6.3,5000000,45000000,"Comedy, Mystery, Thriller","detective, murder, conspiracy, church, catholic, albino",Colin Higgins,"Goldie Hawn, Chevy Chase, Burgess Meredith, Eugene Roche, Dudley Moore","Paramount, Miller-Milkis Productions, Shelburne Associates"
1978-06-27,Convoy,6.3,12000000,45000000,"Action, Comedy","police brutality, waitress, police, chase, fight, highway, protest, car crash, road trip, truck, marijuana, based on song, poem or rhyme, truck driver, cb radio, convoy, truck stop",Sam Peckinpah,"Kris Kristofferson, Ali MacGraw, Ernest Borgnine, Burt Young, Madge Sinclair","United Artists, EMI Films"
1978-12-15,California Suite,5.8,0,42000000,"Comedy, Drama, Romance","hotel, husband wife relationship, based on play or musical, beverly hills, multiple storylines, luxury hotel",Herbert Ross,"Jane Fonda, Alan Alda, Maggie Smith, Michael Caine, Walter Matthau","Columbia Pictures, Rastar Productions"
1978-05-16,Up in Smoke,6.7,0,41590893,Comedy,"joint, drug trafficking, smoking, ecstasy, drug mule, friendship bracelet, marijuana, drugs, buddy, hitchhike",Lou Adler,"Cheech Marin, Tommy Chong, Strother Martin, Edie Adams, Harold Fong",Paramount
1978-08-31,Midnight Express,7.51,2300000,35000000,"Drama, Crime","prison, airport, drug smuggling, escape, court, 1970s, attempt to escape, based on true story, lawyer, torture, hashish, brutality, masturbation, istanbul, turkey",Alan Parker,"Brad Davis, Irene Miracle, Bo Hopkins, Paolo Bonacelli, Paul L. Smith","Columbia Pictures, Casablanca Filmworks"
1978-11-15,The Lord of the Rings,6.569,4000000,30471420,"Adventure, Animation, Fantasy","mission, based on novel or book, elves, dwarf",Ralph Bakshi,"Christopher Guard, William Squire, Michael Scholes, John Hurt, Simon Chandler","Fantasy Films, Bakshi Productions, Saul Zaentz Film Productions"
1978-03-15,House Calls,7.0,0,28460702,"Comedy, Romance",,Howard Zieff,"Walter Matthau, Art Carney, Richard Benjamin, Candice Azzara, Dick O'Neill",Universal Pictures
1978-06-09,Damien: Omen II,6.424,6800000,26518355,"Horror, Thriller","prophecy, secret identity, devil's son, sequel, anti-christ, occult, raven, military academy",Don Taylor,"William Holden, Lee Grant, Jonathan Scott-Taylor, Robert Foxworth, Nicholas Pryor","Mace Neufeld Productions, 20th Century Fox, Harvey Bernhard Productions"
