Release Date,Title,Rating,Budget,Revenue,Genres,Keywords,Director,Cast,Production Companies
1980-05-20,The Empire Strikes Back,8.391,18000000,538400000,"Adventure, Action, Science Fiction","rebellion, android, spacecraft, asteroid, rebel, space battle, snowstorm, space colony, swamp, space opera, artic",Irvin Kershner,"Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams, Anthony Daniels",Lucasfilm Ltd.
1980-09-10,The Gods Must Be Crazy,7.224,5000000,200000000,"Action, Comedy","airplane, africa, coca-cola, tribe, god, desert, soda bottle, kalahari, bushman, tribal, independent film",Jamie Uys,"Marius Weyers, Sandra Prinsloo, N!xau, Louw Verwey, Michael Thys","CAT Films, Mimosa Films"
1980-12-04,Superman II,6.732,54000000,190458706,"Science Fiction, Action, Adventure","saving the world, superhero, loss of virginity, based on comic, sequel, niagara falls, criminal, super power, phantom zone, rocket fired grenade, crystal machine, superhuman strength, duringcreditsstinger",Richard Lester,"Gene Hackman, Christopher Reeve, Ned Beatty, Jackie Cooper, Sarah Douglas","Dovemead Films, Alexander and Ilya Salkind Productions, International Film Production"
1980-06-16,The Blues Brothers,7.74,27000000,115229890,"Music, Comedy, Action, Crime","prison, chicago, illinois, dancing, concert, country music, nazi, jazz, nun, music instrument, blues, musical, shopping mall, road trip, church, buddy, parole",John Landis,"Dan Aykroyd, John Belushi, James Brown, Cab Calloway, Ray Charles",Universal Pictures
1980-12-18,Nine to Five,6.884,10000000,103300000,Comedy,"kidnapping, tied up, live action and animation",Colin Higgins,"Jane Fonda, Lily Tomlin, Dolly Parton, Dabney Coleman, Sterling Hayden","IPC Films, 20th Century Fox"
1980-12-12,Stir Crazy,6.5,10000000,101300000,Comedy,"mistaken identity, prison escape, fish out of water, wrongful imprisonment, buddy",Sidney Poitier,"Gene Wilder, Richard Pryor, Georg Stanford Brown, JoBeth Williams, Miguel Ángel Suárez",Columbia Pictures
1980-07-02,Airplane!,7.293,3500000,83453539,Comedy,"chicago, illinois, post-traumatic stress disorder (ptsd), airplane, cataclysm, guitar, alcohol, stewardess, taxi driver, passenger, fear of flying, pilot, medicine, air controller, landing, saxophone, autopilot, parody, spoof, food poisoning, los angeles, california, alcohol abuse, aftercreditsstinger, inflatable life raft, anarchic comedy","Jerry Zucker, Jim Abrahams, David Zucker","Robert Hays, Julie Hagerty, Leslie Nielsen, Kareem Abdul-Jabbar, Lloyd Bridges","Paramount, Howard W. Koch Productions"
1980-12-17,Any Which Way You Can,5.799,15000000,70687344,"Action, Adventure, Comedy","martial arts, bare knuckle boxing, fight, mafia, motorcycle, motorcycle gang, orangutan, monkey, street fight, action hero",Buddy Van Horn,"Clint Eastwood, Sondra Locke, Geoffrey Lewis, William Smith, Harry Guardino","Warner Bros. Pictures, Malpaso Productions"
1980-10-06,Private Benjamin,5.942,15000000,69800000,Comedy,"army, strong woman, paris, france, change, empowerment, transformation, training camp, training, us army, female soldier, female protagonist, private, female empowerment, military training, determination, army cadet, army training",Howard Zieff,"Goldie Hawn, Eileen Brennan, Armand Assante, Robert Webber, Sam Wanamaker",Warner Bros. Pictures
1980-03-07,Coal Miner's Daughter,7.27,15000000,67182787,"Music, Drama","country music, kentucky, female friendship, biography, washington state, still, grand ole opry, nashville tennessee, honkytonk, coal, coal mining, journey shown on map, death of best friend",Michael Apted,"Sissy Spacek, Tommy Lee Jones, Levon Helm, Beverly D'Angelo, William Sanderson",Universal Pictures
1980-08-15,Smokey and the Bandit II,5.581,17000000,66132626,"Action, Comedy","sheriff, elephant, texas, prosecution, girlfriend, transportation, road trip, truck, desert, road movie, duringcreditsstinger, absurdism",Hal Needham,"Burt Reynolds, Jackie Gleason, Jerry Reed, Dom DeLuise, Paul Williams",Universal Pictures
1980-05-09,Friday the 13th,6.395,550000,59800000,Horror,"lake, new jersey, drowning, summer camp, sadism, villain, woods, revenge, murder, stalking, serial killer, cabin, camp, slasher, summer, series of murders, franchise, 1950s, teenager",Sean S. Cunningham,"Jeannine Taylor, Laurie Bartram, Harry Crosby, Robbi Morgan, Adrienne King","Georgetown Productions Inc., Sean S. Cunningham Films, Paramount"
1980-07-05,The Blue Lagoon,6.159,4500000,58853106,"Romance, Adventure","sexual identity, shipwreck, lovers, stranded, marooned, pacific island, deserted island, tropical island, lost at sea",Randal Kleiser,"Brooke Shields, Christopher Atkins, Leo McKern, William Daniels, Jeffrey Kleiser",Columbia Pictures
