Release Date,Title,Rating,Budget,Revenue,Genres,Keywords,Director,Cast,Production Companies
1973-12-26,The Exorcist,7.724,12000000,441400000,Horror,"religion and supernatural, exorcism, holy water, paranormal phenomena, possession, vomit, satan, priest, ouija board, demon, strong language, catholic church, demonic possession, disturbed child, crisis of faith, sfx, supernatural horror",William Friedkin,"Ellen Burstyn, Linda Blair, Jason Miller, Max von Sydow, Lee J. Cobb","Hoya Productions, Warner Bros. Pictures"
1973-03-16,The Black Hand,7.0,0,230000000,Crime,mafia,Antonio Racioppi,"Lionel Stander, Rosanna Fratello, Michele Placido, Corrado Gaipa, Annie Carol Edel",In.Ci.S. (Industria Cinematografica Siciliana)
1973-12-25,The Sting,8.019,5500000,159616327,"Comedy, Crime, Drama","bet, chicago, illinois, repayment, horse race, con man, mafia boss, heist, caper, ragtime, off track betting, sting operation, alley, 1930s",George Roy Hill,"Paul Newman, Robert Redford, Robert Shaw, Charles Durning, Ray Walston","Universal Pictures, Zanuck/Brown Productions"
1973-08-11,American Graffiti,7.0,777000,140000000,"Comedy, Drama","farewell, california, rock 'n' roll, robbery, airplane, car race, love at first sight, radio station, radio presenter, radio, vandalism, coming of age, child, 1960s",George Lucas,"Richard Dreyfuss, Ron Howard, Paul Le Mat, Charles Martin Smith, Cindy Williams","Universal Pictures, Lucasfilm Ltd., The Coppola Company"
1973-06-27,Live and Let Die,6.485,7000000,126377836,"Adventure, Action, Thriller","new york city, london, england, sheriff, dual identity, based on novel or book, drug smuggling, bomb, england, secret mission, spy, boat, secret intelligence service, tarot cards, jamaica, drug trafficking, voodoo, tombstone, heroin, secret identity, crocodile, speedboat , aftercreditsstinger",Guy Hamilton,"Roger Moore, Yaphet Kotto, Jane Seymour, Clifton James, Julius Harris","United Artists, EON Productions, Danjaq"
1973-12-13,Papillon,7.8,12000000,53267000,"Crime, Drama","prison, prison escape, jungle, solitary confinement, based on memoir or autobiography, remote island, leper colony, labor camp, corrupt official, french colonialism, devil's island, prison brutality, guyana, 1930s",Franklin J. Schaffner,"Steve McQueen, Dustin Hoffman, Victor Jory, Don Gordon, Anthony Zerbe","Allied Artists Pictures, Solar Productions, Corona-General"
1973-10-17,The Way We Were,6.9,5000000,50000000,"Drama, Romance","based on novel or book, communist, politics, anti-communism, mccarthyism, 1940s, 1950s",Sydney Pollack,"Barbra Streisand, Robert Redford, Bradford Dillman, Lois Chiles, Patrick O'Neal","Tom Ward Enterprises, Columbia Pictures, Rastar Productions"
1973-12-29,Submersion of Japan,6.781,18596000,49651320,"Thriller, Science Fiction, Drama","based on novel or book, natural disaster",Shirō Moritani,"Keiju Kobayashi, Hiroshi Fujioka, Ayumi Ishida, Tetsurō Tamba, Shōgo Shimada","Toho Eizo Co., Toho Pictures, TOHO"
1973-12-13,Magnum Force,7.137,0,39768000,"Drama, Crime, Action","uniform, arbitrary law, investigation, covered investigation, inspector, vigilante, bad cop",Ted Post,"Clint Eastwood, Hal Holbrook, Mitchell Ryan, David Soul, Tim Matheson","Warner Bros. Pictures, Malpaso Productions"
1973-11-08,Robin Hood,7.289,5000000,32056467,"Animation, Family","hero, right and justice, fox, robin hood, forest, animal as human, sherwood forest, outlaw, teacher, thief, bear",Wolfgang Reitherman,"Brian Bedford, Phil Harris, Andy Devine, Monica Evans, Peter Ustinov",Walt Disney Productions
