Release Date,Title,Rating,Budget,Revenue,Genres,Keywords,Director,Cast,Production Companies
2014-06-25,Transformers: Age of Extinction,5.926,210000000,1104054072,"Science Fiction, Action, Adventure","music video, sequel, alien, based on toy, giant robot, robot",Michael Bay,"Mark Wahlberg, Stanley Tucci, Kelsey Grammer, Nicola Peltz Beckham, Jack Reynor","di Bonaventura Pictures, Tom DeSanto/Don Murphy Production, Ian Bryce Productions, Paramount"
2014-12-10,The Hobbit: The Battle of the Five Armies,7.311,250000000,956019788,"Action, Adventure, Fantasy","corruption, based on novel or book, orcs, elves, dwarf, dragon, battle, unlikely friendship, epic battle, sword and sorcery",Peter Jackson,"Martin Freeman, Ian McKellen, Richard Armitage, Luke Evans, Orlando Bloom","Warner Bros. Pictures, WingNut Films, New Line Cinema, 3Foot7, Metro-Goldwyn-Mayer"
2014-07-30,Guardians of the Galaxy,7.9,170000000,772776600,"Action, Science Fiction, Adventure","spacecraft, based on comic, space, orphan, adventurer, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu)",James Gunn,"Chris Pratt, Zoe Saldaña, Dave Bautista, Vin Diesel, Bradley Cooper",Marvel Studios
2014-05-28,Maleficent,7.091,180000000,758539785,"Fantasy, Adventure, Action, Family, Romance","magic, fairy tale, fairy, prince, villain, enchantment, betrayal, curse, kindness, protector, childhood friends, good becoming evil, raven, dark fantasy, based on fairy tale, retelling, literary adaptation, true love, wings, sleeping spell, dark forest, live action remake, cursed princess, fairies",Robert Stromberg,"Angelina Jolie, Elle Fanning, Imelda Staunton, Sharlto Copley, Lesley Manville","Walt Disney Pictures, Roth Films"
2014-11-19,The Hunger Games: Mockingjay - Part 1,6.803,125000000,755356711,"Science Fiction, Adventure, Thriller","based on novel or book, resistance, dystopia, post-apocalyptic future, sequel, female protagonist, bow and arrow, game, future war, revolt, class prejudice, human subjugation, based on young adult novel",Francis Lawrence,"Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Woody Harrelson, Elizabeth Banks","Lionsgate, Color Force"
2014-05-15,X-Men: Days of Future Past,7.5,250000000,747862775,"Action, Adventure, Science Fiction","1970s, mutant, time travel, based on comic, superhuman, storm, political intrigue , extinction, beast, claws, aftercreditsstinger, changing the past or future",Bryan Singer,"Hugh Jackman, James McAvoy, Michael Fassbender, Patrick Stewart, Ian McKellen","Bad Hat Harry Productions, The Donners' Company, Simon Kinberg Productions, 20th Century Fox"
2014-03-20,Captain America: The Winter Soldier,7.67,170000000,714766572,"Action, Adventure, Science Fiction","future, washington dc, usa, superhero, shield, based on comic, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu), political thriller","Anthony Russo, Joe Russo","Chris Evans, Scarlett Johansson, Sebastian Stan, Anthony Mackie, Cobie Smulders",Marvel Studios
2014-06-26,Dawn of the Planet of the Apes,7.31,170000000,710644566,"Science Fiction, Action, Drama, Thriller","dystopia, post-apocalyptic future, animal attack, leader, colony, forest, sequel, woods, ape, scientist, monkey, medical research, plague, 2030s",Matt Reeves,"Andy Serkis, Jason Clarke, Gary Oldman, Keri Russell, Toby Kebbell","TSG Entertainment, Chernin Entertainment, Ingenious Media"
2014-04-16,The Amazing Spider-Man 2,6.502,200000000,708962323,"Action, Adventure, Fantasy","experiment, obsession, superhero, based on comic, sequel, electrocution, super power",Marc Webb,"Andrew Garfield, Emma Stone, Jamie Foxx, Dane DeHaan, Colm Feore","Marvel Entertainment, Columbia Pictures, Matt Tolmach Productions, Arad Productions"
2014-11-05,Interstellar,8.421,165000000,701729206,"Adventure, Drama, Science Fiction","rescue, future, spacecraft, race against time, artificial intelligence (a.i.), nasa, time warp, dystopia, expedition, space travel, wormhole, famine, black hole, quantum mechanics, family relationships, space, robot, astronaut, scientist, single father, farmer, space station, space adventure, time paradox, time-manipulation, father daughter relationship, 2060s, cornfield, time manipulation",Christopher Nolan,"Matthew McConaughey, Anne Hathaway, Jessica Chastain, Michael Caine, Bill Irwin","Legendary Pictures, Syncopy, Lynda Obst Productions"
2014-10-24,Big Hero 6,7.735,165000000,657827828,"Adventure, Family, Animation, Action, Comedy","friendship, martial arts, hero, sibling relationship, san francisco, california, superhero, talent, cartoon, based on comic, revenge, tokyo, japan, best friend, another dimension, robot, east asian lead, boy genius, aftercreditsstinger, moral dilemma, teen superhero, dead brother","Chris Williams, Don Hall","Scott Adsit, Ryan Potter, Daniel Henney, T.J. Miller, Jamie Chung","Walt Disney Pictures, Walt Disney Animation Studios"
2014-06-05,How to Train Your Dragon 2,7.67,145000000,621537519,"Fantasy, Action, Adventure, Animation, Comedy, Family","rescue, husband wife relationship, sacrifice, parent child relationship, loss of loved one, viking, death of father, sequel, dragon, death of husband, warrior, mother son relationship",Dean DeBlois,"Jay Baruchel, Cate Blanchett, Gerard Butler, Craig Ferguson, America Ferrera",DreamWorks Animation
2014-12-25,American Sniper,7.429,58800000,542300000,"War, Action","sniper, based on novel or book, biography, iraq, u.s. navy seal, iraq war, u.s. soldier, u.s. marine, 9/11, pack, guns",Clint Eastwood,"Bradley Cooper, Sienna Miller, Kyle Gallner, Cole Konis, Ben Reed","RatPac Entertainment, Village Roadshow Pictures, 22 & Indiana Pictures, Malpaso Productions, Warner Bros. Pictures, Mad Chance"
2014-05-14,Godzilla,6.295,160000000,529100000,"Action, Drama, Science Fiction","japan, monster, san francisco, california, hawaii, giant monster, tsunami, remake, prehistoric creature, golden gate bridge, dinosaur, kaiju, honolulu, hawaii, disaster movie, global threat, animal horror, godzilla, monsterverse",Gareth Edwards,"Aaron Taylor-Johnson, Elizabeth Olsen, Juliette Binoche, Bryan Cranston, Ken Watanabe",Legendary Pictures
2014-03-19,Rio 2,6.502,103000000,500188435,"Animation, Adventure, Comedy, Family","amazon rainforest, sequel, travel, jungle, audition, parrots, personification",Carlos Saldanha,"Jesse Eisenberg, Anne Hathaway, Will.i.am, Jamie Foxx, Leslie Mann","Blue Sky Studios, 20th Century Fox Animation, 20th Century Fox"
2014-08-07,Teenage Mutant Ninja Turtles,5.904,125000000,485004754,"Science Fiction, Action, Adventure, Comedy","new york city, van, martial arts, hero, experiment, mutation, superhero, turtle, based on comic, ninja, vigilante, terrorism, sewer, reboot, teenage mutant ninja turtles",Jonathan Liebesman,"Megan Fox, Will Arnett, William Fichtner, Danny Woodburn, Abby Elliott","Nickelodeon Movies, Paramount, Platinum Dunes, Mirage Studios"
