Release Date,Title,Rating,Budget,Revenue,Genres,Keywords,Director,Cast,Production Companies
2017-12-13,Star Wars: The Last Jedi,6.818,200000000,1332698830,"Adventure, Action, Science Fiction","bunker, space battle, defeat, failure, sequel, space opera, military operation",Rian Johnson,"Mark Hamill, Carrie Fisher, Adam Driver, Daisy Ridley, John Boyega",Lucasfilm Ltd.
2017-03-16,Beauty and the Beast,6.968,160000000,1266115964,"Family, Fantasy, Romance","france, magic, fairy tale, transformation, cartoon, castle, musical, remake, curse, creature, 18th century, beast, live action and animation, live action remake",Bill Condon,"Emma Watson, Dan Stevens, Luke Evans, Josh Gad, Kevin Kline","Walt Disney Pictures, Mandeville Films"
2017-04-12,The Fate of the Furious,6.885,250000000,1236005118,"Action, Crime, Thriller","new york city, submarine, rescue mission, sequel, street race, betrayal, criminal mastermind, mysterious woman",F. Gary Gray,"Vin Diesel, Jason Statham, Dwayne Johnson, Michelle Rodriguez, Tyrese Gibson","Original Film, One Race, Universal Pictures"
2017-06-15,Despicable Me 3,6.455,80000000,1031552585,"Action, Animation, Comedy, Family, Adventure","prison, twin brother, sequel, jail, despicable, minions","Kyle Balda, Pierre Coffin","Steve Carell, Kristen Wiig, Trey Parker, Miranda Cosgrove, Dana Gaier","Illumination, Universal Pictures"
2017-12-09,Jumanji: Welcome to the Jungle,6.826,90000000,995339117,"Adventure, Action, Comedy, Fantasy","video game, fighter, sequel, avatar, detention, explorer, based on movie, gaming, quest, cartographer, action hero, zoologist, based on young adult novel",Jake Kasdan,"Dwayne Johnson, Kevin Hart, Jack Black, Karen Gillan, Rhys Darby","Radar Pictures, Matt Tolmach Productions, Seven Bucks Productions, Columbia Pictures"
2017-07-05,Spider-Man: Homecoming,7.3,175000000,880166924,"Action, Adventure, Science Fiction, Drama","high school, new york city, washington dc, usa, superhero, based on comic, reboot, marvel cinematic universe (mcu)",Jon Watts,"Tom Holland, Michael Keaton, Robert Downey Jr., Marisa Tomei, Jon Favreau","Marvel Studios, Pascal Pictures, LStar Capital, Columbia Pictures"
2017-07-27,Wolf Warrior 2,6.6,29700000,870322670,"War, Action, Thriller","china, special forces",Wu Jing,"Wu Jing, Frank Grillo, Celina Jade, Zhang Han, Wu Gang","Spring Era Film Company, Beijing Dongfang International Cultural Communications Company, Beijing Century Media Culture, Chao Feng Pictures, Orange Image"
2017-04-19,Guardians of the Galaxy Vol. 2,7.6,200000000,863756051,"Science Fiction, Adventure, Action","superhero, based on comic, sequel, misfit, space, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu)",James Gunn,"Chris Pratt, Zoe Saldaña, Dave Bautista, Vin Diesel, Bradley Cooper",Marvel Studios
2017-10-02,Thor: Ragnarok,7.595,180000000,855301806,"Action, Adventure, Science Fiction","superhero, based on comic, sequel, alien planet, female villain, norse mythology, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu), norse god, loki",Taika Waititi,"Chris Hemsworth, Tom Hiddleston, Cate Blanchett, Tessa Thompson, Jeff Goldblum",Marvel Studios
2017-05-30,Wonder Woman,7.236,149000000,822854286,"Action, Adventure, Fantasy","island, hero, strong woman, world war i, empowerment, superhero, feminism, greek mythology, based on comic, female protagonist, period drama, super power, heroine, woman director, female empowerment, 1910s, dc extended universe (dceu)",Patty Jenkins,"Gal Gadot, Chris Pine, Connie Nielsen, Robin Wright, Danny Huston","Atlas Entertainment, Cruel & Unusual Films, DC Films"
2017-10-27,Coco,8.217,175000000,800500000,"Family, Animation, Fantasy, Music, Comedy, Adventure","skeleton, mexico, guitar, afterlife, musician, holiday, singer, life after death, child, day of the dead",Lee Unkrich,"Anthony Gonzalez, Gael García Bernal, Benjamin Bratt, Alanna Ubach, Renée Victor","Pixar, Walt Disney Pictures"
2017-05-23,Pirates of the Caribbean: Dead Men Tell No Tales,6.647,230000000,795900000,"Adventure, Action, Fantasy","sea, ship, treasure map, sequel, artifact, pirate, period drama, monkey, swashbuckler, ghost, caribbean sea, trident","Joachim Rønning, Espen Sandberg","Johnny Depp, Javier Bardem, Geoffrey Rush, Brenton Thwaites, Kaya Scodelario","Walt Disney Pictures, Jerry Bruckheimer Films, Infinitum Nihil"
2017-09-06,It,7.243,40000000,701800000,"Horror, Fantasy","small town, based on novel or book, clown, bullying, abandoned house, coming of age, flashback, murder, balloon, maine, school, creature, fear, summer, killer, missing person, death of brother, well, child, demonic, town history",Andy Muschietti,"Jaeden Martell, Sophia Lillis, Bill Skarsgård, Finn Wolfhard, Jack Dylan Grazer","New Line Cinema, Vertigo Entertainment, Lin Pictures, KatzSmith Productions"
2017-11-15,Justice League,6.095,300000000,657926987,"Action, Adventure, Science Fiction","superhero, based on comic, super power, superhero team, aftercreditsstinger, duringcreditsstinger, dc extended universe (dceu)","Joss Whedon, Zack Snyder","Ben Affleck, Henry Cavill, Amy Adams, Gal Gadot, Ezra Miller","RatPac Entertainment, Cruel & Unusual Films, Atlas Entertainment, Warner Bros. Pictures, DC Films"
2017-02-28,Logan,7.8,97000000,619021436,"Action, Drama, Science Fiction","future, experiment, immortality, self-destruction, cyborg, dystopia, superhero, mutant, road trip, based on comic, sequel, super power, neo-western, troubled past, aging superhero, life on the margin",James Mangold,"Hugh Jackman, Dafne Keen, Patrick Stewart, Elizabeth Rodriguez, Boyd Holbrook","Hutch Parker Entertainment, The Donners' Company, Genre Films, 20th Century Fox"
2017-06-16,Transformers: The Last Knight,6.059,217000000,605425157,"Action, Adventure, Science Fiction","england, based on toy, knight, robot",Michael Bay,"Mark Wahlberg, Josh Duhamel, Stanley Tucci, Anthony Hopkins, Isabela Merced","Paramount, di Bonaventura Pictures, Ian Bryce Productions, Tom DeSanto/Don Murphy Production"
