Release Date,Title,Rating,Budget,Revenue,Genres,Keywords,Director,Cast,Production Companies
1997-11-18,Titanic,7.9,200000000,2264162353,"Drama, Romance","epic, ship, drowning, panic, shipwreck, evacuation, iceberg, titanic, forbidden love, ocean liner, based on true story, rich woman poor man, love, tragedy, tragic love, disaster, historical fiction, class differences, love affair, historical event, lifeboat, star crossed lovers, sinking ship, steerage, rich snob, disaster movie, 1910s, sunken ship",James Cameron,"Leonardo DiCaprio, Kate Winslet, Billy Zane, Kathy Bates, Frances Fisher","Paramount, 20th Century Fox, Lightstorm Entertainment"
1997-05-23,The Lost World: Jurassic Park,6.526,73000000,618638999,"Adventure, Action, Science Fiction","exotic island, island, velociraptor, dna, tyrannosaurus rex, paleontology, san diego, california, dinosaur, creature, scientist, amusement park, theme park, costa rica, animal horror, father daughter relationship",Steven Spielberg,"Jeff Goldblum, Julianne Moore, Pete Postlethwaite, Arliss Howard, Richard Attenborough","Universal Pictures, Amblin Entertainment"
1997-07-02,Men in Black,7.188,90000000,589390539,"Action, Adventure, Comedy, Science Fiction","new york city, cannon, space marine, flying saucer, undercover, secret identity, superhero, deportation, illegal immigration, new identity, stay permit, giant cockroach, based on comic, alien, buddy cop, fictional government agency",Barry Sonnenfeld,"Tommy Lee Jones, Will Smith, Linda Fiorentino, Vincent D'Onofrio, Rip Torn","Columbia Pictures, Amblin Entertainment, MacDonald/Parkes Productions"
1997-12-11,Tomorrow Never Dies,6.352,110000000,333011068,"Adventure, Action, Thriller","media tycoon, navy, london, england, china, england, missile, spy, secret intelligence service, intelligence, manipulation of the media, special car, motorcycle, secret service, hamburg, germany",Roger Spottiswoode,"Pierce Brosnan, Jonathan Pryce, Michelle Yeoh, Teri Hatcher, Joe Don Baker","EON Productions, United Artists, Danjaq"
1997-07-25,Air Force One,6.462,85000000,315156409,"Action, Thriller","vietnam veteran, journalist, usa president, washington dc, usa, ultimatum, kazakhstan, heroism, air force one, fighter jet, airplane hijacking, aerial combat, first lady, gunfight, secret service, terrorist plot, held hostage, us military, presidential cabinet, moscow, russia, hand to hand combat, political prisoner, escape pod, hostages, president's family, ramstein air force base, germany, hostage negotiation, mid-air refueling",Wolfgang Petersen,"Harrison Ford, Gary Oldman, Glenn Close, Wendy Crewson, Liesel Matthews","Radiant Productions, Beacon Pictures, Columbia Pictures"
1997-12-19,As Good as It Gets,7.395,50000000,314178011,"Drama, Comedy, Romance","friendship, waitress, single parent, restaurant, lone wolf, painter, road trip, neighbor, author, obsessive compulsive disorder, cowardliness, writer, dog, rude, obnoxious, unlikely friendship, hospitalization, pets, mother son relationship, gay artist, lgbt interest, daily routine, romance novelist, child with illness",James L. Brooks,"Jack Nicholson, Helen Hunt, Greg Kinnear, Cuba Gooding Jr., Shirley Knight","Gracie Films, TriStar Pictures, Sony Pictures"
1997-03-21,Liar Liar,6.674,45000000,302710615,Comedy,"california, workaholic, birthday, truth, lie, wish, legal drama",Tom Shadyac,"Jim Carrey, Maura Tierney, Justin Cooper, Cary Elwes, Anne Haney","Universal Pictures, Imagine Entertainment"
1997-06-19,My Best Friend's Wedding,6.603,38000000,299288605,"Comedy, Romance","chicago, illinois, secret love, new love, love of one's life, wedding reception, restaurant critic, man woman relationship, wedding, relationship sabotage, rehearsal dinner",P.J. Hogan,"Julia Roberts, Dermot Mulroney, Cameron Diaz, Rupert Everett, Christopher Masterson","TriStar Pictures, Zucker Brothers Productions, Predawn Productions"
1997-05-02,The Fifth Element,7.536,90000000,263920180,"Adventure, Fantasy, Action, Thriller, Science Fiction","new york city, flying car, taxi, egypt, race against time, saving the world, cyborg, dystopia, anti hero, stowaway, space travel, arms dealer, alien life-form, end of the world, priest, shootout, police chase, cab driver, cyberpunk, archaeologist, space opera, military, opera singer, futuristic city, ancient evil, cruise liner, elemental, hieroglyphics, spaceship, good versus evil, alien robot",Luc Besson,"Bruce Willis, Milla Jovovich, Gary Oldman, Ian Holm, Chris Tucker","Gaumont, Buena Vista International"
1997-08-13,The Full Monty,6.983,3500000,257850122,Comedy,"northern england, police, suicide attempt, job interview, son, striptease, father, yorkshire, obesity, unemployment, steel worker, repossession, male stripper, gay theme",Peter Cattaneo,"Robert Carlyle, Mark Addy, Wim Snape, Steve Huison, Tom Wilkinson","Redwave Films, Channel Four Films"
1997-06-20,Hercules,7.501,85000000,252712101,"Animation, Family, Fantasy, Adventure, Comedy, Romance","peasant, hades, musical, pegasus, zeus, ancient greece, aftercreditsstinger, olympus, hercules, worth","Ron Clements, John Musker","Tate Donovan, Josh Keaton, Roger Bart, Danny DeVito, James Woods","Walt Disney Pictures, Walt Disney Feature Animation"
1997-07-03,Bean,6.45,18000000,251212670,"Comedy, Family, Adventure","california, london, england, airport, paris, france, chaos, repair, vault, museum, painting, arts and culture, destroy, artwork, guard, clumsy fellow, arts expert, host family, damage, poster, hospital, los angeles, california, amusement park, teenage rebellion, laxative",Mel Smith,"Rowan Atkinson, Peter MacNicol, Pamela Reed, Tricia Vessey, Andrew Lawrence","Working Title Films, Tiger Aspect"
1997-06-27,Face/Off,7.02,80000000,245700000,"Action, Crime, Science Fiction","prison, biological weapon, prisoner, bomb, undercover, psychopath, fbi, mexican standoff, face transplant, prison escape, flashback, revenge, tragedy, organized crime, shootout, boat chase, los angeles, california, doctor, disguise, vendetta, surgery, criminal gang, golden gun, archvillain, bullet ballet, archenemy, brother brother relationship, siblings, maximum security prison, fbi agent",John Woo,"John Travolta, Nicolas Cage, Joan Allen, Alessandro Nivola, Gina Gershon","Krane Entertainment, Paramount, Permut Presentations, WCG Entertainment Productions, Touchstone Pictures, Douglas/Reuther Productions"
1997-06-20,Batman & Robin,4.336,125000000,238207122,"Action, Science Fiction, Adventure","dual identity, double life, crime fighter, superhero, based on comic, credit card, super power, super villain, good versus evil",Joel Schumacher,"George Clooney, Uma Thurman, Chris O'Donnell, Arnold Schwarzenegger, Alicia Silverstone","Warner Bros. Pictures, Polygram Pictures"
1997-12-20,Life Is Beautiful,8.455,20000000,230098753,"Comedy, Drama","dying and death, bookshop, love of one's life, nazi, self sacrifice, loss of loved one, italy, riddle, mass murder, concentration camp, fascism, world war ii, deportation, jew persecution, story teller, riding a bicycle, national socialism, dark comedy, charade, concentration camp prisoner, romantic comedy, dark, war, nazi germany, oscar-nominated, holocaust",Roberto Benigni,"Roberto Benigni, Nicoletta Braschi, Giorgio Cantarini, Giustino Durano, Sergio Bini Bustric","Mario e Vittorio Cecchi Gori - C.E.I.A.D., Melampo Cinematografica"
1997-12-05,Good Will Hunting,8.149,10000000,225933435,Drama,"boston, massachusetts, professor, baseball, mathematics, genius, harvard university, male friendship, ambition, flashback, love, friends, psychologist, janitor, university, courtroom, prodigy, math genius",Gus Van Sant,"Matt Damon, Robin Williams, Ben Affleck, Stellan Skarsgård, Minnie Driver","Miramax, Lawrence Bender Productions, Be Gentlemen Limited Partnership"
1997-06-05,Con Air,6.732,75000000,224012234,"Action, Thriller, Crime","prison, helicopter, airplane, escape, undercover, ambush, war veteran, gas station, psychopath, bravery, mexican standoff, sandstorm, hijacking, us army, prison guard, u.s. marshal, serial killer, shootout, las vegas, explosion, brutality, convict, desert, war hero, diabetic, dea agent, hostile takeover, skyjacker, motorcycle chase, disguises, action hero, army veteran, prisoner transport, transport plane",Simon West,"Nicolas Cage, John Malkovich, John Cusack, Ving Rhames, Mykelti Williamson","Touchstone Pictures, Jerry Bruckheimer Films"
1997-02-07,Dante's Peak,6.178,116000000,178127760,"Action, Adventure, Drama, Thriller","rescue, small town, helicopter, lava, mayor, evacuation, natural disaster, motel, volcano, lovers, partnership, volcanology, disaster, cabin, explosion, scientist, seismograph, volcanic eruption, rowboat, catastrophe, disaster movie, acid, county fair, abandoned mine, volcanic ash",Roger Donaldson,"Pierce Brosnan, Linda Hamilton, Arabella Field, Jamie Renée Smith, Jeremy Foley","Pacific Western, Universal Pictures"
1997-11-26,Flubber,5.632,80000000,177977226,"Comedy, Family, Science Fiction","wedding vows, inventor, slime, flight, mad scientist, wedding",Les Mayfield,"Robin Williams, Marcia Gay Harden, Christopher McDonald, Raymond J. Barry, Clancy Brown","Walt Disney Pictures, Great Oaks Entertainment"
1997-07-15,George of the Jungle,5.599,55000000,174463257,"Adventure, Comedy, Family, Romance","san francisco, california, africa, gorilla, narration, lion, feral child, tarzan, breaking the fourth wall, jungle, falling in love, talking to animals, damsel in distress, comedy of errors, accident prone",Sam Weisman,"Brendan Fraser, Leslie Mann, Thomas Haden Church, John Cleese, Richard Roundtree","Mandeville Films, Walt Disney Pictures"
