Release Date,Title,Rating,Budget,Revenue,Genres,Keywords,Director,Cast,Production Companies
1992-11-25,Aladdin,7.647,28000000,504050219,"Animation, Family, Adventure, Fantasy, Romance","princess, magic, tiger, cartoon, parrot, sultan, flying carpet, wish, musical, love, monkey, arab, aftercreditsstinger, genie, arabian nights, animal sidekick, magic lamp","Ron Clements, John Musker","Scott Weinger, Robin Williams, Linda Larkin, Jonathan Freeman, Gilbert Gottfried","Walt Disney Pictures, Walt Disney Feature Animation"
1992-11-25,The Bodyguard,6.672,25000000,411006740,"Thriller, Action, Drama, Music, Romance","sibling relationship, bodyguard, anonymous letter, diva, stalker, los angeles, california",Mick Jackson,"Whitney Houston, Kevin Costner, Gary Kemp, Bill Cobbs, Ralph Waite","Kasdan Pictures, Tig Productions, Warner Bros. Pictures"
1992-11-19,Home Alone 2: Lost in New York,6.711,18000000,358994850,"Comedy, Family, Adventure","new york city, burglar, holiday, family relationships, sequel, slapstick comedy, little boy, home invasion, family, precocious child, home alone, mischievous child, christmas, kids on their own, child rescue",Chris Columbus,"Macaulay Culkin, Joe Pesci, Daniel Stern, Catherine O'Hara, John Heard","20th Century Fox, Hughes Entertainment"
1992-03-20,Basic Instinct,6.889,49000000,352927224,"Thriller, Mystery","dying and death, california, jealousy, sexual obsession, police, san francisco, california, sadism, psychopath, detective, eroticism, bisexuality, suspicion of murder, dangerous, lover, striptease, celebrity, femme fatale, sociopath, dead, neo-noir, erotic thriller, manipulative woman, novel writing, killed during sex, american giallo",Paul Verhoeven,"Michael Douglas, Sharon Stone, George Dzundza, Jeanne Tripplehorn, Leilani Sarelle","Carolco Pictures, Canal+"
1992-05-15,Lethal Weapon 3,6.7,35000000,321700000,"Adventure, Action, Comedy, Thriller, Crime","showdown, police, sequel, mixed martial arts, los angeles, california, rookie cop, wisecrack humor, buddy cop, lapd, maverick cop, aftercreditsstinger, action hero",Richard Donner,"Mel Gibson, Danny Glover, Joe Pesci, Rene Russo, Stuart Wilson","Silver Pictures, Warner Bros. Pictures, St. Petersburg Clearwater Film Commision"
1992-06-19,Batman Returns,6.918,80000000,280000000,"Action, Fantasy","double life, corruption, darkness, crime fighter, superhero, hallucination, villain, christmas tree, based on comic, revenge, vigilante, dark hero, super power, super villain, deformed, bird cage, evil circus, christmas, good versus evil, burton",Tim Burton,"Michael Keaton, Danny DeVito, Michelle Pfeiffer, Christopher Walken, Michael Gough","Warner Bros. Pictures, Polygram Pictures"
1992-12-11,A Few Good Men,7.528,40000000,243240178,Drama,"underdog, dying and death, suicide, navy, right and justice, court case, suspicion of murder, guantanamo bay, marine corps, military court, code red, command, military base, u.s. navy, sexism, based on play or musical, flashback, court martial, platoon leader, military law, legal thriller",Rob Reiner,"Tom Cruise, Jack Nicholson, Demi Moore, Kevin Bacon, Kiefer Sutherland",David Brown Productions
1992-05-28,Sister Act,6.826,31000000,231605150,"Music, Comedy","concert, nun, church choir, witness protection, gospel, singer, murder, singing nun, fish out of water, witness to murder, mother superior, monastery, catholic church, mob boss",Emile Ardolino,"Whoopi Goldberg, Maggie Smith, Kathy Najimy, Wendy Makkena, Mary Wickes","Touchstone Pictures, Touchwood Pacific Partners 1"
1992-11-13,Bram Stoker's Dracula,7.45,40000000,215900000,"Romance, Horror","adultery, london, england, transylvania, vampire, bite, camping, maze, remake, rough sex, wake, religious conflict, correspondence, 19th century, 15th century",Francis Ford Coppola,"Gary Oldman, Winona Ryder, Keanu Reeves, Anthony Hopkins, Sadie Frost","American Zoetrope, Osiris Films, Columbia Pictures"
1992-02-14,Wayne's World,6.698,20000000,183097323,"Comedy, Music","romantic rivalry, heavy metal, parody, singer, breaking the fourth wall, television producer, buddy, aftercreditsstinger, duringcreditsstinger, woman director, multiple endings, best friends",Penelope Spheeris,"Mike Myers, Dana Carvey, Rob Lowe, Tia Carrere, Lara Flynn Boyle",Paramount
