Release Date,Title,Rating,Budget,Revenue,Genres,Keywords,Director,Cast,Production Companies
1991-07-03,Terminator 2: Judgment Day,8.106,102000000,520000000,"Action, Thriller, Science Fiction","cyborg, shotgun, dystopia, moral ambiguity, post-apocalyptic future, villain, time travel, mental institution, juvenile delinquent, fictional war, urban setting, troubled teen, morphing, nuclear weapons, shape shifter, savior, catch phrase, action hero, good versus evil, terminator",James Cameron,"Arnold Schwarzenegger, Linda Hamilton, Edward Furlong, Robert Patrick, Joe Morton","Lightstorm Entertainment, Carolco Pictures, Pacific Western, StudioCanal"
1991-10-22,Beauty and the Beast,7.733,25000000,424967620,"Romance, Family, Animation, Fantasy","princess, france, prince, castle, rose, musical, insane asylum, beast, based on fairy tale, eccentric man, toxic masculinity","Gary Trousdale, Kirk Wise","Paige O'Hara, Robby Benson, Richard White, Jerry Orbach, David Ogden Stiers","Walt Disney Pictures, Silver Screen Partners IV, Walt Disney Feature Animation"
1991-06-14,Robin Hood: Prince of Thieves,6.846,48000000,390493908,"Action, Adventure, Drama","england, crusade, folk hero, archer, sherwood forest, thief, nottingham, bow and arrow, friar, 12th century, the crusades, living in the woods, helping the poor",Kevin Reynolds,"Kevin Costner, Morgan Freeman, Mary Elizabeth Mastrantonio, Christian Slater, Alan Rickman","Morgan Creek, Warner Bros. Pictures, Warner Bros."
1991-04-10,Hook,6.8,70000000,300855000,"Adventure, Fantasy, Comedy, Family","rescue, daughter, flying, swordplay, sword, fairy tale, peter pan, memory loss, duel, pirate, hook, hook for a hand",Steven Spielberg,"Dustin Hoffman, Robin Williams, Julia Roberts, Bob Hoskins, Maggie Smith","Amblin Entertainment, TriStar Pictures"
1991-02-14,The Silence of the Lambs,8.344,19000000,272742922,"Crime, Drama, Thriller","based on novel or book, kidnapping, psychopath, fbi, murder, serial killer, psychological thriller, brutality, cannibal, moth, virginia",Jonathan Demme,"Jodie Foster, Anthony Hopkins, Scott Glenn, Ted Levine, Anthony Heald","Orion Pictures, Strong Heart/Demme Production"
1991-12-20,JFK,7.602,40000000,205405498,"Drama, Thriller, History","vietnam war, cia, assassination, usa president, government, politics, homophobia, texas, new orleans, louisiana, investigation, john f. kennedy, historical figure, president, conspiracy, district attorney, death, john f. kennedy assassination, assassination of president, usa history, 1960s, courtroom drama, legal thriller, jacqueline kennedy",Oliver Stone,"Kevin Costner, Tommy Lee Jones, Gary Oldman, Kevin Bacon, Michael Rooker","Ixtlan Productions, Warner Bros. Pictures, Canal+, Regency Enterprises, Alcor Films, Camelot Pictures"
1991-11-22,The Addams Family,7.0,30000000,191502426,"Comedy, Fantasy","dancing, dead wish, secret passage, fencing, black humor, uncle, eccentric, mansion, macabre, loan shark, accountant, creepy, disembodied hand, long lost sibling",Barry Sonnenfeld,"Raúl Juliá, Anjelica Huston, Christopher Lloyd, Christina Ricci, Carel Struycken","Paramount, Orion Pictures, Scott Rudin Productions"
1991-11-13,Cape Fear,7.264,35000000,182300000,"Crime, Thriller","prison, daughter, small town, child abuse, rape, houseboat, cigar smoking, remake, revenge, stalking, lawyer, psychological thriller, fear, dog, rapist, private detective",Martin Scorsese,"Robert De Niro, Nick Nolte, Jessica Lange, Juliette Lewis, Joe Don Baker","Amblin Entertainment, Cappa Productions, Tribeca Productions"
1991-07-31,Hot Shots!,6.56,26000000,181096164,"Action, Comedy, War","secret mission, bad luck, parody, drill instructor, jet crash",Jim Abrahams,"Charlie Sheen, Cary Elwes, Valeria Golino, Lloyd Bridges, Kevin Dunn",20th Century Fox
1991-06-07,City Slickers,6.421,27000000,179033791,"Comedy, Western","stetson, vacation, cattle drive, prairie, fish out of water, the west, mid-life crisis",Ron Underwood,"Billy Crystal, Daniel Stern, Bruno Kirby, Patricia Wettig, Helen Slater","Castle Rock Entertainment, Nelson Entertainment, Face Productions"
1991-01-13,Sleeping with the Enemy,6.491,19000000,174999005,"Drama, Crime, Thriller","drowning, escape, iowa, violent husband, domestic abuse, domestic violence, older man younger woman relationship, beach house, nursing home, cape cod, fake death, physical abuse, jealous husband, blind mother, rich husband, drama teacher, suspense, controlling husband",Joseph Ruben,"Julia Roberts, Patrick Bergin, Kevin Anderson, Elizabeth Lawrence, Kyle Secor","20th Century Fox, Leonard Goldberg Productions"
