Release Date,Title,Rating,Budget,Revenue,Genres,Keywords,Director,Cast,Production Companies
1996-06-25,Independence Day,6.871,75000000,817400891,"Action, Adventure, Science Fiction","spacecraft, showdown, independence, patriotism, countdown, invasion, alien, ufo, extraterrestrial, creature, battle, alien invasion, world domination, area 51, human vs alien, good versus evil",Roland Emmerich,"Will Smith, Bill Pullman, Jeff Goldblum, Mary McDonnell, Judd Hirsch","20th Century Fox, Centropolis Entertainment"
1996-05-10,Twister,6.469,92000000,494471524,"Action, Adventure, Drama","husband wife relationship, climate, tornado, twister, natural disaster, oklahoma, metereologist, invention, storm chaser, barn, truck, disaster, divorce, disaster movie, motley crew",Jan de Bont,"Helen Hunt, Bill Paxton, Cary Elwes, Jami Gertz, Philip Seymour Hoffman","Warner Bros. Pictures, Universal Pictures, Amblin Entertainment"
1996-05-22,Mission: Impossible,6.968,80000000,457731198,"Adventure, Action, Thriller","mission, london, england, cia, computer, paris, france, undercover, secret mission, arms deal, espionage, spy, secret identity, headquarter, embassy, secret base, prague, czech republic, secret agent, tgv, terrorism, agent",Brian De Palma,"Tom Cruise, Jon Voight, Emmanuelle Béart, Henry Czerny, Jean Reno","Paramount, Cruise/Wagner Productions"
1996-06-07,The Rock,7.109,75000000,335062621,"Action, Adventure, Thriller","war veteran, san francisco, california, fbi, mercenary, gas attack, alcatraz prison, prison escape, shootout, u.s. navy seal, terrorism, british spy, chemist, commando, hostage situation, tourist attraction, u.s. marine, military, island prison, tourists in peril, nerve gas, disillusioned, terrorist threat, chemical weapon, fbi agent, chemical warfare, navy seals",Michael Bay,"Sean Connery, Nicolas Cage, Ed Harris, William Forsythe, David Morse","Don Simpson/Jerry Bruckheimer Films, Hollywood Pictures"
1996-06-21,The Hunchback of Notre Dame,7.105,100000000,325300000,"Drama, Animation, Family","dance, paris, france, based on novel or book, judge, sword, obsession, mockery, ugliness, cathedral, musical, fool, bell, religion, orphan, army captain, festival, angry mob, notre dame cathedral, witch hunt, 15th century","Gary Trousdale, Kirk Wise","Tom Hulce, Demi Moore, Heidi Mollenhauer, Tony Jay, Kevin Kline","Walt Disney Pictures, Walt Disney Feature Animation"
1996-11-27,101 Dalmatians,5.9,54000000,320689294,"Family, Comedy","london, england, fur, fashion designer, puppy, fur coat, based on children's book, dog, dalmatian, female villain, pets, live action remake",Stephen Herek,"Glenn Close, Jeff Daniels, Joely Richardson, Joan Plowright, Hugh Laurie","Great Oaks Entertainment, Walt Disney Pictures, Wizzer Productions"
1996-11-08,Ransom,6.651,80000000,309492681,"Action, Thriller","ransom, loss of loved one, hostage, yellow press, fbi, baby-snatching, police corruption, terrorism, millionaire, child kidnapping, negotiator",Ron Howard,"Mel Gibson, Rene Russo, Gary Sinise, Delroy Lindo, Lili Taylor",Touchstone Pictures
1996-12-13,Jerry Maguire,6.948,50000000,273552592,"Comedy, Drama, Romance","career, sports, stadium, american football, single mother, sports agent",Cameron Crowe,"Tom Cruise, Renée Zellweger, Cuba Gooding Jr., Kelly Preston, Jerry O'Connell","TriStar Pictures, Gracie Films"
1996-11-15,Space Jam,6.832,80000000,250200000,"Family, Animation, Comedy, Science Fiction","sports, cartoon, basketball, slapstick comedy, alien, doctor, cartoon cat, basketball team, referee, cartoon chicken, cartoon skunk, live action and animation, looney, space jam, actor playing themself",Joe Pytka,"Michael Jordan, Wayne Knight, Theresa Randle, Manner Washington, Eric Gordon","Warner Bros. Pictures, Northern Lights Entertainment, Courtside Seats Productions, Warner Bros. Animation"
1996-06-21,Eraser,6.048,100000000,242295562,"Action, Drama, Mystery, Thriller","suicide, showdown, ambush, hitman, hostage, traitor, new identity, witness, witness protection, arms dealer, treason, deception, u.s. marshal, betrayal, conspiracy, gunfight, train, explosion, sabotage, corporate crime, rogue agent, assassination attempt, x-ray vision, railgun",Chuck Russell,"Arnold Schwarzenegger, Vanessa Williams, James Caan, James Coburn, Robert Pastorelli","Kopelson Entertainment, Warner Bros. Pictures"
1996-11-14,The English Patient,7.172,27000000,231976425,"Drama, Romance, War","egypt, secret love, amnesia, airplane, cairo, identity, intelligence, traitor, burn, world war ii, landmine, expedition, cave, sandstorm, cave painting, prisoner of war, map, mine clearer, hearing, desert scientist, desert",Anthony Minghella,"Ralph Fiennes, Juliette Binoche, Willem Dafoe, Kristin Scott Thomas, Naveen Andrews","Miramax, The Saul Zaentz Company, Tiger Moth Productions"
