Release Date,Title,Rating,Budget,Revenue,Genres,Keywords,Director,Cast,Production Companies
1984-05-23,Indiana Jones and the Temple of Doom,7.296,28000000,333000000,"Adventure, Action","treasure, skeleton, wind, elephant, heart, riddle, crocodile, bridge, treasure hunt, torture, india, monkey, archaeologist, conveyor belt, child driving car, mine car, rope bridge, splits, adventurer, archeology, 1930s",Steven Spielberg,"Harrison Ford, Kate Capshaw, Ke Huy Quan, Amrish Puri, Roshan Seth","Paramount, Lucasfilm Ltd."
1984-12-05,Beverly Hills Cop,7.186,14000000,316360478,"Action, Comedy, Crime","showdown, drug smuggling, undercover, cocaine, strip club, gunfight, mansion, los angeles, california, foot chase, art gallery, detroit, michigan, warehouse, childhood friends, murder investigation, beverly hills, buddy cop, buddy comedy, country club, maverick cop, damsel in distress, bar fight, bearer bonds, food delivery",Martin Brest,"Eddie Murphy, Judge Reinhold, John Ashton, Lisa Eilbacher, Ronny Cox","Paramount, Eddie Murphy Productions, Don Simpson/Jerry Bruckheimer Films"
1984-06-08,Ghostbusters,7.469,30000000,296187079,"Comedy, Fantasy","new york city, environmental protection agency, library, supernatural, paranormal phenomena, loser, slime, gatekeeper, nerd, giant monster, haunting, hybrid, possession, mythology, horror spoof, paranormal investigation, urban setting, super power, receptionist, world trade center, ghost, duringcreditsstinger, ghostbusters",Ivan Reitman,"Bill Murray, Dan Aykroyd, Sigourney Weaver, Harold Ramis, Rick Moranis","Columbia Pictures, Delphi Films, Black Rhino Productions"
1984-06-08,Gremlins,7.092,11000000,153083102,"Fantasy, Horror, Comedy","small town, monster, holiday, department store, pet, human animal relationship, bars and restaurants, sunlight, chain saw, salesperson, midnight, fur, gremlin, banking, ymca, puppet, puppetry, christmas, pets",Joe Dante,"Zach Galligan, Phoebe Cates, Hoyt Axton, Frances Lee McCain, Corey Feldman","Amblin Entertainment, Warner Bros. Pictures"
1984-06-22,The Karate Kid,7.18,8000000,130442786,"Action, Family, Drama","high school, martial arts, sports, taskmaster, flat, cheerleader, karate, teen movie, los angeles, california, martial arts tournament, mentor protégé relationship",John G. Avildsen,"Ralph Macchio, Pat Morita, Elisabeth Shue, Martin Kove, Randee Heller","Columbia Pictures, Delphi II Productions, Jerry Weintraub Productions"
1984-09-19,Amadeus,8.036,18000000,90000000,"History, Music, Drama","opera, composer, musician, marriage crisis, italy, talent, emperor, austria, mozart, god, murder, vienna, austria, envy, 18th century",Miloš Forman,"F. Murray Abraham, Tom Hulce, Elizabeth Berridge, Roy Dotrice, Simon Callow","The Saul Zaentz Company, AMLF"
1984-06-01,Star Trek III: The Search for Spock,6.607,18000000,87000000,"Science Fiction, Action, Adventure, Thriller","spacecraft, friendship, teleportation, genesis, starship, resurrection, destruction of planet, space opera, alien friendship, father son relationship, mating ritual, outer space, star trek",Leonard Nimoy,"William Shatner, Leonard Nimoy, DeForest Kelley, James Doohan, George Takei",Paramount
1984-03-30,Romancing the Stone,6.756,10000000,86572238,"Romance, Comedy, Action, Adventure","airplane, smuggling (contraband), kidnapping, crocodile, anti hero, treasure hunt, treasure map, betrayal, marijuana, jungle, author, drug lord, south america, double cross, archaeologist, novelist, jewel, opposites attract, archeology, soldier of fortune, colombia, romance novelist, romance books",Robert Zemeckis,"Michael Douglas, Kathleen Turner, Danny DeVito, Zack Norman, Alfonso Arau","SLM Production Group, Nina Saxon Film Design, El Corazon Producciones S.A., 20th Century Fox"
1984-03-22,Police Academy,6.7,4500000,81198894,"Comedy, Crime","trainer, recruit, shenanigan, police academy",Hugh Wilson,"Steve Guttenberg, Kim Cattrall, G.W. Bailey, Bubba Smith, Donovan Scott","The Ladd Company, Warner Bros. Pictures"
1984-02-17,Footloose,6.666,8200000,80035402,"Drama, Romance","dancing, dance, dancer, volkswagen beetle, dance teacher, father daughter relationship, music movie",Herbert Ross,"Kevin Bacon, Lori Singer, John Lithgow, Dianne Wiest, Chris Penn","Paramount, IndieProd Company Productions, Phoenix Pictures"
1984-10-26,The Terminator,7.648,6400000,78371200,"Action, Thriller, Science Fiction","artificial intelligence (a.i.), saving the world, laser gun, cyborg, killer robot, shotgun, rebel, dystopia, villain, time travel, slasher, los angeles, california, urban setting, future war, savior, tech noir, time paradox, action hero, griffith observatory, good versus evil, terminator",James Cameron,"Linda Hamilton, Michael Biehn, Arnold Schwarzenegger, Lance Henriksen, Paul Winfield","Orion Pictures, Pacific Western, Hemdale Film, Cinema 84"
1984-03-09,Splash,6.265,8000000,69821334,"Comedy, Romance, Fantasy","new york city, bachelor, mermaid, cape cod, produce seller",Ron Howard,"Tom Hanks, Daryl Hannah, Eugene Levy, John Candy, Dody Goodman",Touchstone Pictures
1984-07-27,Purple Rain,6.682,7200000,68392977,"Drama, Music, Romance","pop star, suicide attempt, aspiring singer",Albert Magnoli,"Prince, Apollonia Kotero, Morris Day, Jerome Benton, Olga Karlatos","Water, Purple Films, Warner Bros. Pictures"
1984-08-17,Sheena,5.7,25000000,58000000,"Action, Adventure, Fantasy","africa, mercenary, based on comic, female hero, jungle girl",John Guillermin,"Tanya Roberts, Ted Wass, Donovan Scott, Elizabeth of Toro, France Zobda","Delphi II Productions, Colgems Productions Ltd., Columbia Pictures"
1984-11-09,A Nightmare on Elm Street,7.326,1100000,57000000,Horror,"dream, nightmare, sadism, psychopath, sleep, child murder, supernatural, ohio, murder, slasher, trapped, alcoholic, boiler room, booby trap, disfigurement, medical test, nightmare becomes reality, supernatural horror",Wes Craven,"Heather Langenkamp, John Saxon, Ronee Blakley, Amanda Wyss, Jsu Garcia","New Line Cinema, Smart Egg Pictures, Media Home Entertainment, Cinema 84, The Elm Street Venture"
1984-06-16,Grand Canyon: The Hidden Secrets,6.4,0,52800000,Documentary,"grand canyon, travel, leisure",Kieth Merrill,"Daniel T. Majetich, Armando Leon Diaz, Percy Devine","World Cinemax, Cinema Group Ventures, Investmore Ltd."
1984-08-17,Tightrope,6.1,0,48143579,"Mystery, Thriller, Crime","prostitute, new orleans, louisiana, serial killer, series of murders, police detective",Richard Tuggle,"Clint Eastwood, Geneviève Bujold, Dan Hedaya, Alison Eastwood, Jenny Beck","Malpaso Productions, Warner Bros. Pictures"
1984-05-11,The Natural,6.859,28000000,48000000,Drama,"corruption, sports, baseball, attempted murder, talent, redemption, child prodigy, femme fatale, lightning bolt, hdd",Barry Levinson,"Robert Redford, Robert Duvall, Glenn Close, Kim Basinger, Wilford Brimley",TriStar Pictures
1984-03-30,"Greystoke: The Legend of Tarzan, Lord of the Apes",6.355,0,45858563,"Adventure, Drama, Action, Romance","baby, england, shipwreck, civilization, tarzan, stranded, monkey",Hugh Hudson,"Ralph Richardson, Ian Holm, James Fox, Christophe Lambert, Andie MacDowell","Edgar Rice Burroughs Inc., Warner Bros. Pictures, WEA Records"
1984-12-06,2010,6.64,28000000,40400657,"Thriller, Science Fiction","jupiter, super computer, space travel, space mission, ghost ship, sequel, space, astronaut, monolith, space opera, near future",Peter Hyams,"Roy Scheider, John Lithgow, Helen Mirren, Bob Balaban, Keir Dullea",Metro-Goldwyn-Mayer
