Release Date,Title,Rating,Budget,Revenue,Genres,Keywords,Director,Cast,Production Companies
2016-04-27,Captain America: Civil War,7.4,250000000,1155046416,"Adventure, Action, Science Fiction","civil war, superhero, based on comic, sequel, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu), united states","Anthony Russo, Joe Russo","Chris Evans, Robert Downey Jr., Scarlett Johansson, Sebastian Stan, Chadwick Boseman",Marvel Studios
2016-12-14,Rogue One: A Star Wars Story,7.49,200000000,1056057273,"Action, Adventure, Science Fiction","rebellion, spacecraft, rebel, space battle, space travel, prequel, female protagonist, space western, suicide mission, robot, spin off, space opera, alien language, against the odds, blind man",Gareth Edwards,"Felicity Jones, Diego Luna, Alan Tudyk, Donnie Yen, Jiang Wen",Lucasfilm Ltd.
2016-06-16,Finding Dory,7.043,200000000,1028570889,"Adventure, Animation, Comedy, Family","fish, amnesia, octopus, sequel, anthropomorphism, underwater, aftercreditsstinger, clownfish",Andrew Stanton,"Albert Brooks, Ellen DeGeneres, Ed O'Neill, Hayden Rolence, Diane Keaton","Pixar, Walt Disney Pictures"
2016-02-11,Zootopia,7.747,150000000,1023784195,"Animation, Adventure, Family, Comedy","sheep, allegory, lion, hippopotamus, cartoon, bullying, polar bear, con artist, anthropomorphism, revenge, conspiracy, urban, female protagonist, rookie cop, missing person, racial prejudice, injustice, reconciliation, buddy cop, stereotype, cartoon rabbit, discrimination, cartoon bear, cartoon animal, cartoon fox, cartoon elephant","Byron Howard, Rich Moore","Jason Bateman, Ginnifer Goodwin, Idris Elba, Jenny Slate, Nate Torrence","Walt Disney Animation Studios, Walt Disney Pictures"
2016-04-07,The Jungle Book,6.861,175000000,966550600,"Family, Adventure, Drama, Fantasy","based on novel or book, snake, elephant, wolf, tiger, feral child, anthropomorphism, remake, jungle, bear, orphan, ape, monkey, animal, talking to animals, live action and animation, live action remake",Jon Favreau,"Neel Sethi, Bill Murray, Ben Kingsley, Idris Elba, Scarlett Johansson","Walt Disney Pictures, Fairview Entertainment, Moving Picture Company"
2016-06-18,The Secret Life of Pets,6.269,75000000,875457937,"Adventure, Comedy, Animation, Family","bunny, pet, anthropomorphism, dog, animal, apartment building, sewer, terrier, manhattan, new york city, rodent, pets, mongrel",Chris Renaud,"Louis C.K., Eric Stonestreet, Kevin Hart, Jenny Slate, Ellie Kemper","Illumination, Universal Pictures"
2016-03-23,Batman v Superman: Dawn of Justice,6.0,250000000,873637528,"Action, Adventure, Fantasy","superhero, based on comic, revenge, vigilante, leading man, super power, dc extended universe (dceu), man vs man, leading men, hero vs hero",Zack Snyder,"Ben Affleck, Henry Cavill, Jesse Eisenberg, Gal Gadot, Amy Adams","Warner Bros. Pictures, RatPac Entertainment, Atlas Entertainment, DC Entertainment, Cruel & Unusual Films"
2016-11-16,Fantastic Beasts and Where to Find Them,7.332,180000000,809342332,"Fantasy, Adventure, Family","witch, new york city, robbery, escape, teleportation, magic, suitcase, mistake, spin off, subway station, central park, wizard, goblin, magical creature, 1920s",David Yates,"Eddie Redmayne, Katherine Waterston, Dan Fogler, Alison Sudol, Colin Farrell","Heyday Films, Warner Bros. Pictures"
2016-02-09,Deadpool,7.607,58000000,783100000,"Action, Adventure, Comedy","superhero, anti hero, mercenary, based on comic, aftercreditsstinger, duringcreditsstinger",Tim Miller,"Ryan Reynolds, Morena Baccarin, Ed Skrein, T.J. Miller, Gina Carano","20th Century Fox, The Donners' Company, Genre Films"
2016-08-03,Suicide Squad,5.91,175000000,746846894,"Action, Adventure, Fantasy","secret mission, superhero, anti hero, villain, supervillain, dc extended universe (dceu)",David Ayer,"Will Smith, Jared Leto, Margot Robbie, Joel Kinnaman, Viola Davis","DC Entertainment, Dune Entertainment, Warner Bros. Pictures, Atlas Entertainment, DC Comics, DC Films, Lin Pictures"
2016-10-13,Moana,7.568,150000000,690860472,"Adventure, Comedy, Family, Animation","sailboat, sea, island, saving the world, ocean, cartoon, mythology, musical, curse, sailor, aftercreditsstinger, demigod, polynesia, voyage, pacific  ocean, quest, island life, animal sidekick","Ron Clements, John Musker","Auli'i Cravalho, Dwayne Johnson, Rachel House, Temuera Morrison, Jemaine Clement","Walt Disney Pictures, Walt Disney Animation Studios, Hurwitz Creative"
2016-10-25,Doctor Strange,7.4,180000000,676343174,"Action, Adventure, Fantasy","magic, superhero, training, time, based on comic, sorcerer, doctor, neurosurgeon, wizard, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu)",Scott Derrickson,"Benedict Cumberbatch, Chiwetel Ejiofor, Rachel McAdams, Benedict Wong, Mads Mikkelsen",Marvel Studios
2016-11-23,Sing,7.115,75000000,634151679,"Animation, Comedy, Family, Music","anthropomorphism, singing, singing competition",Garth Jennings,"Matthew McConaughey, Reese Witherspoon, Seth MacFarlane, Scarlett Johansson, John C. Reilly","Illumination, Universal Pictures, Fuji Television Network, dentsu"
2016-02-08,The Mermaid,6.486,60720000,553810228,"Comedy, Fantasy, Romance",mermaid,Stephen Chow,"Lin Yun, Deng Chao, Kitty Zhang, Show Lo, Tsui Hark","China Film Group Corporation, Alpha Pictures, Star Overseas, Shanghai New Culture Media Group Co Ltd, Beijing Enlight Pictures"
2016-05-18,X-Men: Apocalypse,6.512,178000000,543934787,"Action, Adventure, Science Fiction, Fantasy","hero, superhero, mutant, based on comic, superhuman, super power, superhero team, world domination, aftercreditsstinger, 1980s",Bryan Singer,"James McAvoy, Michael Fassbender, Oscar Isaac, Jennifer Lawrence, Nicholas Hoult","The Donners' Company, Bad Hat Harry Productions, Genre Films, Hutch Parker Entertainment, 20th Century Fox"
2016-01-23,Kung Fu Panda 3,6.9,145000000,521170825,"Action, Adventure, Animation, Comedy, Family","martial arts, kung fu, china, fighter, village, sequel, panda, anthropomorphism, dragon, wuxia, woman director","Jennifer Yuh Nelson, Alessandro Carloni","Jack Black, Bryan Cranston, Dustin Hoffman, Angelina Jolie, J.K. Simmons","DreamWorks Animation, Pearl Studio, China Film Group Corporation, Zhong Ming You Ying Film"
2016-11-29,La La Land,7.901,30000000,447407695,"Comedy, Drama, Romance, Music","dancing, dance, jazz, musical, ambition, casting, coffee shop, jazz club, traffic jam, hollywood, los angeles, california, pianist, pier, audition, planetarium, aspiring actor, movie set, sunset, one woman show, pool party, griffith observatory",Damien Chazelle,"Ryan Gosling, Emma Stone, John Legend, Rosemarie DeWitt, J.K. Simmons","Summit Entertainment, Black Label Media, Gilbert Films, Impostor Pictures, Marc Platt Productions, TIK Films"
2016-05-25,Warcraft,6.368,160000000,433677183,"Action, Adventure, Fantasy","video game, chase, orcs, elves, magic, based on comic, world of warcraft, sorcerer, fictional war, based on video game, wizard, fictional language, live action and animation, muscles, sword and sorcery",Duncan Jones,"Travis Fimmel, Paula Patton, Ben Foster, Dominic Cooper, Ben Schnetzer","Legendary Pictures, Universal Pictures, Atlas Entertainment, Blizzard Entertainment, Tencent Pictures, Fuji Television Network, dentsu, Huayi Brothers Pictures, Taihe Entertainment"
