Release Date,Title,Rating,Budget,Revenue,Genres,Keywords,Director,Cast,Production Companies
2001-11-16,Harry Potter and the Philosopher's Stone,7.915,125000000,976475550,"Adventure, Fantasy","witch, school friend, friendship, london, england, based on novel or book, magic, boarding school, child hero, school of witchcraft, chosen one, school, shopping, fantasy world, wizard, christmas, based on young adult novel, owl",Chris Columbus,"Daniel Radcliffe, Rupert Grint, Emma Watson, Richard Harris, Tom Felton","Warner Bros. Pictures, Heyday Films, 1492 Pictures"
2001-12-18,The Lord of the Rings: The Fellowship of the Ring,8.405,93000000,871368364,"Adventure, Fantasy, Action","based on novel or book, orcs, elves, dwarf, magic, loss of loved one, river, fireworks, mine, maze, mountain, castle, volcano, birthday party, addiction, uncle, fugitive, battle, death, blizzard, wizard, journey, ring, live action and animation, sword and sorcery",Peter Jackson,"Elijah Wood, Ian McKellen, Sean Astin, Viggo Mortensen, Christopher Lee","New Line Cinema, WingNut Films, The Saul Zaentz Company"
2001-11-01,"Monsters, Inc.",7.838,115000000,579707738,"Animation, Comedy, Family","monster, panic, cheating, kidnapping, door, infant, villain, portal, rivalry, energy supply, friends, hijinks, best friend, chameleon, family, parallel world, conveyor belt, invisibility, energy company, conspirators",Pete Docter,"John Goodman, Billy Crystal, Mary Gibbs, Steve Buscemi, James Coburn",Pixar
2001-05-18,Shrek,7.7,60000000,487853320,"Animation, Comedy, Fantasy, Adventure, Family","princess, magic, fairy tale, donkey, liberation, lordship, prince, castle, robin hood, enchantment, swamp, parody, anthropomorphism, dragon, woman director, ogre, cartoon donkey","Andrew Adamson, Vicky Jenson","Mike Myers, Eddie Murphy, Cameron Diaz, John Lithgow, Vincent Cassel","DreamWorks Pictures, Pacific Data Images, DreamWorks Animation"
2001-12-07,Ocean's Eleven,7.432,85000000,450717150,"Thriller, Crime","prison, casino, pickpocket, strip club, heist, con artist, thief, caper, atlantic city, salt lake city, utah, las vegas, card dealer, explosives expert",Steven Soderbergh,"George Clooney, Matt Damon, Andy García, Brad Pitt, Julia Roberts","Village Roadshow Pictures, NPV Entertainment, Jerry Weintraub Productions, Section Eight, Warner Bros. Pictures"
2001-05-21,Pearl Harbor,6.93,140000000,449220945,"War, History, Romance, Drama","army, airplane, nurse, patriotism, hawaii, world war ii, pilot, pearl harbor, u.s. air force, dyslexia, pacific war, love, pin-up",Michael Bay,"Ben Affleck, Kate Beckinsale, Josh Hartnett, Cuba Gooding Jr., Jon Voight","Jerry Bruckheimer Films, Touchstone Pictures"
2001-05-04,The Mummy Returns,6.362,98000000,443280904,"Adventure, Action, Fantasy","egypt, pyramid, son, mummy, nile, sequel, tomb, ancient egypt, 1930s, egyptian tomb, good versus evil",Stephen Sommers,"Brendan Fraser, Rachel Weisz, Dwayne Johnson, John Hannah, Arnold Vosloo","Universal Pictures, Alphaville"
2001-07-18,Jurassic Park III,6.129,93000000,368780809,"Adventure, Action, Thriller, Science Fiction","rescue, mission, exotic island, island, airplane, velociraptor, dna, tyrannosaurus rex, paleontology, spinosaurus, dinosaur, creature, scientist, amusement park, paragliding, pterodactyl, pterosaur, costa rica, animal horror",Joe Johnston,"Sam Neill, William H. Macy, Téa Leoni, Alessandro Nivola, Trevor Morgan","Universal Pictures, Amblin Entertainment"
2001-07-25,Planet of the Apes,5.729,100000000,362211740,"Thriller, Science Fiction, Action, Adventure","space marine, gorilla, revolution, dystopia, space suit, chimp, slavery, time travel, space travel, alien planet, ape, human subjugation",Tim Burton,"Mark Wahlberg, Tim Roth, Helena Bonham Carter, Michael Clarke Duncan, Kris Kristofferson","20th Century Fox, The Zanuck Company"
2001-02-08,Hannibal,6.769,87000000,351692268,"Crime, Drama, Thriller","venice, italy, fbi, sequel, serial killer, psychological thriller, cannibal, child molester, forensic, aftercreditsstinger, psychological horror, evil man, psychological drama",Ridley Scott,"Anthony Hopkins, Julianne Moore, Gary Oldman, Ray Liotta, Giancarlo Giannini","Dino De Laurentiis Company, Universal Pictures, Scott Free Productions, Metro-Goldwyn-Mayer"
2001-08-03,Rush Hour 2,6.719,90000000,347325802,"Action, Comedy, Crime","martial arts, los angeles, california, criminal investigation, interracial friendship, buddy cop, duringcreditsstinger, action hero, good versus evil",Brett Ratner,"Jackie Chan, Chris Tucker, John Lone, Zhang Ziyi, Roselyn Sánchez","New Line Cinema, Roger Birnbaum Productions"
