Release Date,Title,Rating,Budget,Revenue,Genres,Keywords,Director,Cast,Production Companies
1986-05-16,Top Gun,7.047,15000000,356830601,"Drama, Action, Adventure","dying and death, secret love, lovesickness, airplane, loss of loved one, self-discovery, hostility, dangerous, fighter pilot, pilot, training camp, air force, battle assignment, u.s. navy, cowardliness, pilot school, based on magazine, newspaper or article",Tony Scott,"Tom Cruise, Kelly McGillis, Val Kilmer, Anthony Edwards, Tom Skerritt","Paramount, Don Simpson/Jerry Bruckheimer Films"
1986-09-26,Crocodile Dundee,6.391,5000000,328203506,"Adventure, Comedy","hotel, new york city, journalist, prostitute, culture clash, subway, crocodile, tourist, wilderness, knife, limousine, poacher, fish out of water, adventurer, australian outback, kangaroo",Peter Faiman,"Paul Hogan, Linda Kozlowski, Mark Blum, David Gulpilil, Michael Lombard","Paramount, Rimfire Films"
1986-07-18,Aliens,7.9,18500000,183316455,"Action, Thriller, Science Fiction","android, space marine, extraterrestrial technology, spaceman, space travel, settler, colony, cryogenics, vacuum, space colony, warrior woman, alien, space, female protagonist, creature, desolate, female hero, xenomorph, desolate planet, strong female protagonist",James Cameron,"Sigourney Weaver, Michael Biehn, Lance Henriksen, Bill Paxton, Jenette Goldstein","SLM Production Group, 20th Century Fox, Brandywine Productions"
1986-12-19,Platoon,7.744,6000000,138530565,"Drama, War, Action","dying and death, vietnam war, ambush, war crimes, village, mine, bunker, infantry, jungle, gang rape, soldier, battle, violent death, false accusations, platoon, combat, casualty of war, marijuana joint, marijuana pipe, anti war, wounded soldier, conscripts, military draft, violent man, american soldiers, tour of duty, murder witness, army vs civilians, war crime",Oliver Stone,"Tom Berenger, Willem Dafoe, Charlie Sheen, Forest Whitaker, Francesco Quinn","Hemdale Film Corporation, Cinema 86, Cinema 84, Orion Pictures"
1986-11-26,Star Trek IV: The Voyage Home,7.172,24000000,133000000,"Science Fiction, Adventure","spacecraft, saving the world, teleportation, san francisco, california, starship, whale, marine biologist, uss enterprise-a, time travel, humpback whale, space opera, whaling ship, aircraft carrier, outer space, space probe, cloaking device",Leonard Nimoy,"William Shatner, Leonard Nimoy, DeForest Kelley, James Doohan, George Takei",Paramount
1986-06-18,The Karate Kid Part II,6.263,13000000,115103979,"Adventure, Drama, Action, Romance, Family","underdog, martial arts, japan, sports, death of father, okinawa, sequel, feud, revenge, teen movie, japanese woman, self esteem, mentor protégé relationship, japanese family, japanese girl, traditional culture, romantic rival, japanese tradition, enemy turned friend",John G. Avildsen,"Ralph Macchio, Pat Morita, Danny Kamekona, Nobu McCarthy, Yuji Okumoto","Columbia Pictures, Delphi II Productions"
1986-03-20,Police Academy 3: Back in Training,5.8,12000000,107600000,"Comedy, Crime","governor, competition, sequel, police academy",Jerry Paris,"Steve Guttenberg, Bubba Smith, David Graf, Michael Winslow, Marion Ramsey","Police Academy Productions, Warner Bros. Pictures"
1986-06-18,Legal Eagles,5.997,40000000,93151591,"Comedy, Crime","court case, client, lawyer, courtroom",Ivan Reitman,"Robert Redford, Debra Winger, Daryl Hannah, Brian Dennehy, Terence Stamp","Northern Lights Entertainment, Universal Pictures, Mirage Enterprises"
1986-06-13,Back to School,6.319,11000000,91258000,Comedy,"college, tutor, whirlpool, clothing store, bribe, clothing store owner, back to school, father and son",Alan Metter,"Rodney Dangerfield, Sally Kellerman, Burt Young, Keith Gordon, Robert Downey Jr.","Orion Pictures, Metro-Goldwyn-Mayer, Paper Clip Productions"
1986-11-21,An American Tail,6.714,9000000,84542002,"Drama, Family, Animation, Adventure","new york city, cat, immigration, mouse, american dream, cossack, hanukkah, pogrom",Don Bluth,"Phillip Glasser, Erica Yohn, Nehemiah Persoff, Amy Green, Christopher Plummer","Amblin Entertainment, Universal Pictures, Sullivan Bluth Studios"
