Release Date,Title,Rating,Budget,Revenue,Genres,Keywords,Director,Cast,Production Companies
1976-11-21,Rocky,7.786,1000000,225250402,Drama,"underdog, philadelphia, pennsylvania, transporter, love of one's life, italian american, sports, fight, independence, publicity, boxer, training, lovers, world champion, victory, surprise, boxing",John G. Avildsen,"Sylvester Stallone, Talia Shire, Burt Young, Carl Weathers, Burgess Meredith",Winkler Films
1976-07-01,To Fly!,6.2,0,120700000,Documentary,"flight, short film","Greg MacGillivray, Jim Freeman",Ellen Bry,MacGillivray Freeman Films
1976-09-08,King Kong,6.2,23000000,90614445,"Adventure, Fantasy","indigenous, giant snake, remake, giant animal, world trade center, manhattan, new york city, giant ape, indian ocean, king kong",John Guillermin,"Jeff Bridges, Jessica Lange, Charles Grodin, John Randolph, René Auberjonois","Dino De Laurentiis Company, Paramount"
1976-12-17,A Star Is Born,5.968,6000000,80000000,"Drama, Music, Romance","rock star, romance, fame",Frank Pierson,"Barbra Streisand, Kris Kristofferson, Gary Busey, Oliver Clark, Venetta Fields","Barwood Films, Warner Bros. Pictures"
1976-04-09,All the President's Men,7.665,8500000,70600000,"Drama, History, Mystery, Thriller","newspaper, journalist, plan, washington dc, usa, shadowing, politics, burglar, fbi, wiretap, watergate scandal, based on true story, conspiracy, newspaper man, watergate",Alan J. Pakula,"Dustin Hoffman, Robert Redford, Jack Warden, Martin Balsam, Hal Holbrook",Wildwood Enterprises
1976-06-25,The Omen,7.394,2800000,60922980,"Horror, Thriller","ambassador, prophecy, monk, photography, nanny, paranormal phenomena, rottweiler, devil's son, revelation, anti-christ, decapitation, priest, cowardliness, baboon, archaeologist",Richard Donner,"Gregory Peck, Lee Remick, David Warner, Billie Whitelaw, Harvey Stephens","Mace Neufeld Productions, 20th Century Fox, Harvey Bernhard Productions"
1976-12-03,Silver Streak,6.721,6500000,51079064,"Comedy, Crime, Romance, Thriller","two man army, kansas, usa, train, theft, false accusations, semiautomatic pistol, sleeping car",Arthur Hiller,"Gene Wilder, Jill Clayburgh, Richard Pryor, Patrick McGoohan, Ned Beatty","Frank Yablans Presentations, Miller-Milkis Productions, 20th Century Fox"
1976-12-16,The Enforcer,6.769,9000000,46236000,"Crime, Action","san francisco, california, alcatraz prison, inspector, damage, magnum",James Fargo,"Clint Eastwood, Tyne Daly, Harry Guardino, Bradford Dillman, John Mitchum","Warner Bros. Pictures, Malpaso Productions"
1976-06-18,Midway,6.63,0,43220000,"Action, Drama, History, War","world war ii, u.s. navy, battle of midway, pacific war, soldier, american, pacific theater, sea battle, naval warfare, 1940s, naval battle",Jack Smight,"Charlton Heston, Henry Fonda, James Coburn, Glenn Ford, Hal Holbrook","The Mirisch Company, Universal Pictures"
1976-04-07,The Bad News Bears,6.9,9000000,42349782,"Family, Comedy","california, sports, baseball, coach, alcoholic, little league, kids’ sports team",Michael Ritchie,"Walter Matthau, Tatum O'Neal, Vic Morrow, Joyce Van Patten, Ben Piazza",Paramount
1976-06-17,Silent Movie,6.522,4400000,36145695,Comedy,"screenplay, stuntman, slapstick comedy, mime, hollywood, silent film",Mel Brooks,"Mel Brooks, Marty Feldman, Dom DeLuise, Sid Caesar, Harold Gould",Crossbow Productions
1976-12-15,The Pink Panther Strikes Again,6.829,6000000,33833201,"Comedy, Crime","police, laughing gas",Blake Edwards,"Peter Sellers, Herbert Lom, Leonard Rossiter, Colin Blakely, Graham Stark","Amjo Productions, United Artists"
1976-06-23,Murder by Death,7.198,0,32511047,"Comedy, Crime, Mystery, Thriller","detective, butler, deaf-mute, guest, parody, murder, spoof, mansion, whodunit, cadaver, one night, sidekick, old mansion",Robert Moore,"Truman Capote, Alec Guinness, Peter Sellers, David Niven, Maggie Smith",Rastar Productions
1976-06-30,The Outlaw Josey Wales,7.458,3700000,31800000,Western,"showdown, loss of loved one, texas, settler, native american, revenge, comanche, american civil war, 19th century",Clint Eastwood,"Clint Eastwood, Chief Dan George, Sondra Locke, Bill McKinney, John Vernon","Warner Bros. Pictures, Malpaso Productions"
