Release Date,Title,Rating,Budget,Revenue,Genres,Keywords,Director,Cast,Production Companies
1974-02-07,Blazing Saddles,7.265,2600000,119500000,"Western, Comedy","governor, saloon, gun, parody, marching band, breaking the fourth wall, spoof, railroad, interrupted hanging, cowboy, western town, western spoof, ceremony, frontier town, saloon girl, coot, self-referential, anarchic comedy, anachronistic",Mel Brooks,"Cleavon Little, Gene Wilder, Slim Pickens, Harvey Korman, Madeline Kahn","Crossbow Productions, Warner Bros. Pictures"
1974-12-14,The Towering Inferno,7.024,14000000,116000000,"Action, Drama, Thriller","rescue, helicopter, fire, san francisco, california, skyscraper, fire engine, survival, disaster, explosion, tragic event, trapped, elevator, disaster movie, firefighter, world's tallest building, trapped in burning building",John Guillermin,"Steve McQueen, Paul Newman, William Holden, Faye Dunaway, Fred Astaire","Warner Bros. Pictures, 20th Century Fox, Irwin Allen Productions"
1974-12-20,The Godfather Part II,8.6,13000000,102600000,"Drama, Crime","italian american, cuba, italy, gangster, praise, symbolism, melancholy, revenge, organized crime, mafia, lawyer, suburb, corrupt politician",Francis Ford Coppola,"Al Pacino, Robert Duvall, Diane Keaton, Robert De Niro, John Cazale","Paramount, The Coppola Company"
1974-12-01,The Man with the Golden Gun,6.441,7000000,97572000,"Adventure, Action, Thriller","gold, exotic island, martial arts, assassin, london, england, based on novel or book, england, hitman, secret mission, villain, bangkok, thailand, thailand, floatplane, karate, hong kong, duel, secret service, aftercreditsstinger",Guy Hamilton,"Roger Moore, Christopher Lee, Britt Ekland, Maud Adams, Hervé Villechaize","United Artists, EON Productions, Danjaq"
1974-12-15,Young Frankenstein,7.899,2800000,86273333,Comedy,"monster, experiment, assistant, castle, bride, parody, mad scientist, laboratory, spoof, horror spoof, black and white, scientist, frankenstein",Mel Brooks,"Gene Wilder, Teri Garr, Marty Feldman, Peter Boyle, Cloris Leachman","Crossbow Productions, Gruskoff/Venture Films, Jouer Limited, 20th Century Fox"
1974-11-15,Earthquake,6.113,7000000,79666653,"Action, Drama, Thriller","fire, supermarket, skyscraper, architect, natural disaster, earthquake, flooding, parking garage, national guard, child in peril, billiard hall, disaster, los angeles, california, explosion, motorcycle, destruction, alcoholic, policeman, daredevil, disaster movie, sensurround, dam collapse",Mark Robson,"Charlton Heston, Ava Gardner, George Kennedy, Lorne Greene, Geneviève Bujold","Universal Pictures, The Filmakers Group"
1974-10-18,Airport 1975,5.666,3000000,47000000,"Action, Thriller, Drama","helicopter, husband wife relationship, airplane, cataclysm, airport, based on novel or book, guitar, stewardess, pilot, alcoholism, sequel, aviation, salt lake city, utah, teenage girl, singing nun, mid air collision, airplane accident, los angeles, california, disaster movie",Jack Smight,"Charlton Heston, Karen Black, George Kennedy, Efrem Zimbalist Jr., Susan Clark",Universal Pictures
1974-08-21,The Longest Yard,6.75,2900000,43008075,"Comedy, Drama","prison, sports, american football, georgia, quarterback, palm beach",Robert Aldrich,"Burt Reynolds, Eddie Albert, Ed Lauter, Michael Conrad, James Hampton",Paramount
1974-07-28,Gone in 60 Seconds,6.146,1000000,40000000,"Action, Crime","helicopter, police, car thief, mustang, grand theft auto, car robbery, eleanor",H.B. Halicki,"H.B. Halicki, Marion Busia, Jerry Daugirda, James McIntyre, George Cole",Halicki Productions
1974-02-12,Herbie Rides Again,6.09,0,38229000,"Romance, Comedy, Family, Fantasy","estate agent, san francisco, california, shopping mall, sequel, urban development, volkswagen beetle, smart car, volkswagon, käfer, the love bug",Robert Stevenson,"Helen Hayes, Ken Berry, Stefanie Powers, John McIntire, Keenan Wynn",Walt Disney Productions
