Release Date,Title,Rating,Budget,Revenue,Genres,Keywords,Director,Cast,Production Companies
2011-07-12,Harry Potter and the Deathly Hallows: Part 2,8.103,125000000,1341511219,"Fantasy, Adventure","witch, dying and death, saving the world, self sacrifice, magic, school of witchcraft, sorcerer, school, battle, wizard, teenage hero, christmas, based on young adult novel, good versus evil",David Yates,"Daniel Radcliffe, Emma Watson, Rupert Grint, Ralph Fiennes, Alan Rickman","Warner Bros. Pictures, Heyday Films"
2011-06-28,Transformers: Dark of the Moon,6.188,195000000,1123794079,"Action, Science Fiction, Adventure","spacecraft, moon, traitor, bodyguard, alien planet, based on toy, giant robot, sabotage, word domination, commando, duringcreditsstinger",Michael Bay,"Shia LaBeouf, Josh Duhamel, John Turturro, Tyrese Gibson, Rosie Huntington-Whiteley","Paramount, di Bonaventura Pictures, Tom DeSanto/Don Murphy Production, Ian Bryce Productions"
2011-05-15,Pirates of the Caribbean: On Stranger Tides,6.539,379000000,1045700000,"Adventure, Action, Fantasy","sea, ship, mutiny, captain, spain, england, sword, prime minister, sailing, mermaid, duke, silver, pirate, soldier, battle, swashbuckler, 18th century, aftercreditsstinger, blackbeard, 1750s",Rob Marshall,"Johnny Depp, Penélope Cruz, Geoffrey Rush, Ian McShane, Kevin McNally","Walt Disney Pictures, Jerry Bruckheimer Films, Moving Picture Company"
2011-07-13,"Wizard People 2: Spiders and Snakes, Dear Reader",0.0,100000000,876688482,Comedy,"wizard, harry potter",Chris Columbus,"TheFakeBradNeely, Daniel Radcliffe, Rupert Grint, Emma Watson, Toby Jones",
2011-11-16,The Twilight Saga: Breaking Dawn - Part 1,6.205,110000000,712171856,"Adventure, Fantasy, Romance","based on novel or book, vampire, hybrid, teen movie, werewolf, supernatural creature, dead, duringcreditsstinger, based on young adult novel",Bill Condon,"Kristen Stewart, Robert Pattinson, Taylor Lautner, Billy Burke, Peter Facinelli","Summit Entertainment, Sunswept Entertainment, TSBD Canada Productions, TSBD Louisiana, TSBD Productions, Temple Hill Entertainment, Total Entertainment"
2011-12-07,Mission: Impossible - Ghost Protocol,7.074,145000000,694713380,"Action, Thriller, Adventure","assassin, budapest, hungary, skyscraper, secret intelligence service, sandstorm, seattle, washington, satellite, mumbai (bombay), india, secret agent, car crash, sequel, prison escape, dubai, billionaire, terrorism, disguise, bombing, jet, nuclear threat, moscow, russia, field agent, analyst, nuclear submarine, kremlin, disavowed, based on tv series, nuclear launch codes, burj khalifa, scaling a building",Brad Bird,"Tom Cruise, Paula Patton, Simon Pegg, Jeremy Renner, Michael Nyqvist","Paramount, Bad Robot, TC Productions, Skydance"
2011-05-25,Kung Fu Panda 2,6.974,150000000,665692281,"Animation, Family, Comedy","mission, martial arts, kung fu, hope, fleet, panda, friends, woman director",Jennifer Yuh Nelson,"Jack Black, Angelina Jolie, Dustin Hoffman, Gary Oldman, Jackie Chan",DreamWorks Animation
2011-04-20,Fast Five,7.249,125000000,626137675,"Action, Thriller, Crime","car race, freedom, fbi, car crash, prison escape, heist, escaped convict, street race, money, organized crime, fugitive, on the run, police chase, duringcreditsstinger",Justin Lin,"Vin Diesel, Paul Walker, Jordana Brewster, Tyrese Gibson, Ludacris","Original Film, Universal Pictures, One Race"
2011-05-25,The Hangover Part II,6.471,80000000,586764305,Comedy,"stag night, memory loss, undercover cop, drugs",Todd Phillips,"Bradley Cooper, Ed Helms, Zach Galifianakis, Justin Bartha, Ken Jeong","Legendary Pictures, Green Hat Films, Warner Bros. Pictures"
2011-07-29,The Smurfs,5.768,110000000,563749323,"Animation, Family, Adventure, Comedy, Fantasy","moon, magic, based on comic, blue, vortex, cat and mouse, duringcreditsstinger, live action and animation",Raja Gosnell,"Hank Azaria, Neil Patrick Harris, Jayma Mays, Jonathan Winters, Katy Perry","Sony Pictures Animation, Kerner Entertainment Company, Columbia Pictures, Sony Pictures"
2011-06-11,Cars 2,6.1,200000000,559852396,"Animation, Family, Adventure, Comedy","car race, sequel, anthropomorphism, best friend, duringcreditsstinger",John Lasseter,"Larry the Cable Guy, Owen Wilson, Michael Caine, Emily Mortimer, John Turturro","Pixar, Walt Disney Pictures"
2011-10-27,Puss in Boots,6.553,130000000,554987477,"Animation, Family, Fantasy, Adventure, Comedy","small town, fairy tale, rebel, spin off, wild west, talking cat, pets",Chris Miller,"Antonio Banderas, Salma Hayek Pinault, Zach Galifianakis, Billy Bob Thornton, Amy Sedaris",DreamWorks Animation
