Release Date,Title,Rating,Budget,Revenue,Genres,Keywords,Director,Cast,Production Companies
2020-10-16,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,8.257,15800000,503063688,"Action, Animation, Adventure, Fantasy, Thriller","fight, magic, supernatural, psychology, gore, coming of age, survival, tragedy, based on manga, demon, historical, family, mutilation, adult animation, dark fantasy, shounen, anime, taisho",Haruo Sotozaki,"Natsuki Hanae, Akari Kito, Hiro Shimono, Yoshitsugu Matsuoka, Satoshi Hino","ufotable, Aniplex, Shueisha, TOHO"
2020-08-14,The Eight Hundred,6.996,80000000,461421559,"War, History, Drama, Action","siege, second sino-japanese war (1937-45)",Guan Hu,"Wang Qian-Yuan, Zhang Yi, Huang Zhizhong, Jiang Wu, Oho Ou","Beijing Diqi Yinxiang Entertainment, Huayi Brothers Pictures, Beijing Enlight Pictures, Tencent Pictures, South Australian Film Corporation, Huaxia Film Distribution"
2020-06-08,"Metallica: WorldWired Tour - Live in Manchester, England - June 18, 2019",10.0,0,426900000,Music,"concert, england, hardwired",Dan Braun,"James Hetfield, Lars Ulrich, Kirk Hammett, Robert Trujillo",
2020-01-15,Bad Boys for Life,7.139,90000000,426505244,"Thriller, Action, Crime","miami, florida, detective, women's prison, sequel, prison escape, murder, drug cartel, police chase, police detective, buddy cop, buddy film, action hero, past relationship, méxico","Adil El Arbi, Bilall Fallah","Will Smith, Martin Lawrence, Paola Nuñez, Vanessa Hudgens, Alexander Ludwig","Columbia Pictures, 2.0 Entertainment, Don Simpson/Jerry Bruckheimer Films, Overbrook Entertainment"
2020-08-22,Tenet,7.187,205000000,365304105,"Action, Thriller, Science Fiction","assassin, espionage, spy, time travel, mumbai (bombay), india, arms dealer, terrorism, terrorist attack, nuclear weapons, terrorist plot, backwards, alternate timeline, oslo, norway, time paradox, kyiv (kiev), ukraine",Christopher Nolan,"John David Washington, Robert Pattinson, Elizabeth Debicki, Kenneth Branagh, Dimple Kapadia","Warner Bros. Pictures, Syncopy"
2020-02-12,Sonic the Hedgehog,7.34,85000000,319715683,"Action, Science Fiction, Comedy, Family","friendship, video game, san francisco, california, road trip, cop, based on video game, duringcreditsstinger, bar fight, hedgehog, live action and animation, live action remake, flossing",Jeff Fowler,"Ben Schwartz, James Marsden, Tika Sumpter, Jim Carrey, Natasha Rothwell","Original Film, Blur Studio, Marza Animation Planet, Paramount, SEGA"
2020-01-02,Dolittle,6.631,175000000,251410631,"Family, Comedy, Fantasy, Adventure","ship, island, based on novel or book, victorian england, doctor, based on children's book, animal, veterinary, talking to animals, voyage",Stephen Gaghan,"Robert Downey Jr., Antonio Banderas, Michael Sheen, Jim Broadbent, Jessie Buckley","Universal Pictures, Team Downey, Perfect World Pictures, Roth-Kirschenbaum Films"
2020-10-13,Nidjas kitchen  2,0.0,50000,250000000,"Comedy, Drama",,Mihajlo Tornjanski,"Nikola Samardžić, Jovan Bogdanović",
2020-10-01,Legend of Deification,7.33,0,240656068,"Animation, Action, Fantasy, Adventure","fight, creature, fantasy world, anime","Cheng Teng, Li Wei","Zheng Xi, Jiang Guangtao, Ji Guanlin, Sheng Feng, Yang Ning","Beijing Enlight Pictures, Horgos Coloroom Pictures, Chengdu Coco Cartoon, One&All Animation Studio"
2020-11-25,The Croods: A New Age,7.515,65000000,215905815,"Animation, Family, Adventure, Fantasy, Comedy","sequel, prehistory",Joel Crawford,"Nicolas Cage, Emma Stone, Ryan Reynolds, Catherine Keener, Cloris Leachman","Universal Pictures, DreamWorks Animation"
