Release Date,Title,Rating,Budget,Revenue,Genres,Keywords,Director,Cast,Production Companies
2006-07-06,Pirates of the Caribbean: Dead Man's Chest,7.348,200000000,1065700000,"Adventure, Fantasy, Action","witch, daughter, ship, east india company, exotic island, bondage, monster, captain, fortune teller, compass, sword fight, pirate, cannibal, swashbuckler, kraken, aftercreditsstinger, based on theme park ride",Gore Verbinski,"Johnny Depp, Orlando Bloom, Keira Knightley, Stellan Skarsgård, Bill Nighy","Walt Disney Pictures, Jerry Bruckheimer Films, Second Mate Productions"
2006-05-17,The Da Vinci Code,6.723,125000000,767820459,"Thriller, Mystery","paris, france, based on novel or book, holy grail, christianity, monk, secret society, louvre museum, heresy, mona lisa (la gioconda), freemason, pentagram, conspiracy, tomb, catholicism, cryptologist, iconography, albino, sect",Ron Howard,"Tom Hanks, Audrey Tautou, Ian McKellen, Jean Reno, Paul Bettany","Imagine Entertainment, Skylark Productions"
2006-03-29,Ice Age: The Meltdown,6.691,80000000,660998756,"Animation, Family, Comedy, Adventure","mammoth, sloth, ice age, barrier ice, ice melting, iceberg, flooding, deluge, lovers, sequel, saber-toothed tiger",Carlos Saldanha,"Ray Romano, John Leguizamo, Denis Leary, Queen Latifah, Seann William Scott","20th Century Fox Animation, Blue Sky Studios, 20th Century Fox"
2006-11-14,Casino Royale,7.546,150000000,599045960,"Adventure, Action, Thriller","banker, casino, based on novel or book, poker, italy, money, free running, torture, terrorism, mi6, british secret service, montenegro",Martin Campbell,"Daniel Craig, Eva Green, Mads Mikkelsen, Judi Dench, Jeffrey Wright","EON Productions, Stillking Films, Columbia Pictures, Studio Babelsberg, Danjaq, Metro-Goldwyn-Mayer, Casino Royale US, Casino Royale Productions, United Artists"
2006-12-20,Night at the Museum,6.576,110000000,574480841,"Action, Adventure, Comedy, Family, Fantasy","night shift, skeleton, chaos, maya civilization, museum, genghis khan, natural history, dinosaur, based on children's book, magical object, security guard, duringcreditsstinger, inanimate objects come to life",Shawn Levy,"Ben Stiller, Carla Gugino, Dick Van Dyke, Mickey Rooney, Bill Cobbs","1492 Pictures, 21 Laps Entertainment, 20th Century Fox, Ingenious Media, Sun Canada Productions"
2006-06-08,Cars,6.942,120000000,461983149,"Animation, Adventure, Comedy, Family","friendship, car race, success, route 66, porsche, retirement, road trip, anthropomorphism, rural area, los angeles, california, aftercreditsstinger, duringcreditsstinger",John Lasseter,"Owen Wilson, Larry the Cable Guy, Bonnie Hunt, Paul Newman, Tony Shalhoub","Pixar, Walt Disney Pictures"
2006-05-24,X-Men: The Last Stand,6.4,210000000,459359555,"Adventure, Action, Science Fiction, Thriller","mutant, based on comic, superhuman, beast, cyclops, aftercreditsstinger",Brett Ratner,"Hugh Jackman, Ian McKellen, Patrick Stewart, Famke Janssen, Halle Berry","The Donners' Company, 20th Century Fox"
2006-04-25,Mission: Impossible III,6.725,150000000,398479497,"Adventure, Action, Thriller","mask, mission, berlin, germany, cia, computer, the white house, shanghai, china, funeral, explosive, secret mission, spy, vatican, secret identity, traitor, map, honeymoon, pretended murder, letter, covered investigation, secret agent, stamp, hard drive, e-mail, decipherment, suitcase, revenge, murder, hospital, duel, disguise, celebration, research laboratory, blast",J.J. Abrams,"Tom Cruise, Philip Seymour Hoffman, Ving Rhames, Billy Crudup, Michelle Monaghan","Paramount, Cruise/Wagner Productions"
2006-06-28,Superman Returns,5.745,270000000,391081192,"Science Fiction, Action, Adventure","saving the world, superhero, invulnerability, based on comic, sequel, super power, kryptonite, superhuman strength",Bryan Singer,"Brandon Routh, Kevin Spacey, Kate Bosworth, James Marsden, Parker Posey","DC Comics, Legendary Pictures, Bad Hat Harry Productions, Warner Bros. Pictures, Peters Entertainment"
2006-11-16,Happy Feet,6.175,100000000,384335608,"Animation, Comedy, Family","fish, ocean, zoo, penguin, tap dancing, anthropomorphism, love, crush, snow, singing, antarctica, family, duringcreditsstinger",George Miller,"Elijah Wood, Robin Williams, Brittany Murphy, Hugh Jackman, Nicole Kidman","Kennedy Miller Productions, Animal Logic"
